fileName,Max Dep Ref,GraphBuildTime,CalcLookupSize,CalcLookupTime,CalcPostProcessedLookupSize,CalcPostProcessedLookupTime
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,773,6479,5062,6479,5105
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,353,18786,193419,18786,193478
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,104,4545,1827,4541,1838
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,118,2973,1257,2970,1266
benjamin_rogers_000_1_1.pst.140.xls,Template:E445,161,4545,2189,4541,2200
vkaminski_001_1_2_1.pst.62.xls,5b. 7.3:D4,646,29029,75196,29029,75237
gerald_nemec_000_1_1.pst.11.xls,Cash Flows:B12,43,4266,5877,4266,5890
benjamin_rogers_000_1_1.pst.191.xls,CCFMODEL:H10,109,2973,932,2970,935
jim_schwieger_000_1_1.pst.110.xls,Sheet2:J5,34,4212,2107,4212,2113
jeff_dasovich_000_1_1_1.pst.138.xls,SCE Assessment:C44,18,3567,2287,3548,2290
