fileName,Max Dep Ref,GraphBuildTime,CalcLookupSize,CalcLookupTime,CalcPostProcessedLookupSize,CalcPostProcessedLookupTime
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,184,6479,4267,6478,4304
Zbiornik.xlsx,Arkusz2:B14,224,21845,1845,21845,1893
zadanie5.xlsx,dane:B19,453,21816,1281,21814,1333
LR2.xlsx,Задание 1:B1,27,2430,291,2430,300
VT_EUReg_IND_V1p7.xlsx,IAL ICU INF:F193,230,7326,17658,7326,17675
standard_deviation_full.xlsx,Sheet1:AA2,280,23040,26305,23040,26709
Binno test Status Nov01_2018.xlsx,Test_worksheet:B104,191,23484,4639,23484,4675
Signals.xlsx,Signal Verification0:H3,211,15983,35505,15983,35539
rcv_ep2.xlsx,Signal Verification0:H3,-1,-1,-1,-1,-1
teeeest.xlsx,Signal Verification0:H3,-1,-1,-1,-1,-1
