fileName,Max Dep Ref,GraphBuildTime,RedisGraphLookupSize,RedisGraphLookupTime,RedisGraphPostProcessedLookupSize,RedisGraphPostProcessedLookupTime
benjamin_rogers_000_1_1.pst.39.xls,Sheet1:Z1,14196,175496,2229,175496,2618
gstorey_000_1_1.pst.116.xls,Empress vs Chippewa:H3,10130,2639,102,2639,113
harry_arora_000_1_1.pst.130.xls,WorkingData:E3,223609,60000,60000,60000,60000
jim_schwieger_000_1_1.pst.111.xls,Module2:BI1214,4676,60000,60000,60000,60000
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:BB2,5669,60000,60000,60000,60000
kam_keiser_000_1_1.pst.16.xls,LongTerm73:D22,600000,600000,600000,600000,600000
mark_haedicke_000_1_2.pst.31.xls,Off-Balance Sheet:S3,38272,16611,1686,16611,1726
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:D22,600000,600000,600000,600000,600000
vkaminski_001_1_2_1.pst.62.xls,5b. 7.3:D4,3642,29029,731,29029,824
vkaminski_002_1_1_1.pst.12.xls,5d. 7.6:D4,3848,17021,339,17021,384
