fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,900,3,26,1,26
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,221,2978,121,2978,131
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,1846,4385,116,4385,123
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,163,306,1,306,2
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,227,1,1,1,1
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,75,131,1,131,1
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,240,306,2,306,3
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,168,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,101,23,0,3,0
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,180,294,1,1,2
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,549,33,1,19,1
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,171,613,5,2,6
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1017,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,414,3150,42,3150,46
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,97,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,427,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,46,199,1,199,1
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,233,461,4,461,4
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,143,126,0,108,0
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,243,6479,48,6478,56
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,268,729,5,729,5
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,130,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N470,93,46,0,46,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,235,239,1,1,1
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,287,669,4,1,4
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,106,37,0,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,107,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,1639,4385,80,4385,85
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,153,236,2,236,3
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,213,1,1,1,1
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,113,366,5,364,5
kevin_presto_000_1_1.pst.261.xls,Results:K40,97,3,0,1,0
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,70,36,0,1,0
andy_zipper_000_1_1.pst.77.xls,DD-EGL:P29,70,3,0,3,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:DQ1659,404,749,7,165,7
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,167,1999,15,1999,17
vkaminski_000_1_1_1.pst.276.xls,payout model:D74,62,310,2,310,3
don_baughman_000_1_1.pst.151.xls,Sheet1:C38,144,37,0,21,0
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:AX2,1634,1670,15,1670,18
john_griffith_000_1_1.pst.197.xls,Curves:G78,457,17,0,17,0
don_baughman_000_1_1.pst.143.xls,Sheet1:C38,106,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NONCEC:B4,117,211,1,160,1
andy_zipper_000_1_1.pst.106.xls,DD-EGL:P29,813,3,1,3,1
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:B5,868,158,1,9,1
mark_taylor_001_1_1.pst.58.xls,Sheet1:C369,278,8214,93,8214,107
andy_zipper_000_1_1.pst.70.xls,DD-EGL:P29,71,3,0,3,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D184,186,248,3,248,3
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:L31,253,223,2,222,2
don_baughman_000_1_1.pst.128.xls,Sheet1:C38,74,37,0,21,0
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U324,66,4,0,2,0
