fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,1767,3,10,1,11
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,587,205,9,205,10
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,2755,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,163,4,1,4,1
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,1335,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,189,15,0,15,0
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,128,4,0,4,0
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,152,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,412,5,1,3,1
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,314,1,0,1,0
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,2806,15,1,13,1
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,276,3,1,2,1
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,789,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,905,29,1,29,1
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,281,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,472,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,115,6,0,6,0
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,1216,215,5,215,6
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,454,126,1,108,1
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,541,6479,57,6478,72
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,719,297,3,297,3
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,350,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N470,123,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,765,1,0,1,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,354,2,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,343,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,319,37,1,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,2779,28,0,27,1
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,549,209,3,209,3
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,1017,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,224,159,3,154,3
kevin_presto_000_1_1.pst.261.xls,Results:K40,76,2,0,1,0
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,142,1,0,1,0
andy_zipper_000_1_1.pst.77.xls,DD-EGL:P29,134,3,0,3,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:DQ1659,2094,165,3,165,3
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,281,11,1,11,1
vkaminski_000_1_1_1.pst.276.xls,payout model:D74,128,9,0,4,0
don_baughman_000_1_1.pst.151.xls,Sheet1:C38,323,37,0,21,0
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:AX2,4988,18,0,18,0
john_griffith_000_1_1.pst.197.xls,Curves:G78,988,17,1,17,1
don_baughman_000_1_1.pst.143.xls,Sheet1:C38,348,37,0,21,0
stacey_white_000_1_1.pst.382.xls,NONCEC:B4,245,31,1,28,1
andy_zipper_000_1_1.pst.106.xls,DD-EGL:P29,1053,3,0,3,0
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:B5,3549,18,0,9,0
mark_taylor_001_1_1.pst.58.xls,Sheet1:C369,525,25,0,25,0
andy_zipper_000_1_1.pst.70.xls,DD-EGL:P29,119,3,0,3,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D184,632,221,3,221,4
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:L31,686,111,1,110,1
don_baughman_000_1_1.pst.128.xls,Sheet1:C38,247,37,1,21,1
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U324,92,4,0,2,0
andy_zipper_000_1_1.pst.68.xls,DD-EGL:P29,122,3,0,3,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:K23,118,3,0,1,0
don_baughman_000_1_1.pst.175.xls,Sheet1:C38,321,37,0,21,0
john_zufferli_000_1_1.pst.54.xls,DATA:F38,84,2,0,1,1
chris_germany_000_1_2.pst.164.xls,Special Pricing:A327,236,7,0,6,0
andy_zipper_000_1_1.pst.85.xls,DD-EGL:P29,1000,3,0,3,0
kevin_hyatt_000_1_1.pst.120.xls,Duke 500621:H12,107,32,0,30,0
jim_schwieger_000_1_1.pst.105.xls,Sheet1:B94,430,71,2,55,2
vkaminski_002_1_1_1.pst.12.xls,5e. 7.8:D4,4072,20,0,9,0
darron_c_giron_000_1_1_1.pst.137.xls,PRD Location_Def:H3819,844,2,0,2,0
dutch_quigley_000_1_1.pst.212.xls,Opt:B10,423,1,1,1,1
kevin_ruscitti_000_1_1.pst.157.xls,03-22-00AM:X531,1056,1,0,1,0
andy_zipper_000_1_1.pst.144.xls,DD-EGL:P29,1081,3,0,3,0
robin_rodrigue_000_1_1.pst.12.xls,Detail:E3372,145,1,0,1,0
andy_zipper_000_1_1.pst.21.xls,DD-EGL:P29,1033,3,0,3,0
lindy_donoho_000_1_1_1.pst.123.xls,IG-BL by Month:AG37,241,5,0,4,0
tracy_geaccone_000_1_1.pst.146.xls,Trackers:D184,747,221,3,221,3
don_baughman_000_1_1.pst.189.xls,Sheet1:C38,322,37,0,21,0
fletcher_sturm_000_1_1.pst.99.xls,Filter-new:B1,962,16,0,10,0
don_baughman_000_1_1.pst.200.xls,8-1:C38,668,37,0,21,0
juan_hernandez_000_1_1.pst.10.xls,Sheet1:C38,322,37,0,21,0
robin_rodrigue_000_1_1.pst.159.xls,Detail:E3372,145,1,0,1,0
vkaminski_002_1_1_1.pst.276.xls,Gas Curves:BV2,542,3,0,2,0
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AB14,1063,62,1,61,1
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,1064,105,2,59,2
dutch_quigley_000_1_1.pst.202.xls,A:DR249,951,36,1,35,1
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,1033,105,3,59,3
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):B651,1140,5,1,3,1
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B306,889,18,0,18,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C38,319,37,1,21,1
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:L31,714,111,1,110,1
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AB14,755,62,1,61,1
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,243,3,0,3,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,294,10,0,9,0
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:DU7,437,9,1,9,1
michelle_lokay_000_1_2_1.pst.24.xls,Duke 500621:H12,96,32,0,30,0
tori_kuykendall_000_1_1_1.pst.48.xls,Price Sheet:B3,138,9,0,5,0
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,95,5,0,5,0
don_baughman_000_1_1.pst.152.xls,Sheet1:C38,326,37,0,21,1
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,160,4,0,4,0
benjamin_rogers_001_1_1.pst.153.xls,Curve Paste:BU217,2359,1,0,1,0
andy_zipper_000_1_1.pst.92.xls,DD-EGL:P29,1038,3,0,3,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:K727,144,3,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,717,297,3,297,3
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:D92,1166,215,3,215,3
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,675,297,3,297,3
benjamin_rogers_001_1_1.pst.2.xls,Wilton:T114,306,35,0,35,0
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:D30,266,6,0,2,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J28,411,259,4,259,4
benjamin_rogers_000_1_1.pst.190.xls,CALC:FA17,1777,80,1,79,1
tracy_geaccone_000_1_1.pst.308.xls,Annual Fuel Calc Alt:I30,1421,64,1,64,1
benjamin_rogers_000_1_1.pst.142.xls,Debt:B54,238,159,3,154,3
don_baughman_000_1_1.pst.184.xls,Sheet1:C38,319,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,173,3,0,2,0
