fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,1036,3,26,1,27
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,209,2978,75,2978,83
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,1555,4385,102,4385,109
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,145,306,1,306,2
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,326,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,109,131,2,131,2
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,203,306,2,306,2
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,158,1,0,1,0
david_delainey_000_1_2.pst.137.xls,ENA:U13,95,66,1,66,1
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,93,357,7,345,7
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,512,416,4,403,5
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,184,613,3,2,4
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,978,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,336,3793,63,3791,70
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,91,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,344,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,43,199,1,199,2
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,231,667,7,667,8
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,133,1113,8,1113,9
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,231,6479,44,6479,53
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,238,729,5,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,102,37,0,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N28,87,46,1,46,1
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,190,720,5,720,6
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,225,669,5,1,5
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,107,37,0,21,0
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,107,37,0,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,1567,4385,68,4385,73
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,144,875,8,865,9
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,202,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,67,543,4,543,5
kevin_presto_000_1_1.pst.261.xls,Results:K5551,106,3,0,1,0
kim_ward_000_1_2.pst.406.xls,Sales:C9,67,1986,15,508,16
andy_zipper_000_1_1.pst.77.xls,DD-ENA:F500,72,8,0,8,0
