fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,1654,3,10,1,11
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,653,205,9,205,10
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,3114,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,141,4,0,4,0
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,1083,1,1,1,1
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,196,17,0,17,0
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,157,4,0,4,1
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,139,1,0,1,0
david_delainey_000_1_2.pst.137.xls,ENA:U13,552,66,2,66,3
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,347,42,1,40,1
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,2710,14,1,12,1
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,259,3,1,2,1
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,772,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,1101,35,1,35,1
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,282,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,440,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,107,6,0,6,0
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,1196,565,9,565,11
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,457,129,1,129,2
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,560,6479,63,6479,76
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,716,297,2,297,3
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,324,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N28,119,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,759,3,0,2,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,341,2,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,329,37,0,21,0
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,314,37,0,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,2751,28,0,27,0
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,490,745,9,735,10
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,1016,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,220,345,4,345,5
kevin_presto_000_1_1.pst.261.xls,Results:K5551,70,2,0,1,0
kim_ward_000_1_2.pst.406.xls,Sales:C9,131,29,0,26,0
andy_zipper_000_1_1.pst.77.xls,DD-ENA:F500,122,4,0,4,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:BQ1974,2157,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,274,11,0,11,0
vkaminski_000_1_1_1.pst.276.xls,payout model:AQ5,126,3,0,2,0
don_baughman_000_1_1.pst.151.xls,Sheet1:C20,354,37,1,21,1
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:BB2,5046,18,0,18,0
john_griffith_000_1_1.pst.197.xls,Pastoria:F3,970,45,1,44,1
don_baughman_000_1_1.pst.143.xls,Sheet1:C20,313,37,0,21,0
stacey_white_000_1_1.pst.382.xls,NP15:B4,242,58,1,54,1
andy_zipper_000_1_1.pst.106.xls,TRANSACTIONSUMMARYREPORT -1:N4780,1000,4,0,4,0
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,3682,3535,109,3535,113
mark_taylor_001_1_1.pst.58.xls,Sheet1:M4,496,11,0,10,0
andy_zipper_000_1_1.pst.70.xls,DD-ENA:F500,114,4,0,4,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D61,545,958,13,947,15
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:Y86,674,270,2,270,3
don_baughman_000_1_1.pst.128.xls,Sheet1:C20,202,37,1,21,1
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U429,86,4,0,2,0
andy_zipper_000_1_1.pst.68.xls,DD-ENA:F500,113,4,0,4,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:B9,111,1,0,1,0
don_baughman_000_1_1.pst.175.xls,Sheet1:C20,328,37,0,21,0
john_zufferli_000_1_1.pst.54.xls,DATA:F1556,54,2,0,1,0
chris_germany_000_1_2.pst.164.xls,gatherco:J3,220,104,1,104,1
andy_zipper_000_1_1.pst.85.xls,TRANSACTIONSUMMARYREPORT -1:N4780,940,4,0,4,0
kevin_hyatt_000_1_1.pst.120.xls,PNM 500617:H12,97,36,0,33,0
jim_schwieger_000_1_1.pst.105.xls,Sheet1:BR179,377,116,1,104,2
vkaminski_002_1_1_1.pst.12.xls,5d. 7.6:D4,3740,25,0,13,0
darron_c_giron_000_1_1_1.pst.137.xls,PRD Location_Def:K3439,774,2,0,2,0
dutch_quigley_000_1_1.pst.212.xls,Swap:AG9,322,1,0,1,0
