fileName,Max Dep Ref,GraphBuildTime,RedisGraphLookupSize,RedisGraphLookupTime,RedisGraphPostProcessedLookupSize,RedisGraphPostProcessedLookupTime
2015하수도통계(최종).xlsx,11_1하수처리수재이용:B96,73450,150,31,150,33
DINAS PENDIDIKAN GABUNG BOS OK BANGET.xlsx,PERHITUNGAN DISDIK 2019 (2):G8,41541,60000,60000,60000,60000
Master-Calculations-Global-WASH-CBA_GLOBAL_PUBLIC_VERSION5.xlsx,CALCULATIONS:S82,223636,60000,60000,60000,60000
Results Database 5.xlsx,04-05 (2):G231,416303,60000,60000,60000,60000
Scoliosis.FPO.xlsx,Eg-Financials:U3,103575,60000,60000,60000,60000
monte.xlsx,Sheet1:B4,4525,60000,60000,60000,60000
teeeest.xlsx,18:B5,51596,60000,60000,60000,60000
BBG_Security_Application_User_List_v5_34.xlsx,Position:AZ5,45061,2276,359,2024,368
BBG_Security_Application_User_List_v5_46.xlsx,Position:AZ5,64791,3138,496,3138,508
20180913_Data_Import_Tool_Logic..xlsx,20180912_Data_Import_Tool_v1:FL2,21063,40740,815,100,815
