fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:J3248,663,1,25,1,25
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,333,5610,110,5610,126
NIRISS_SIAF.xlsx,DDC:C20,98,22,1,2,1
工作簿1-20181122170204822.xlsx,不良明细:CEA5,147,2,0,1,0
W22704-181.xlsx,Sheet1:D2,627,14196,116,14196,137
tri-approx.xlsx,data:F4,1483,8194,114,8193,128
Kickstarter Campaigns.xlsx,Bonus 1:D5,278,4,1,1,1
VIL-2015-03.xlsx,MAR 5:Q20,70,12,0,12,0
model_OLD_13Feb.xlsx,X.b:G59,600,669,5,664,6
OBC8_4_16.xlsx,Data:J18035,7354,55,0,55,0
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,268,192,1,1,1
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,420,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D4,191,4,1,1,1
MM1-0832H-6588.xlsx,IP3:C150,128,3,0,3,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,78,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,371,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CEA5,93,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,236,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:H5,622,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:G38,511,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E81,207,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,229,6479,47,6478,56
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,1188,1,1,1,1
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,76,1,0,1,0
creazione dati clips.xlsx,turismresort:M19,405,11,1,2,1
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,165,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,288,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:C11,326,5610,43,5610,49
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,197,4,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,5674,9,0,2,0
Du Lieu.xlsx,data_202007:G43868,1363,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,1263,3,0,2,0
mapperComparisonData2.xlsx,Sheet5:AX38,258,8,0,8,0
Starter_YK.xlsx,BONUS:D6,379,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,741,57,1,56,1
Homework - week 1.xlsx,Bonus:D4,191,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,124,9999,52,1,63
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:L67,566,6,0,1,0
kc1prdb01.xlsx,DISK_SUMM:B44,147,3,0,1,0
hybrids_05.xlsx,vw:F30,240,505,3,1,3
10214-0_57pcs.xlsx,Calcu:B3,73,1073,10,1072,11
clientOutput_001.xlsx,clientOutput:C1500,118,3,0,2,0
غمراسن.xlsx,المشاريع:A3,67,355,2,1,2
工作簿1-20181122164849850.xlsx,不良明细:CEA5,92,2,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CEA5,92,2,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:G38,486,6,0,1,0
وذرف.xlsx,المشاريع:B3,169,355,1,1,1
euler第686题.xlsx,Sheet1:D24,249,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:C88,77,147,1,133,1
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:C10050,423,490,3,1,3
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:G38,431,6,1,1,1
VIL-2018-03.xlsx,MAR 5:S14,63,12,1,12,1
Xing -5.25.xlsx,Sheet4:D24,79,9,0,9,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:D12069,1797,3,0,2,0
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1379,75,1,1,1,1
homework 1 kickstarter chart.xlsx,data:D546,288,1,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,57,81,1,1,1
nm_Francis vs harmonic.xlsx,McalisterIanelli:L114,207,33,0,1,0
Backup of ZSJ_pocet_obyv-number-code.xlsx,zsj:E20240,186,1,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,576,65205,371,1,384
completed Analysis.xlsx,Descriptive staistics:B6,129,1,0,1,0
2019-06-17-1007_empty_racir.xlsx,Measurements:C11,290,5610,48,5610,54
MISO_load_2009-2013_to_Luke.xlsx,2009-2013:A2665,2706,4,0,1,1
SchedulamaticAugA.xlsx,Classes:E88,38,9,0,4,0
MUS_CPM_results.xlsx,MUS_CPM_results:D6264,834,2,0,2,0
Kraken_BTCEUR_1h.xlsx,Sheet1:B2,517,50543,329,50542,372
Weather (10h training).xlsx,Weather2:D41,147,4,0,4,0
MAP-原物料資料庫.xlsx,繩線類:M7,110,3,0,3,0
excel-challenge.xlsx,Original:I3871,197,1,0,1,0
