fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:J3248,1215,1,10,1,10
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,1059,17,2,6,2
NIRISS_SIAF.xlsx,DDC:C20,656,6,1,2,1
工作簿1-20181122170204822.xlsx,不良明细:CEA5,490,1,0,1,0
W22704-181.xlsx,Sheet1:D2,699,4,0,4,0
tri-approx.xlsx,data:F4,2857,3,0,2,0
Kickstarter Campaigns.xlsx,Bonus 1:D5,329,4,1,1,1
VIL-2015-03.xlsx,MAR 5:Q20,142,8,0,8,0
model_OLD_13Feb.xlsx,X.b:G59,2295,155,6,152,7
OBC8_4_16.xlsx,Data:J18035,7706,5,0,5,1
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,932,1,0,1,0
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,480,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D4,270,4,0,1,0
MM1-0832H-6588.xlsx,IP3:C150,260,3,0,3,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,66,1,1,1,1
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,461,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CEA5,253,1,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,255,1,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:H5,550,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:G38,859,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E81,219,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,522,6479,68,6478,83
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,1470,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,69,1,0,1,0
creazione dati clips.xlsx,turismresort:M19,403,11,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,167,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,312,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:C11,777,17,1,6,1
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,219,4,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,17074,9,1,2,1
Du Lieu.xlsx,data_202007:G43868,937,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,3090,3,0,2,0
mapperComparisonData2.xlsx,Sheet5:AX38,873,8,0,8,0
Starter_YK.xlsx,BONUS:D6,220,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,1891,57,1,56,1
Homework - week 1.xlsx,Bonus:D4,221,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,95,1,0,1,1
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:L67,932,6,0,1,0
kc1prdb01.xlsx,DISK_SUMM:B44,143,1,0,1,0
hybrids_05.xlsx,vw:F30,892,1,0,1,0
10214-0_57pcs.xlsx,Calcu:B3,248,41,1,37,1
clientOutput_001.xlsx,clientOutput:C1500,148,2,0,2,0
غمراسن.xlsx,المشاريع:A3,254,1,0,1,0
工作簿1-20181122164849850.xlsx,不良明细:CEA5,285,1,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CEA5,335,1,1,1,1
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:G38,769,6,0,1,0
وذرف.xlsx,المشاريع:B3,626,1,0,1,0
euler第686题.xlsx,Sheet1:D24,409,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:C88,300,42,1,33,1
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:C10050,742,1,1,1,1
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:G38,852,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S14,124,8,0,8,0
Xing -5.25.xlsx,Sheet4:D24,121,7,0,7,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:D12069,1842,3,0,2,0
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1379,203,1,1,1,1
homework 1 kickstarter chart.xlsx,data:D546,343,1,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,150,1,0,1,0
nm_Francis vs harmonic.xlsx,McalisterIanelli:L114,451,1,1,1,1
Backup of ZSJ_pocet_obyv-number-code.xlsx,zsj:E20240,134,1,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,871,1,0,1,0
completed Analysis.xlsx,Descriptive staistics:B6,165,1,0,1,0
2019-06-17-1007_empty_racir.xlsx,Measurements:C11,786,17,0,6,0
MISO_load_2009-2013_to_Luke.xlsx,2009-2013:A2665,2339,4,1,1,1
SchedulamaticAugA.xlsx,Classes:E88,79,9,0,4,0
MUS_CPM_results.xlsx,MUS_CPM_results:D6264,923,2,0,2,0
Kraken_BTCEUR_1h.xlsx,Sheet1:B2,377,3,0,2,0
Weather (10h training).xlsx,Weather2:D41,270,4,0,4,0
MAP-原物料資料庫.xlsx,繩線類:M7,223,3,0,3,0
excel-challenge.xlsx,Original:I3871,210,1,0,1,0
CONTRATACIONES_PUBLICADAS_POR_PROVEEDOR_2020_07_26.xlsx,Datos:H8357,3081,1,0,1,0
200729_EngineStudsTighteningTorqueR10.xlsx,Monocoque:AJ39,175,54,1,53,1
cw_updated_rgn_id.xlsx,cw_updated_rgn_id:C8634,534,3,0,1,0
Day2.xlsx,P1:C2,414,33,1,6,1
SAM-0.01 OR5x100-0.25_4 dataset analysis.xlsx,State026:B47,725,6,0,1,0
GSE142114_NGS_Hammerhead_Length_Filtered.xlsx,24-3 raw data:C2,1044,11,0,7,0
DB1.xlsx,Sheet3:D313,387,7,0,5,1
FlightData.xlsx,testflight1:E4145,225,2,0,1,0
UNIT1EXCEL_ELM.xlsx,Bonus Sheet:D5,199,3,0,2,0
steam_trend_data.xlsx,steam:S20551,1290,2,0,2,0
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :AW1,775,216,3,216,3
Datos.xlsx,Movimientos:L449,114,1,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:A26284,1323,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V10,792,1,0,1,0
MR_2016Q4_Exam.xlsx,Sheet1:F1929,514,1,0,1,0
30-4.xlsx,Load-Displacement:D41,236,11,0,4,0
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,Bonus1:D8,340,4,1,1,1
KickstarterStats.xlsx,Outcomes Based on Goal:D12,475,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,nguyen vat lieu kho:K45,218,53,0,53,0
Surf_overlay_diag_E.xlsx,ZIKV:A41,550,5,1,2,1
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:H11754,402,2,0,2,0
crime_v3.xlsx,crime_v3:C11,3148,1,0,1,0
StarterBook_jjree.xlsx,Original Data:I706,404,1,0,1,0
PV Angebots Tool.xlsx,PV-Data:H7852,1472,3,0,2,0
VIL-2015-12.xlsx,DEC 20:Q11,118,8,0,8,0
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S82,7500,8,0,8,0
Jan_2011.xlsx,Formatted Data:E1770,443,72,1,56,1
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J457,151,2,0,2,0
Solution_36.xlsx,Лист2:F13338,8962,6,0,2,0
Final result.xlsx,County_r_clean_nn_pred (5):Y38,220,5,1,3,1
Question 5.xlsx,Pre-Trade Single Stock:AJ25,3939,6,1,6,1
AP-Spring2018 (For Students).xlsx,HW6-Q1:M1,1788,9,0,9,0
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:AF83,404,24,0,23,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:H6,383,5,0,5,1
resultsTesting10multi.xlsx,resultsTesting2504:P45,88,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CEA5,236,1,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A5,776,71,1,71,1
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Pivot Tables:C7,108,1,0,1,0
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:E44,1427,11,0,10,0
CL4.xlsx,Sheet30:B61,304,7,1,6,1
or_embeddings_comparison_resolved.xlsx,Sheet2:B17,407,4,0,4,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:X287,309,2,0,2,0
dSWI4_one_strain_ANOVA_done-by-hand-in-Excel_20181205.xlsx,dSWI4_ANOVA:H5362,1575,6,1,4,1
工作簿1 - 副本-20181123112010151.xlsx,不良明细:CEA5,234,1,1,1,1
11202_个别报表_2019年度_深圳金信_V0.1 - 合并版.xlsx,preCF:F54,1150,20,0,15,0
shoe_data.xlsx,Germany:AM28,469,4,0,3,0
出行属性.xlsx,Sheet1:I14097,1781,1,0,1,0
KickStarter Data Analysis.xlsx,Data:I3500,200,1,0,1,0
US Presidential Results & PVIs by State 1828-2012 (1).xlsx,2-Party US Pres Results & PVIs:IC6,645,7,0,7,0
SAM-0.1 OR10x100-0.50_6 dataset analysis.xlsx,State026:G38,762,6,0,1,0
allTweets.xlsx,all:A2880,655,2,0,1,0
Hypotheekrente.xlsx,Lineair:C2,472,14,0,14,0
jane_tholt__13053__June 12 Proposal Without J4JB in Mcfd.xlsx,Assign To West Contracts:C88,325,42,0,33,0
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,PnL:G2,279,2,0,1,0
benodigde grafieken barometer GJ en wve def data update dec 2012.xlsx,data-voor-lippo:B6,150,27,1,26,1
ZSJ_pocet_obyv-number-code.xlsx,zsj:E20240,175,1,0,1,0
Project Data.xlsx,Outcome Based on Goal:D5,240,4,0,1,0
DatenFormatiert.xlsx,Tabelle1:B4747,71,1,0,1,0
Accidents.xlsx,Data:X21117,222,1,0,1,0
2020_IRGEI_03ANT_lite.xlsx,Fuentes puntuales:D1,4525,2,0,1,0
Test Runs.xlsx,Test 4b:B2,274,2,0,2,0
el staff coll.xlsx,APRIL2015 TO JAN2016 (4):L8066,2807,841,17,614,18
DMD_PRJ.xlsx,COM:J4,3157,846,15,846,16
Sample1.xlsx,Tabelle1:A40452,1488,1,0,1,0
tasa-de-homicidios.xlsx,Masivos:C6,145,7,0,7,0
Revidly_Analytics ( A.M.Srivatsan ).xlsx,Analytics11:C7047,2077,9,0,4,0
common.xlsx,Traditional:A1798,176,2,0,2,0
OECD.xlsx,AUT:S212,292,2,0,1,0
SolvedStarterBook.xlsx,Bonus:D11,267,4,0,1,0
ventasCocaCola_matrícula_solucion.xlsx,Datos:T56,2013,4,0,1,0
FN-2016-2019(1).xlsx,Monthly:B10,289,1,0,1,0
MLX90640 example data.xlsx,To calculation:B4,127,64,1,64,1
منزل النور.xlsx,المشاريع:A3,566,1,0,1,0
Stull-SkewT04-logP-modifyTheta_e compare to Bolton.xlsx,Sheet1:F3804,1100,7,1,3,1
SAM-0.1 OR30x100-0.50_8 dataset analysis.xlsx,State026:L67,852,6,0,1,0
GPSC_macro_size_2017.11.16new.xlsx,Polychaeta:M436,98,2,0,1,0
accum-temperature.xlsx,Лист1:J16036,2570,1,0,1,0
Scripps_150_JR_2013-01-25.xlsx,Assay Definition:E852,216,1,0,1,0
11301_个别报表_2019年度_北京金科_V0.1-合并版.xlsx,preCF:F13,1330,22,0,16,0
StarterBook_Homework_SMP.xlsx,New Sheet & Bonus:B11,232,6,0,4,0
Resultats Primaire T1 95pct.xlsx,RESULTATS BVP:U42,210,11,0,4,0
工作簿1-20181123094550369.xlsx,不良明细:CEA5,279,1,1,1,1
GEW.2012.JML.xlsx,E2 ISR raw data:D9009,748,1,0,1,0
gaslines_model_public.xlsx,Transect:A9,11091,263,4,13,4
edevlet-mezarlik-verileri.xlsx,Toplam:C452,262,1,0,1,0
