fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,721,2,25,1,26
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,432,6600,176,6600,195
NIRISS_SIAF.xlsx,Calc:AE3,92,900,14,900,16
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,112,2,0,1,0
W22704-181.xlsx,Sheet1:E2,821,14196,215,14196,243
tri-approx.xlsx,data:F4,1888,8194,99,8193,114
Kickstarter Campaigns.xlsx,Bonus 1:B3,308,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q10,73,9,0,9,0
model_OLD_13Feb.xlsx,Flows:E5,704,2049,30,2049,34
OBC8_4_16.xlsx,Data:I1233,8110,55,0,55,1
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,241,4189,486,4189,491
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,477,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D5,219,4,0,1,1
MM1-0832H-6588.xlsx,P1dB Pt:S12,229,13,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,90,1,0,1,1
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,295,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CBJ5,104,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,102,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:G2,733,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,480,6,1,1,1
Excel-Challenge Homework.xlsx,Sheet1:E539,220,2,0,1,1
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,265,6479,51,6478,57
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,1220,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,85,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,289,252,2,252,2
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,226,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,371,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,359,6600,59,6600,66
