fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,1404,2,10,1,10
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,1000,20,2,5,2
NIRISS_SIAF.xlsx,Calc:AE3,383,30,1,18,1
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,378,1,0,1,0
W22704-181.xlsx,Sheet1:E2,702,4,0,4,0
tri-approx.xlsx,data:F4,2961,3,1,2,1
Kickstarter Campaigns.xlsx,Bonus 1:B3,365,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q10,150,9,0,9,0
model_OLD_13Feb.xlsx,Flows:E5,2382,77,3,50,3
OBC8_4_16.xlsx,Data:I1233,7633,5,0,5,0
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,947,147,7,98,7
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,522,2,1,2,1
Homework 1 SFM.xlsx,Bonus:D5,208,4,0,1,0
MM1-0832H-6588.xlsx,P1dB Pt:S12,256,2,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,57,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,513,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CBJ5,253,1,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,333,1,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:G2,485,1,1,1,1
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,891,6,1,1,1
Excel-Challenge Homework.xlsx,Sheet1:E539,215,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,568,6479,68,6478,84
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,1240,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,66,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,435,3,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,159,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,248,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,775,20,0,5,0
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,219,1,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,16252,10,0,2,0
Du Lieu.xlsx,data_202007:E96800,854,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,3044,3,0,2,1
mapperComparisonData2.xlsx,Sheet3:K262,1019,26,0,26,0
Starter_YK.xlsx,backers:A956891,206,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,1936,59,1,58,1
Homework - week 1.xlsx,Bonus Worksheet - backers:B446,204,3,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,88,1,0,1,0
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:B88,717,6,1,1,1
kc1prdb01.xlsx,DISKBUSY:BA400,146,4,0,3,0
hybrids_05.xlsx,vw:C45,924,1,0,1,0
10214-0_57pcs.xlsx,Calcu:T7,270,45,1,42,1
clientOutput_001.xlsx,clientOutput:B2,131,5,0,2,0
غمراسن.xlsx,المشاريع:A3,229,1,0,1,0
工作簿1-20181122164849850.xlsx,不良明细:CBJ5,245,1,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CBJ5,352,1,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:B44,803,6,0,1,0
وذرف.xlsx,المشاريع:B3,671,1,0,1,0
euler第686题.xlsx,Sheet1:D9,448,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:CI10,296,94,2,88,2
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:B10014,745,30,1,30,1
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:B44,800,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S29,119,8,0,8,0
Xing -5.25.xlsx,Sheet2:G128,115,5,0,4,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:E2,1764,3,0,2,0
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1189,137,1,0,1,0
