fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,841,3,26,1,27
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,287,2978,87,2978,96
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,1568,4385,499,4385,504
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,102,306,2,306,2
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,150,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,49,131,1,131,1
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,169,306,3,306,3
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,201,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,105,23,0,3,0
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,147,294,2,1,2
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,385,33,1,19,1
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,101,613,4,2,5
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,2625,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,297,3150,61,3150,65
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,91,37,0,21,1
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,304,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,71,199,2,199,2
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,195,461,4,461,4
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,132,126,0,108,0
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,338,6479,93,6478,99
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,253,729,6,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,98,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N470,125,46,0,46,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,175,239,1,1,1
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,206,669,4,1,4
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,99,37,0,21,0
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,116,37,1,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,1422,4385,296,4385,300
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,110,236,3,236,3
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,159,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,56,366,4,364,5
kevin_presto_000_1_1.pst.261.xls,Results:K40,170,3,0,1,0
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,54,36,0,1,0
andy_zipper_000_1_1.pst.77.xls,DD-EGL:P29,120,3,0,3,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:DQ1659,336,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,182,1999,19,1999,20
vkaminski_000_1_1_1.pst.276.xls,payout model:D74,53,310,3,310,3
don_baughman_000_1_1.pst.151.xls,Sheet1:C38,95,37,0,21,0
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:AX2,1382,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Curves:G78,420,17,0,17,0
don_baughman_000_1_1.pst.143.xls,Sheet1:C38,98,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NONCEC:B4,59,211,4,160,4
andy_zipper_000_1_1.pst.106.xls,DD-EGL:P29,631,3,0,3,0
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:B5,873,158,1,9,1
mark_taylor_001_1_1.pst.58.xls,Sheet1:C369,218,8214,172,8214,178
andy_zipper_000_1_1.pst.70.xls,DD-EGL:P29,87,3,0,3,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D184,136,248,3,248,3
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:L31,226,223,1,222,1
don_baughman_000_1_1.pst.128.xls,Sheet1:C38,66,37,1,21,1
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U324,69,4,0,2,0
andy_zipper_000_1_1.pst.68.xls,DD-EGL:P29,72,3,0,3,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:K23,63,3,0,1,0
don_baughman_000_1_1.pst.175.xls,Sheet1:C38,104,37,0,21,0
john_zufferli_000_1_1.pst.54.xls,DATA:F38,98,3,0,1,0
chris_germany_000_1_2.pst.164.xls,Special Pricing:A327,82,8,0,8,0
andy_zipper_000_1_1.pst.85.xls,DD-EGL:P29,623,3,0,3,0
kevin_hyatt_000_1_1.pst.120.xls,Duke 500621:H12,79,235,2,233,2
jim_schwieger_000_1_1.pst.105.xls,Sheet1:B94,62,73,1,55,1
vkaminski_002_1_1_1.pst.12.xls,5e. 7.8:D4,1778,14018,161,14017,190
darron_c_giron_000_1_1_1.pst.137.xls,PRD Location_Def:H3819,630,2,0,2,0
dutch_quigley_000_1_1.pst.212.xls,Opt:B10,176,294,1,1,2
kevin_ruscitti_000_1_1.pst.157.xls,03-22-00AM:X531,160,1,0,1,0
andy_zipper_000_1_1.pst.144.xls,DD-EGL:P29,636,3,1,3,1
robin_rodrigue_000_1_1.pst.12.xls,Detail:E3372,176,1,0,1,0
andy_zipper_000_1_1.pst.21.xls,DD-EGL:P29,682,3,0,3,0
lindy_donoho_000_1_1_1.pst.123.xls,IG-BL by Month:AG37,55,0,0,0,0
tracy_geaccone_000_1_1.pst.146.xls,Trackers:D184,183,248,3,248,3
