fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,986,3,26,1,27
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,280,2978,148,2978,158
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,1939,4385,467,4385,474
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,155,306,3,306,3
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,216,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,72,131,2,131,2
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,232,306,4,306,4
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,147,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,87,23,0,3,1
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,91,294,2,1,3
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,540,33,0,19,0
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,147,613,5,2,5
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1235,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,347,3150,79,3150,84
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,92,37,1,21,1
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,355,7,1,5,1
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,45,199,2,199,3
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,213,461,22,461,22
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,138,126,2,108,2
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,246,6479,92,6478,100
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,247,729,8,729,9
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,101,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N470,89,46,0,46,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,214,239,2,1,2
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,215,669,8,1,8
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,108,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,108,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,1542,4385,420,4385,424
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,157,236,4,236,4
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,225,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,73,366,6,364,6
kevin_presto_000_1_1.pst.261.xls,Results:K40,103,3,1,1,1
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,73,36,1,1,1
andy_zipper_000_1_1.pst.77.xls,DD-EGL:P29,71,3,0,3,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:DQ1659,373,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,152,1999,25,1999,26
vkaminski_000_1_1_1.pst.276.xls,payout model:D74,64,310,4,310,5
don_baughman_000_1_1.pst.151.xls,Sheet1:C38,136,37,1,21,1
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:AX2,1694,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Curves:G78,534,17,1,17,1
don_baughman_000_1_1.pst.143.xls,Sheet1:C38,112,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NONCEC:B4,74,211,6,160,6
andy_zipper_000_1_1.pst.106.xls,DD-EGL:P29,769,3,0,3,1
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:B5,839,158,2,9,2
mark_taylor_001_1_1.pst.58.xls,Sheet1:C369,241,8214,194,8214,206
andy_zipper_000_1_1.pst.70.xls,DD-EGL:P29,60,3,0,3,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D184,159,248,4,248,4
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:L31,242,223,2,222,2
don_baughman_000_1_1.pst.128.xls,Sheet1:C38,71,37,0,21,0
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U324,66,4,0,2,0
andy_zipper_000_1_1.pst.68.xls,DD-EGL:P29,66,3,0,3,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:K23,66,3,0,1,0
don_baughman_000_1_1.pst.175.xls,Sheet1:C38,107,37,1,21,1
john_zufferli_000_1_1.pst.54.xls,DATA:F38,60,3,0,1,0
chris_germany_000_1_2.pst.164.xls,Special Pricing:A327,108,8,0,8,0
andy_zipper_000_1_1.pst.85.xls,DD-EGL:P29,777,3,0,3,0
kevin_hyatt_000_1_1.pst.120.xls,Duke 500621:H12,47,235,3,233,3
jim_schwieger_000_1_1.pst.105.xls,Sheet1:B94,129,73,1,55,1
vkaminski_002_1_1_1.pst.12.xls,5e. 7.8:D4,1770,14018,299,14017,313
darron_c_giron_000_1_1_1.pst.137.xls,PRD Location_Def:H3819,802,2,0,2,0
dutch_quigley_000_1_1.pst.212.xls,Opt:B10,85,294,3,1,3
kevin_ruscitti_000_1_1.pst.157.xls,03-22-00AM:X531,369,1,0,1,0
andy_zipper_000_1_1.pst.144.xls,DD-EGL:P29,790,3,0,3,0
robin_rodrigue_000_1_1.pst.12.xls,Detail:E3372,142,1,0,1,0
andy_zipper_000_1_1.pst.21.xls,DD-EGL:P29,823,3,1,3,1
lindy_donoho_000_1_1_1.pst.123.xls,IG-BL by Month:AG37,82,0,0,0,0
tracy_geaccone_000_1_1.pst.146.xls,Trackers:D184,209,248,4,248,4
don_baughman_000_1_1.pst.189.xls,Sheet1:C38,103,37,0,21,0
fletcher_sturm_000_1_1.pst.99.xls,Filter-new:B1,255,719,8,362,8
don_baughman_000_1_1.pst.200.xls,8-1:C38,214,37,1,21,1
juan_hernandez_000_1_1.pst.10.xls,Sheet1:C38,107,37,1,21,1
robin_rodrigue_000_1_1.pst.159.xls,Detail:E3372,161,1,0,1,0
vkaminski_002_1_1_1.pst.276.xls,Gas Curves:BV2,263,0,0,0,0
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AB14,226,0,0,0,0
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,369,10866,261,10866,271
dutch_quigley_000_1_1.pst.202.xls,A:DR249,424,493,5,492,5
