fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,1785,3,29,1,30
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,961,205,6,205,7
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,2925,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,129,4,0,4,0
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,4339,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,196,15,0,15,0
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,141,4,0,4,1
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,178,1,1,1,1
david_delainey_000_1_2.pst.137.xls,IDC:H11,668,5,0,3,0
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,298,1,0,1,0
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,6279,15,0,13,0
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,240,3,0,2,0
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,2017,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,944,29,0,29,0
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,371,37,1,21,1
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,366,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,169,6,0,6,0
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,3418,460,6,460,7
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,763,126,1,108,1
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,523,6479,61,6478,77
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,857,729,6,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,433,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N470,170,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,1735,1,0,1,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,316,2,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,424,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,425,37,1,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,2317,28,1,27,1
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,820,209,3,209,3
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,4067,1,1,1,1
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,474,326,4,324,4
kevin_presto_000_1_1.pst.261.xls,Results:K40,150,2,0,1,0
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,138,1,0,1,0
