fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,1842,3,10,1,11
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,773,205,7,205,8
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,2673,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,166,4,1,4,1
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,4151,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,224,15,0,15,0
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,152,4,0,4,0
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,187,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,631,5,0,3,0
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,314,1,0,1,0
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,7361,15,0,13,0
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,245,3,0,2,0
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,2089,1,1,1,1
vkaminski_000_1_1_1.pst.141.xls,053100:C51,953,29,0,29,0
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,368,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,410,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,184,6,0,6,0
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,3374,460,6,460,7
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,767,126,1,108,1
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,528,6479,49,6478,60
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,913,729,6,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,413,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N470,166,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,1740,1,0,1,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,346,2,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,440,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,445,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,2413,28,1,27,1
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,830,209,2,209,2
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,4034,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,482,326,4,324,4
kevin_presto_000_1_1.pst.261.xls,Results:K40,162,2,0,1,0
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,139,1,0,1,0
andy_zipper_000_1_1.pst.77.xls,DD-EGL:P29,200,3,0,3,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:DQ1659,6547,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,304,11,0,11,0
vkaminski_000_1_1_1.pst.276.xls,payout model:D74,146,9,0,4,0
don_baughman_000_1_1.pst.151.xls,Sheet1:C38,448,37,0,21,0
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:AX2,4401,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Curves:G78,953,17,1,17,1
don_baughman_000_1_1.pst.143.xls,Sheet1:C38,440,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NONCEC:B4,418,31,1,28,1
andy_zipper_000_1_1.pst.106.xls,DD-EGL:P29,921,3,0,3,0
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:B5,5561,19,1,9,1
mark_taylor_001_1_1.pst.58.xls,Sheet1:C369,501,25,0,25,0
andy_zipper_000_1_1.pst.70.xls,DD-EGL:P29,134,3,0,3,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D184,943,221,2,221,2
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:L31,1027,111,1,110,1
don_baughman_000_1_1.pst.128.xls,Sheet1:C38,307,37,0,21,0
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U324,104,4,0,2,0
andy_zipper_000_1_1.pst.68.xls,DD-EGL:P29,133,3,0,3,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:K23,133,3,0,1,0
don_baughman_000_1_1.pst.175.xls,Sheet1:C38,422,37,0,21,0
john_zufferli_000_1_1.pst.54.xls,DATA:F38,89,2,0,1,0
chris_germany_000_1_2.pst.164.xls,Special Pricing:A327,231,7,0,6,0
andy_zipper_000_1_1.pst.85.xls,DD-EGL:P29,865,3,0,3,0
kevin_hyatt_000_1_1.pst.120.xls,Duke 500621:H12,146,32,0,30,0
jim_schwieger_000_1_1.pst.105.xls,Sheet1:B94,619,71,1,55,1
vkaminski_002_1_1_1.pst.12.xls,5e. 7.8:D4,5157,45,0,44,0
darron_c_giron_000_1_1_1.pst.137.xls,PRD Location_Def:H3819,717,2,0,2,0
dutch_quigley_000_1_1.pst.212.xls,Opt:B10,343,1,0,1,0
kevin_ruscitti_000_1_1.pst.157.xls,03-22-00AM:X531,4101,1,0,1,0
andy_zipper_000_1_1.pst.144.xls,DD-EGL:P29,990,3,0,3,0
robin_rodrigue_000_1_1.pst.12.xls,Detail:E3372,152,1,0,1,0
andy_zipper_000_1_1.pst.21.xls,DD-EGL:P29,999,3,0,3,0
lindy_donoho_000_1_1_1.pst.123.xls,IG-BL by Month:AG37,266,0,0,0,0
tracy_geaccone_000_1_1.pst.146.xls,Trackers:D184,1192,221,2,221,2
don_baughman_000_1_1.pst.189.xls,Sheet1:C38,424,37,0,21,1
fletcher_sturm_000_1_1.pst.99.xls,Filter-new:B1,978,16,0,10,1
don_baughman_000_1_1.pst.200.xls,8-1:C38,862,37,1,21,1
juan_hernandez_000_1_1.pst.10.xls,Sheet1:C38,461,37,0,21,0
robin_rodrigue_000_1_1.pst.159.xls,Detail:E3372,178,1,0,1,0
vkaminski_002_1_1_1.pst.276.xls,Gas Curves:BV2,445,0,0,0,0
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AB14,1878,0,0,0,0
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,1197,105,2,59,2
dutch_quigley_000_1_1.pst.202.xls,A:DR249,899,33,0,32,0
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,1048,105,2,59,2
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):B651,1093,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B306,743,18,0,18,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C38,434,37,1,21,1
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:L31,898,111,1,110,1
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AB14,1294,0,0,0,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,307,3,0,3,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,516,10,0,9,0
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:DU7,387,2,0,2,0
michelle_lokay_000_1_2_1.pst.24.xls,Duke 500621:H12,126,32,1,30,1
tori_kuykendall_000_1_1_1.pst.48.xls,Price Sheet:B3,150,9,0,5,0
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,96,5,0,5,0
don_baughman_000_1_1.pst.152.xls,Sheet1:C38,438,37,0,21,0
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,131,4,0,4,0
benjamin_rogers_001_1_1.pst.153.xls,Curve Paste:BU217,3477,0,0,0,0
andy_zipper_000_1_1.pst.92.xls,DD-EGL:P29,1004,3,0,3,0
andy_zipper_000_1_1.pst.170.xls,Deal Detail:K727,161,3,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,878,729,5,729,6
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:D92,3304,460,5,460,5
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,930,729,5,729,5
benjamin_rogers_001_1_1.pst.2.xls,Wilton:T114,418,35,0,35,0
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:D30,283,6,0,2,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J28,1171,259,3,259,3
benjamin_rogers_000_1_1.pst.190.xls,CALC:FA17,2624,0,0,0,0
tracy_geaccone_000_1_1.pst.308.xls,Annual Fuel Calc Alt:I30,2596,64,0,64,0
benjamin_rogers_000_1_1.pst.142.xls,Debt:B54,501,326,5,324,5
don_baughman_000_1_1.pst.184.xls,Sheet1:C38,434,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,233,3,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-EGL:P29,217,3,0,3,0
phillip_m_love_000_1_1.pst.672.xls,m_chg:A7,2025,6,0,1,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:D108,3611,460,5,460,5
andy_zipper_000_1_1.pst.122.xls,DD-EGL:P29,932,3,0,3,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C38,456,37,1,21,1
darrell_schoolcraft_000_1_1_1.pst.219.xls,Duke 500621:H12,209,32,0,30,0
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AQ17,1404,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:V62,255,1,0,1,0
benjamin_rogers_000_1_1.pst.157.xls,Debt:B54,472,326,3,324,3
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:D30,259,6,0,2,0
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:Q355,760,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J11,1083,251,3,251,3
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:D108,3653,460,5,460,5
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,322,3,0,3,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I2376,176,4,1,4,1
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,2572,28,0,27,0
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CQ24,3964,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-EGL:P29,127,3,0,3,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AB14,3346,0,0,0,0
andy_zipper_000_1_1.pst.115.xls,DD-EGL:P29,854,3,0,3,0
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,2291,1,0,1,0
lynn_blair_000_1_1.pst.12.xls,Duke 500621:H12,227,32,1,30,1
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:AH22,4867,22,0,20,0
mike_grigsby_000_1_1_1.pst.106.xls,Curves:A1,2111,87,1,87,1
louise_kitchen_000_1_1_1_1.pst.244.xls,Cost Cancel Details:D140,4586,460,5,460,5
don_baughman_000_1_1.pst.191.xls,Sheet1:C38,436,37,0,21,0
juan_hernandez_000_1_1.pst.164.xls,Sheet1:C38,459,37,1,21,1
richard_shapiro_001_1_2.pst.124.xls,SUMMARY:D3,67,3,0,3,0
andy_zipper_000_1_1.pst.169.xls,Deal Detail:K23,131,3,0,1,0
darrell_schoolcraft_000_1_1_1.pst.364.xls,MissAla :J36,728,40,0,38,0
eric_saibi_000_1_1.pst.464.xls,ERCOT MCP BY INTERVAL:K7,227,14,0,5,0
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,461,6,0,5,0
andy_zipper_000_1_1.pst.71.xls,DD-EGL:P29,136,3,0,3,0
louise_kitchen_000_1_1_1_1.pst.212.xls,HR:H24,416,13,0,11,0
dan_hyvl_000_1_1.pst.112.xls,Purchasers:A119,166,27,0,27,0
andy_zipper_000_1_1.pst.54.xls,DD-EGL:P29,137,3,0,3,0
jonathan_mckay_000_1_1.pst.29.xls,TETCO_TRANSCO:F38,864,729,5,729,5
bill_williams_iii_000_1_1.pst.81.xls,BES Interval Data:F2288,117,1,0,1,0
daren_farmer_000_1_1.pst.1145.xls,Oct :Q16,306,11,0,11,0
benjamin_rogers_000_1_1.pst.12.xls,Peak:B57,272,2,0,1,0
matthew_lenhart_000_1_1.pst.23.xls,Curves:A1,2223,87,1,87,1
phillip_m_love_000_1_1.pst.677.xls,Curves:D15,1178,55,0,55,0
vkaminski_000_1_1_1.pst.174.xls,ZINC:B3505,366,7,0,5,0
john_lavorato_001_1_1_1.pst.86.xls,Months:F4,127,4,1,4,1
tracy_geaccone_000_1_1.pst.307.xls,Annual Fuel Calc Alt:I30,2907,64,0,64,0
jeff_dasovich_000_1_1_1.pst.91.xls,Template:N9,250,6,0,5,0
benjamin_rogers_001_1_1.pst.5.xls,Wilton:T114,546,35,1,35,1
gstorey_000_1_1.pst.116.xls,InputOutputSheet:S14,4889,2,0,2,0
scott_neal_000_1_1.pst.156.xls,Correlations:BC3,519,0,0,0,0
don_baughman_000_1_1.pst.137.xls,Sheet1:C38,524,37,0,21,0
stacey_white_000_1_1.pst.228.xls,ARG FIRM Port Calc Extract:M39,1008,7,0,7,0
tracy_geaccone_000_1_1.pst.269.xls,Trackers:D344,947,209,2,209,2
jane_tholt_000_1_1.pst.123.xls,Study 3:A9,422,15,0,9,0
jeffrey_a_shankman_000_1_2.pst.12.xls,APIS:C320,125,1,0,1,0
john_griffith_000_1_1.pst.196.xls,New Index Sale:N9,1381,16,0,16,0
daren_farmer_000_1_1.pst.1427.xls,Jan 01 trial:AB14,1152,0,0,0,0
louise_kitchen_000_1_1_1_1.pst.245.xls,Cost Cancel Details:D140,3621,460,4,460,5
barry_tycholiz_000_1_1.pst.77.xls,Sheet1:H19,849,19,0,16,0
paul_y'barbo_000_1_1.pst.61.xls,76%:D2,399,1789,11,1789,13
matthew_lenhart_001_1_1.pst.147.xls,OP.Power Desk Daily Price:B7,287,3,0,3,0
