fileName,Longest Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,3,9,1,9
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,205,8,205,8
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,4,0,4,0
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,15,0,15,0
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,4,0,4,0
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,5,0,3,0
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,1,0,1,0
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,15,0,13,0
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,3,0,2,0
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,29,0,29,0
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,6,1,6,1
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,460,6,460,7
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,126,1,108,1
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,6479,46,6478,57
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,729,5,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N470,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,1,0,1,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,2,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,37,0,21,0
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,37,1,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,28,0,27,0
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,209,2,209,3
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,326,4,324,4
kevin_presto_000_1_1.pst.261.xls,Results:K40,2,0,1,0
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,1,0,1,0
andy_zipper_000_1_1.pst.77.xls,DD-EGL:P29,3,0,3,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:DQ1659,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,11,1,11,1
vkaminski_000_1_1_1.pst.276.xls,payout model:D74,9,0,4,0
don_baughman_000_1_1.pst.151.xls,Sheet1:C38,37,0,21,0
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:AX2,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Curves:G78,17,0,17,0
don_baughman_000_1_1.pst.143.xls,Sheet1:C38,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NONCEC:B4,31,0,28,0
andy_zipper_000_1_1.pst.106.xls,DD-EGL:P29,3,0,3,0
