fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,1315,3,29,1,30
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,236,2978,78,2978,84
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,1442,4385,463,4385,468
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,161,306,3,306,3
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,191,0,0,0,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,88,131,2,131,2
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,293,306,5,306,5
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,422,1,0,1,0
david_delainey_000_1_2.pst.137.xls,ENA:U13,80,66,1,66,1
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,171,357,32,345,32
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,517,416,7,403,7
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,122,613,5,2,5
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,2557,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,309,3793,102,3791,106
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,82,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,279,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,74,199,2,199,2
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,174,667,7,667,8
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,120,1113,14,1113,15
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,228,6479,52,6479,58
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,237,729,5,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,95,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N28,165,46,0,46,0
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,167,720,5,720,6
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,202,668,5,1,5
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,96,37,0,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,112,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,1386,4385,356,4385,361
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,121,875,13,865,14
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,150,0,0,0,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,56,543,6,543,6
kevin_presto_000_1_1.pst.261.xls,Results:K5551,171,3,0,1,0
kim_ward_000_1_2.pst.406.xls,Sales:C9,49,1986,20,508,21
andy_zipper_000_1_1.pst.77.xls,DD-ENA:F500,94,8,0,8,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:BQ1974,335,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,147,1999,19,1999,20
vkaminski_000_1_1_1.pst.276.xls,payout model:AQ5,95,0,1,0,1
don_baughman_000_1_1.pst.151.xls,Sheet1:C20,94,37,0,21,0
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:BB2,1379,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Pastoria:F3,443,8312,151,8302,157
don_baughman_000_1_1.pst.143.xls,Sheet1:C20,110,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NP15:B4,59,285,5,234,5
andy_zipper_000_1_1.pst.106.xls,TRANSACTIONSUMMARYREPORT -1:N4780,664,9,0,4,0
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,853,18786,212,18786,226
mark_taylor_001_1_1.pst.58.xls,Sheet1:M4,228,8445,188,8445,196
andy_zipper_000_1_1.pst.70.xls,DD-ENA:F500,94,8,0,8,0
