fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,941,3,25,1,25
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,231,2978,110,2978,118
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,1980,4385,104,4385,111
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,211,306,2,306,2
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,223,0,0,0,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,73,131,1,131,2
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,253,306,2,306,3
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,192,1,0,1,0
david_delainey_000_1_2.pst.137.xls,ENA:U13,96,66,1,66,1
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,185,357,3,345,4
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,561,416,4,403,5
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,136,613,4,2,4
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1034,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,351,3793,66,3791,72
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,93,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,374,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,47,199,1,199,1
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,254,667,7,667,7
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,141,1113,9,1113,11
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,255,6479,62,6479,70
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,261,729,5,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,112,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N28,96,46,0,46,0
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,203,720,5,720,6
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,235,668,5,1,6
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,134,37,0,21,0
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,110,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,1632,4385,78,4385,82
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,155,875,9,865,9
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,220,0,0,0,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,72,543,5,543,6
kevin_presto_000_1_1.pst.261.xls,Results:K5551,102,3,0,1,0
kim_ward_000_1_2.pst.406.xls,Sales:C9,73,1986,15,508,16
andy_zipper_000_1_1.pst.77.xls,DD-ENA:F500,72,8,0,8,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:BQ1974,421,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,171,1999,16,1999,17
vkaminski_000_1_1_1.pst.276.xls,payout model:AQ5,63,0,0,0,0
don_baughman_000_1_1.pst.151.xls,Sheet1:C20,109,37,1,21,1
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:BB2,1678,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Pastoria:F3,506,8312,103,8302,109
don_baughman_000_1_1.pst.143.xls,Sheet1:C20,110,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NP15:B4,78,285,2,234,2
andy_zipper_000_1_1.pst.106.xls,TRANSACTIONSUMMARYREPORT -1:N4780,852,9,0,4,0
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,943,18786,129,18786,142
mark_taylor_001_1_1.pst.58.xls,Sheet1:M4,279,8445,122,8445,131
andy_zipper_000_1_1.pst.70.xls,DD-ENA:F500,68,8,0,8,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D61,174,1098,12,1087,13
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:Y86,261,270,2,270,2
don_baughman_000_1_1.pst.128.xls,Sheet1:C20,76,37,1,21,1
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U429,69,4,0,2,0
andy_zipper_000_1_1.pst.68.xls,DD-ENA:F500,68,8,0,8,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:B9,72,674,4,1,5
don_baughman_000_1_1.pst.175.xls,Sheet1:C20,110,37,0,21,0
john_zufferli_000_1_1.pst.54.xls,DATA:F1556,66,3,0,1,0
chris_germany_000_1_2.pst.164.xls,gatherco:J3,115,1132,7,1132,8
andy_zipper_000_1_1.pst.85.xls,TRANSACTIONSUMMARYREPORT -1:N4780,838,9,0,4,0
kevin_hyatt_000_1_1.pst.120.xls,PNM 500617:H12,51,238,2,235,2
jim_schwieger_000_1_1.pst.105.xls,Sheet1:BR179,89,121,1,105,2
vkaminski_002_1_1_1.pst.12.xls,5d. 7.6:D4,1894,17021,166,17020,180
darron_c_giron_000_1_1_1.pst.137.xls,PRD Location_Def:K3439,871,2,0,2,0
dutch_quigley_000_1_1.pst.212.xls,Swap:AG9,90,0,0,0,0
kevin_ruscitti_000_1_1.pst.157.xls,03-22-00AM:BT499,321,0,0,0,0
andy_zipper_000_1_1.pst.144.xls,TRANSACTIONSUMMARYREPORT -1:N4780,1023,9,0,4,0
robin_rodrigue_000_1_1.pst.12.xls,Detail:J4400,158,1,0,1,0
andy_zipper_000_1_1.pst.21.xls,TRANSACTIONSUMMARYREPORT -1:N4780,846,9,0,4,0
lindy_donoho_000_1_1_1.pst.123.xls,SJ by Month:H28,82,108,0,108,1
tracy_geaccone_000_1_1.pst.146.xls,Trackers:D61,223,1098,12,1087,13
don_baughman_000_1_1.pst.189.xls,Sheet1:C20,110,37,1,21,1
