fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,2245,3,10,1,11
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,783,205,5,205,6
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,3170,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,126,4,0,4,0
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,4532,0,0,0,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,195,19,0,19,0
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,154,4,0,4,0
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,229,1,0,1,0
david_delainey_000_1_2.pst.137.xls,ENA:U13,694,66,2,66,2
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,383,50,0,47,0
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,6483,14,1,12,1
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,247,3,0,2,0
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,2142,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,1129,36,0,35,0
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,430,37,1,21,1
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,410,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,191,6,0,6,0
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,3496,565,7,565,8
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,770,129,1,129,2
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,528,6479,54,6479,65
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,935,729,6,729,7
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,451,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N28,163,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,1814,3,0,2,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,317,1,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,495,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,512,37,0,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,3060,28,0,27,0
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,1090,745,10,735,11
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,4317,0,0,0,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,647,345,6,345,7
kevin_presto_000_1_1.pst.261.xls,Results:K5551,253,2,0,1,0
kim_ward_000_1_2.pst.406.xls,Sales:C9,158,29,1,26,1
andy_zipper_000_1_1.pst.77.xls,DD-ENA:F500,183,4,0,4,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:BQ1974,7956,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,301,11,0,11,0
vkaminski_000_1_1_1.pst.276.xls,payout model:AQ5,371,0,0,0,0
don_baughman_000_1_1.pst.151.xls,Sheet1:C20,656,37,0,21,0
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:BB2,4769,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Pastoria:F3,928,45,1,44,1
don_baughman_000_1_1.pst.143.xls,Sheet1:C20,447,37,0,21,0
stacey_white_000_1_1.pst.382.xls,NP15:B4,443,58,0,54,0
andy_zipper_000_1_1.pst.106.xls,TRANSACTIONSUMMARYREPORT -1:N4780,968,4,0,4,0
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,5149,3535,56,3535,60
mark_taylor_001_1_1.pst.58.xls,Sheet1:M4,500,11,0,10,0
andy_zipper_000_1_1.pst.70.xls,DD-ENA:F500,129,4,0,4,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D61,882,958,12,947,14
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:Y86,898,270,2,270,2
don_baughman_000_1_1.pst.128.xls,Sheet1:C20,285,37,0,21,0
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U429,104,4,0,2,0
andy_zipper_000_1_1.pst.68.xls,DD-ENA:F500,134,4,0,4,1
andy_zipper_000_1_1.pst.168.xls,Deal Detail:B9,121,1,0,1,0
don_baughman_000_1_1.pst.175.xls,Sheet1:C20,421,37,1,21,1
john_zufferli_000_1_1.pst.54.xls,DATA:F1556,93,2,0,1,0
chris_germany_000_1_2.pst.164.xls,gatherco:J3,214,104,1,104,1
andy_zipper_000_1_1.pst.85.xls,TRANSACTIONSUMMARYREPORT -1:N4780,945,4,0,4,0
kevin_hyatt_000_1_1.pst.120.xls,PNM 500617:H12,127,36,0,33,0
jim_schwieger_000_1_1.pst.105.xls,Sheet1:BR179,554,119,1,104,1
vkaminski_002_1_1_1.pst.12.xls,5d. 7.6:D4,3855,54,1,53,1
darron_c_giron_000_1_1_1.pst.137.xls,PRD Location_Def:K3439,728,2,0,2,0
dutch_quigley_000_1_1.pst.212.xls,Swap:AG9,269,0,0,0,0
kevin_ruscitti_000_1_1.pst.157.xls,03-22-00AM:BT499,3861,0,0,0,0
andy_zipper_000_1_1.pst.144.xls,TRANSACTIONSUMMARYREPORT -1:N4780,819,4,1,4,1
robin_rodrigue_000_1_1.pst.12.xls,Detail:J4400,163,1,0,1,0
andy_zipper_000_1_1.pst.21.xls,TRANSACTIONSUMMARYREPORT -1:N4780,893,4,0,4,0
lindy_donoho_000_1_1_1.pst.123.xls,SJ by Month:H28,235,108,1,108,1
tracy_geaccone_000_1_1.pst.146.xls,Trackers:D61,1094,958,9,947,10
don_baughman_000_1_1.pst.189.xls,Sheet1:C20,404,37,0,21,0
fletcher_sturm_000_1_1.pst.99.xls,Cash:D1,906,171,1,171,1
don_baughman_000_1_1.pst.200.xls,8-1:C20,807,37,0,21,0
juan_hernandez_000_1_1.pst.10.xls,Sheet1:C20,409,37,0,21,0
robin_rodrigue_000_1_1.pst.159.xls,Detail:J4400,161,1,0,1,0
vkaminski_002_1_1_1.pst.276.xls,Gas Curves:BV2,434,0,0,0,0
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AW14,1777,13,0,13,0
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,893,105,2,59,2
dutch_quigley_000_1_1.pst.202.xls,Position:Z2,852,49,1,26,1
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,936,105,1,59,1
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):F500,1115,5,1,3,1
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B759,692,19,0,19,0
don_baughman_000_1_1.pst.190.xls,Sheet1:C20,404,37,0,21,1
jonathan_mckay_000_1_1.pst.14.xls,TETCO_TRANSCO:Y86,855,270,2,270,2
daren_farmer_000_1_1.pst.1499.xls,Jan 01 trial:AW14,1325,13,0,13,0
stacey_white_000_1_1.pst.230.xls,OP.Power Desk Daily Price:B7,304,3,0,3,0
vkaminski_001_1_2_1.pst.125.xls,Metro:G2,450,10,0,9,0
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:H32,358,225,3,216,3
michelle_lokay_000_1_2_1.pst.24.xls,PNM 500617:H12,123,33,0,30,0
tori_kuykendall_000_1_1_1.pst.48.xls,Sheet1:C1,140,19,0,19,0
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,97,5,0,5,0
don_baughman_000_1_1.pst.152.xls,Sheet1:C20,411,37,0,21,0
mike_grigsby_000_1_1_1.pst.255.xls,Months:F4,125,4,0,4,0
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,3266,3324,49,3320,55
andy_zipper_000_1_1.pst.92.xls,TRANSACTIONSUMMARYREPORT -1:N4780,849,4,1,4,1
andy_zipper_000_1_1.pst.170.xls,Deal Detail:A9,148,1,0,1,0
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,847,729,4,729,5
louise_kitchen_000_1_1_1_1.pst.259.xls,Cost Cancel Details:C18,2909,565,5,565,6
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,836,729,4,729,5
benjamin_rogers_001_1_1.pst.2.xls,Wheatland:Z66,384,45,1,45,1
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:F9,277,5,0,3,0
chris_germany_000_1_1_1.pst.125.xls,Total Reqs:J65,1067,259,2,259,2
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,2377,2365,25,2362,26
tracy_geaccone_000_1_1.pst.308.xls,WESTCompare0201:AP7,2289,0,0,0,0
benjamin_rogers_000_1_1.pst.142.xls,Depreciation:Z46,456,345,4,345,4
don_baughman_000_1_1.pst.184.xls,Sheet1:C20,420,37,0,21,0
eric_saibi_000_1_1.pst.218.xls,Graph:D4,244,3,0,2,0
andy_zipper_000_1_1.pst.76.xls,DD-ENA:F500,158,4,0,4,0
phillip_m_love_000_1_1.pst.672.xls,m1:A5,1795,4,0,3,0
louise_kitchen_000_1_1_1_1.pst.0.xls,Cost Cancel Details:C58,3160,565,5,565,5
andy_zipper_000_1_1.pst.122.xls,TRANSACTIONSUMMARYREPORT -1:N4780,866,4,0,4,0
don_baughman_000_1_1.pst.142.xls,Sheet1:C20,412,37,1,21,1
darrell_schoolcraft_000_1_1_1.pst.219.xls,USGT 500616:G12,180,41,0,41,0
jim_schwieger_000_1_1.pst.104.xls,Sheet1:AR17,1439,0,0,0,0
john_griffith_000_1_1.pst.546.xls,Power:AF154,246,2,0,1,0
benjamin_rogers_000_1_1.pst.157.xls,Depreciation:Z46,452,345,3,345,4
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:F9,236,5,0,3,0
robin_rodrigue_000_1_1.pst.137.xls,Sheet10:R936,713,3,0,2,0
chris_germany_000_1_1_1.pst.109.xls,Total Reqs:J69,980,251,2,251,2
louise_kitchen_000_1_1_1_1.pst.249.xls,Cost Cancel Details:C58,3107,565,4,565,5
matthew_lenhart_001_1_1.pst.154.xls,OP.Power Desk Daily Price:B7,261,3,0,3,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,174,8,0,8,0
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,2378,28,1,27,1
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CN222,3910,1,0,1,0
andy_zipper_000_1_1.pst.69.xls,DD-ENA:F500,136,4,0,4,0
joe_parks_000_1_1.pst.213.xls,Jan 01 trial:AW14,3318,13,0,13,0
andy_zipper_000_1_1.pst.115.xls,TRANSACTIONSUMMARYREPORT -1:N4780,819,4,1,4,1
don_baughman_000_1_1.pst.174.xls,Sheet4:H2,1919,1,0,1,0
