fileName,Max Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
chris_germany_000_1_1_1.pst.173.xls,Sheet1:U231,1,9,1,10
hunter_shively_000_1_1.pst.213.xls,Sheet1:R27,1,1,1,1
phillip_allen_000_1_1.pst.220.xls,weekly:I37,10,1,7,1
sara_shackleton_000_1_1_1.pst.40.xls,Momma Credit Form :I29,3,0,3,0
lindy_donoho_000_1_1_1.pst.122.xls,2001:E1,27,1,26,1
lisa_gang_000_1_1.pst.331.xls,BASE GENERATION FORECAST:C10,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,19,1,19,1
lisa_gang_000_1_1.pst.234.xls,EES-Schedule day 1:AA12,0,0,0,0
richard_ring_000_1_1.pst.102.xls,BASE GENERATION FORECAST:C10,1,0,1,0
lisa_gang_000_1_1.pst.137.xls,EES-Schedule day 1:AA12,0,0,0,0
mary_fischer_000_1_1.pst.448.xls,Sheet1:F38,20,0,20,0
paul_y'barbo_000_1_1.pst.15.xls,Summary:I33,5,0,5,0
jeff_dasovich_000_1_1_1.pst.191.xls,Model:J18,24,1,6,1
daren_farmer_001_1_1.pst.1190.xls,Mar-98:B9,6,0,6,0
michelle_lokay_000_1_2_1.pst.282.xls,Sheet1:B9,6,1,5,1
sally_beck_000_1_1_1_1.pst.307.xls,Mgmt Summary:I15,19,1,16,1
scott_neal_000_1_1.pst.774.xls,Sheet1:E30,77,3,47,3
daren_farmer_001_1_1.pst.1093.xls,DELV SUMMARY:A8,1,0,1,0
kevin_presto_000_1_1.pst.110.xls,NPCC:H11,2,0,2,0
lisa_gang_000_1_1.pst.88.xls,LOSSES:C16,3,1,2,1
rick_buy_000_1_1_1_1.pst.80.xls,Country Risk Rating May 2001:R56,2,0,2,0
chris_germany_000_1_2.pst.462.xls,external:C8,7,1,6,1
kevin_presto_000_1_1.pst.245.xls,NPCC:H11,2,0,2,0
kevin_presto_000_1_1.pst.148.xls,NPCC:H11,2,0,2,0
chris_germany_000_1_1_1.pst.75.xls,Sheet1:F11,3,1,3,1
kevin_presto_000_1_1.pst.342.xls,NPCC:H11,2,0,2,0
mary_hain_000_1_1.pst.111.xls,125 CRAC:C5,37,1,21,1
darrell_schoolcraft_000_1_1_1.pst.661.xls,Sheet1:G24,4,0,3,0
scott_neal_000_1_1.pst.107.xls,STOR951:D13,13,0,4,0
monika_causholli_000_1_1.pst.19.xls,Paper:H11,1,0,1,0
vladi_pimenov_000_1_1.pst.70.xls,CurveFetch:E3,140,1,1,1
john_forney_000_1_1.pst.29.xls,Sheet1:Q5,2,0,2,0
jane_tholt_000_1_1.pst.14.xls,Harbor Cogen:B14,17,0,9,0
lisa_gang_000_1_1.pst.41.xls,APRIL (8):O24,10,0,7,0
tracy_geaccone_000_1_1.pst.291.xls,Sheet1:D8,5,0,4,0
chris_germany_000_1_2.pst.1146.xls,Sheet1:C6,2,0,2,0
jim_schwieger_000_1_1.pst.10.xls,STOR951:D13,13,0,4,0
darrell_schoolcraft_000_1_1_1.pst.226.xls,22:C9,7,0,3,0
darrell_schoolcraft_000_1_1_1.pst.670.xls,Sheet1:G24,4,0,3,0
kevin_presto_000_1_1.pst.101.xls,NPCC:H11,2,0,2,0
kim_ward_000_1_2.pst.132.xls,Momma Credit Form :I29,3,0,3,0
louise_kitchen_000_1_1_1_1.pst.17.xls,Cost Summary:B9,3,0,2,0
darrell_schoolcraft_000_1_1_1.pst.420.xls,Sublette:H11,2,0,2,0
jeff_dasovich_000_1_1_1.pst.182.xls,8.15:E12,5,0,4,0
dan_hyvl_000_1_1.pst.167.xls,Sheet1:D14,11,0,7,0
benjamin_rogers_001_1_1.pst.144.xls,ENA Comps:B12,7,0,3,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:B9,1,0,1,0
don_baughman_000_1_1.pst.175.xls,Sheet1:C20,37,0,17,1
scott_neal_000_1_1.pst.880.xls,Sheet1:B10,62,2,16,3
darron_c_giron_002_1_1_1.pst.162.xls,Sheet1:A22,1,1,1,1
kevin_presto_000_1_1.pst.351.xls,NPCC:H11,2,0,2,0
matthew_lenhart_001_1_1.pst.161.xls,Power Desk Daily PriceA:B9,3,0,3,0
shelley_corman_000_1_1.pst.59.xls,WOT by Month:U35,11,0,10,1
vkaminski_000_1_1_1.pst.195.xls,PricesW:B2,1,0,1,0
mary_hain_000_1_1.pst.158.xls,Sheet1:E8,11,1,8,1
peter_keavey_000_1_1.pst.130.xls,Sheet1:C19,3,0,3,0
phillip_m_love_000_1_1.pst.206.xls,Orig Sched:N17,5,0,4,0
chris_germany_000_1_1_1.pst.66.xls,Daily Activity:B8,75,1,54,1
lisa_gang_000_1_1.pst.146.xls,EES-Schedule day 1:AA12,0,0,0,0
sally_beck_001_1_2_1.pst.214.xls,Summary YTD:I14,41,1,41,1
vkaminski_001_1_2_1.pst.336.xls,Amort:F10,57,1,14,1
chris_germany_000_1_1_1.pst.182.xls,Tenn:D23,117,2,4,3
chris_germany_000_1_2.pst.133.xls,John's Page:G32,27,0,12,0
chris_germany_000_1_2.pst.115.xls,Mar 2002:C17,6,0,4,0
jeff_dasovich_000_1_1_1.pst.4.xls,Sheet1:F30,6,0,3,0
phillip_allen_000_1_1.pst.114.xls,weekly:I37,10,0,8,0
lisa_gang_000_1_1.pst.128.xls,day 2:AA12,0,0,0,0
richard_ring_000_1_1.pst.111.xls,BASE GENERATION FORECAST:C10,1,0,1,0
benjamin_rogers_001_1_1.pst.250.xls,Debt:B32,571,13,67,14
daren_farmer_002_1_1.pst.27.xls,CoOwner Vols:R23,5,0,5,0
thomas_martin_000_1_1_1.pst.50.xls,YTD_NG:I18,3,0,2,0
andy_zipper_000_1_1.pst.159.xls,Broker Data:C5,2,0,2,0
shelley_corman_000_1_1.pst.30.xls,TW Revenues:C9719,3,1,1,1
richard_shapiro_001_1_1_1.pst.3.xls,Summary:A34,17,0,17,0
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,3324,60,256,65
kim_ward_000_1_2.pst.179.xls,Sheet1:C9,10,0,5,0
hunter_shively_000_1_1.pst.348.xls,DAILY:AF2,0,0,0,0
benjamin_rogers_001_1_1.pst.232.xls,Debt:B102,397,5,46,6
kenneth_lay_000_1_1_1_1.pst.37.xls,ENRON:E18,20,0,20,0
mary_fischer_000_1_1.pst.119.xls,1001:E36,22,0,11,0
don_baughman_000_1_1.pst.184.xls,Sheet1:C20,37,0,17,0
chris_germany_001_1_1.pst.110.xls,Sheet1:B13,5,0,5,0
richard_ring_000_1_1.pst.149.xls,2001:AA31,0,0,0,0
paul_y'barbo_000_1_1.pst.180.xls,LPG & No. 2 OIL:E45,11,0,9,0
dutch_quigley_000_1_1.pst.137.xls,Sheet1:D5,2,0,2,0
chris_germany_000_1_2.pst.62.xls,Daily Activity:C12,5,0,4,0
chris_germany_000_1_2.pst.1049.xls,Monthly Summary:F7,6,0,6,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,8,0,7,0
mark_taylor_001_1_1.pst.132.xls,Sheet1:O13,3,0,2,0
lisa_gang_000_1_1.pst.79.xls,LOSSES:C16,3,0,2,0
john_lavorato_001_1_2.pst.102.xls,Sheet1:I4,47,1,37,1
mike_grigsby_000_1_1_1.pst.106.xls,Power Curve:J5,3954,628,1151,631
chris_germany_000_1_2.pst.259.xls,Feb 28:L14,35,1,25,1
daren_farmer_001_1_1.pst.1084.xls,Apr 00:D52,19,0,19,0
michelle_lokay_000_1_2_1.pst.273.xls,NW:AB5,4,0,4,0
jay_reitmeyer_000_1_1.pst.221.xls,Summary:E23,7,0,6,0
darrell_schoolcraft_000_1_1_1.pst.379.xls,Feb 02:A6,2,0,1,0
lynn_blair_000_1_1.pst.144.xls,July:F37,72,1,43,1
john_forney_000_1_1.pst.38.xls,Sheet1:Q5,2,0,2,0
thomas_martin_000_1_1_1.pst.97.xls,Floor Plan:I62,6,0,1,0
kam_keiser_000_1_1.pst.12.xls,US:B12,6,0,1,0
darrell_schoolcraft_000_1_1_1.pst.458.xls,by type_area:J4,35,0,34,0
andy_zipper_000_1_1.pst.186.xls,Sheet1:B9,6,0,3,0
paul_lucci_000_1_1.pst.105.xls,PowerPrices:BR5,10,0,10,0
hunter_shively_000_1_1.pst.222.xls,Sheet1:Y9,14,0,14,0
benjamin_rogers_001_1_1.pst.126.xls,UAE:F60,19,0,19,0
paul_y'barbo_000_1_1.pst.24.xls,LNG:J4,111,2,71,2
sally_beck_000_1_2_1.pst.5.xls,Hdct & Wages:B13,113,1,113,1
gerald_nemec_000_1_1.pst.38.xls,Pursue Master:E12,3,0,2,0
larry_campbell_000_1_1.pst.385.xls,Variable Prod Costs:D38,7,0,5,0
darron_c_giron_002_1_1_1.pst.144.xls,Sheet2:C5,9,0,9,0
benjamin_rogers_000_1_1.pst.103.xls,Forecast Info:A5,28,2,4,2
kevin_presto_000_1_1.pst.139.xls,NPCC:H11,2,0,2,0
lisa_gang_000_1_1.pst.6.xls,MARCH(17):H19,10,0,5,0
michael_maggi_000_1_1_1.pst.1.xls,SC:D36,2,0,2,0
barry_tycholiz_000_1_1.pst.14.xls,Denver office:U11,5,0,4,0
kim_ward_000_1_2.pst.540.xls,Sheet1:H11,7,0,4,0
benjamin_rogers_001_1_1.pst.5.xls,Wheatland:Z66,45,0,17,0
scott_neal_000_1_1.pst.792.xls,Sheet1:J3,7,0,4,0
chris_germany_000_1_2.pst.142.xls,CNG:L2,90,2,74,2
lisa_gang_000_1_1.pst.155.xls,EES-Schedule day 1:AA12,0,0,0,0
james_steffes_000_1_1.pst.33.xls,Sheet1:Q49,5,0,5,0
darrell_schoolcraft_000_1_1_1.pst.388.xls,02-(27)intra:D10,5,0,2,0
bill_williams_iii_000_1_1.pst.71.xls,Sheet1:L3,1,0,1,0
jonathan_mckay_000_1_1.pst.111.xls,Nov-Mar settle:C56,1,0,1,0
chris_germany_000_1_1_1.pst.191.xls,Tenn:D31,117,2,4,2
joe_parks_000_1_1.pst.190.xls,Trades:A1,1,0,1,0
kate_symes_000_1_1.pst.116.xls,2-15:S8,3,0,2,0
louise_kitchen_001_1_1_1.pst.207.xls,Daily Roll:E48,15,0,15,0
chris_germany_000_1_2.pst.106.xls,Sheet1:B8,63,1,7,1
lisa_gang_000_1_1.pst.313.xls,Scheduling:AJ5,0,0,0,0
john_arnold_000_1_2.pst.10.xls,Full Version:C9,4,0,3,0
john_forney_000_1_1.pst.47.xls,frontcalc:B12,7,0,6,0
lisa_gang_000_1_1.pst.119.xls,Sheet1:F8,2,0,1,0
chris_germany_000_1_2.pst.53.xls,For Sequent:C16,5,0,4,0
lynn_blair_000_1_1.pst.153.xls,Scores:DV62,5,0,3,0
kevin_presto_000_1_1.pst.166.xls,NPCC:H11,2,0,2,0
phillip_m_love_000_1_1.pst.614.xls,Summary:B20,3,0,2,0
chris_germany_000_1_1_1.pst.155.xls,NewPowerPurchase2011:AN12,0,0,0,0
scott_neal_000_1_1.pst.950.xls,unvested:E8,37,0,21,0
chris_germany_000_1_2.pst.444.xls,CGAS:E12,25,1,21,1
darron_c_giron_000_1_1_1.pst.287.xls,MGMT-WEST:A4,4,0,4,0
paul_y'barbo_000_1_1.pst.33.xls,LNG:J4,111,1,71,1
kim_ward_000_1_2.pst.105.xls,Pricing & Purchase Strategy:F14,15,0,7,0
theresa_staab_000_1_1.pst.4.xls,S Kitty Detail:E11,18,0,16,0
benjamin_rogers_000_1_1.pst.112.xls,Sheet1:B8,84,0,23,1
darrell_schoolcraft_000_1_1_1.pst.546.xls,Jan 2002:A6,2,0,1,0
louise_kitchen_000_1_1_1_1.pst.167.xls,Sheet1:K33,4,0,4,0
matthew_lenhart_001_1_1.pst.152.xls,OP.Power Desk Daily Price:B7,3,0,2,0
scott_neal_000_1_1.pst.756.xls,Sheet1:E30,78,0,48,1
cooper_richey_000_1_1.pst.19.xls,Sheet1:I18,3,0,3,0
darron_c_giron_002_1_1_1.pst.171.xls,HouseSave:C38,11,1,11,1
peter_keavey_000_1_1.pst.63.xls,Reported:G67,1,0,1,0
dutch_quigley_000_1_1.pst.119.xls,Sheet1:G34,4,0,3,0
john_lavorato_000_1_1_1.pst.55.xls,PEAK:N6,4,0,2,0
chris_germany_000_1_2.pst.471.xls,2001 CG:D49,6,0,6,0
joe_parks_000_1_1.pst.417.xls,available capacity:B29,2,0,2,0
mike_carson_000_1_1.pst.26.xls,Sheet1:F16,1,0,1,0
chris_dorland_000_1_1_1.pst.9.xls,X Forecast:AC5,6,0,3,0
darron_c_giron_000_1_1_1.pst.152.xls,Sheet2:B9,1,0,1,0
phillip_m_love_001_1_1.pst.130.xls,Orig Sched:N72,5,0,4,0
