fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,1577,3,8,1,8
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,768,205,10,205,11
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,2578,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,127,4,0,4,0
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,4199,0,0,0,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,194,19,0,19,0
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,147,4,0,4,0
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,180,1,0,1,0
david_delainey_000_1_2.pst.137.xls,ENA:U13,599,66,1,66,1
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,235,50,1,47,1
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,6201,14,0,12,0
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,229,3,0,2,0
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1965,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,909,36,0,35,0
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,374,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,350,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,179,6,1,6,1
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,3264,565,8,565,9
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,788,129,1,129,1
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,519,6479,52,6479,65
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,996,729,6,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,447,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N28,172,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,1811,3,0,2,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,434,1,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,469,37,0,21,0
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,439,37,1,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,2495,28,1,27,1
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,860,745,9,735,10
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,3974,0,0,0,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,469,345,5,345,5
kevin_presto_000_1_1.pst.261.xls,Results:K5551,153,2,0,1,0
kim_ward_000_1_2.pst.406.xls,Sales:C9,131,29,0,26,0
andy_zipper_000_1_1.pst.77.xls,DD-ENA:F500,162,4,0,4,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:BQ1974,6232,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,283,11,0,11,0
vkaminski_000_1_1_1.pst.276.xls,payout model:AQ5,148,0,0,0,0
don_baughman_000_1_1.pst.151.xls,Sheet1:C20,468,37,0,21,0
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:BB2,4344,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Pastoria:F3,859,45,0,44,0
don_baughman_000_1_1.pst.143.xls,Sheet1:C20,431,37,0,21,0
stacey_white_000_1_1.pst.382.xls,NP15:B4,393,58,0,54,0
andy_zipper_000_1_1.pst.106.xls,TRANSACTIONSUMMARYREPORT -1:N4780,979,4,0,4,0
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,5072,3535,52,3535,55
mark_taylor_001_1_1.pst.58.xls,Sheet1:M4,498,11,0,10,0
andy_zipper_000_1_1.pst.70.xls,DD-ENA:F500,122,4,0,4,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D61,878,958,10,947,11
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:Y86,855,270,2,270,3
