fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,1632,3,10,1,11
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,614,205,9,205,10
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,3086,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,127,4,0,4,0
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,3334,0,0,0,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,229,19,0,19,0
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,132,4,1,4,1
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,154,1,0,1,0
david_delainey_000_1_2.pst.137.xls,ENA:U13,659,66,2,66,2
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,336,50,1,47,1
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,3360,14,0,12,0
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,288,3,0,2,0
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,881,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,1228,36,1,35,1
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,384,37,0,21,1
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,464,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,150,6,0,6,0
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,5063,565,11,565,12
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,958,129,2,129,2
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,594,6479,67,6479,81
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,748,729,8,729,9
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,463,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N28,132,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,1681,3,0,2,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,390,1,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,431,37,0,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,428,37,1,21,1
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,3081,28,0,27,0
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,1177,745,13,735,14
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,3000,0,0,0,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,637,345,8,345,8
kevin_presto_000_1_1.pst.261.xls,Results:K5551,81,2,1,1,1
kim_ward_000_1_2.pst.406.xls,Sales:C9,155,29,0,26,0
andy_zipper_000_1_1.pst.77.xls,DD-ENA:F500,140,4,0,4,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:BQ1974,6900,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,307,11,0,11,0
vkaminski_000_1_1_1.pst.276.xls,payout model:AQ5,139,0,0,0,0
don_baughman_000_1_1.pst.151.xls,Sheet1:C20,460,37,1,21,1
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:BB2,5527,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Pastoria:F3,1083,45,0,44,0
don_baughman_000_1_1.pst.143.xls,Sheet1:C20,444,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NP15:B4,505,58,0,54,0
andy_zipper_000_1_1.pst.106.xls,TRANSACTIONSUMMARYREPORT -1:N4780,1110,4,0,4,0
