fileName,Max Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,3,9,1,11
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,205,5,205,6
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,28,0,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,4,0,4,0
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,0,0,0,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,19,1,19,1
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,4,0,4,0
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,1,0,1,0
david_delainey_000_1_2.pst.137.xls,ENA:U13,66,0,66,0
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,50,0,47,0
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,14,0,12,0
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,3,0,2,0
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,36,1,35,1
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,6,0,6,0
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,335,7,335,8
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,109,1,109,1
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,6479,49,6479,60
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,729,5,729,6
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N28,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,2,0,2,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,1,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,37,0,21,0
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,28,0,27,0
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,745,7,735,7
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,0,0,0,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,345,4,345,4
kevin_presto_000_1_1.pst.261.xls,Results:K5551,2,0,1,0
kim_ward_000_1_2.pst.406.xls,Sales:C9,29,0,26,1
andy_zipper_000_1_1.pst.77.xls,DD-ENA:F500,4,0,4,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:BQ1974,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,11,0,11,0
vkaminski_000_1_1_1.pst.276.xls,payout model:AQ5,0,0,0,0
don_baughman_000_1_1.pst.151.xls,Sheet1:C20,37,1,21,1
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:BB2,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Pastoria:F3,45,0,44,0
don_baughman_000_1_1.pst.143.xls,Sheet1:C20,37,0,21,0
stacey_white_000_1_1.pst.382.xls,NP15:B4,56,0,52,0
andy_zipper_000_1_1.pst.106.xls,TRANSACTIONSUMMARYREPORT -1:N4780,4,0,4,0
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,3535,33,3535,36
mark_taylor_001_1_1.pst.58.xls,Sheet1:M4,11,0,10,0
andy_zipper_000_1_1.pst.70.xls,DD-ENA:F500,4,0,4,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D61,958,10,947,11
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:Y86,270,2,270,2
don_baughman_000_1_1.pst.128.xls,Sheet1:C20,37,0,21,0
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U429,4,0,2,0
