fileName,Longest Dep Ref,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
chris_germany_000_1_1_1.pst.173.xls,Sheet1:T553,1,10,1,11
hunter_shively_000_1_1.pst.213.xls,Sheet1:R27,1,0,1,0
phillip_allen_000_1_1.pst.220.xls,weekly:F6,10,1,9,1
sara_shackleton_000_1_1_1.pst.40.xls,Momma Credit Form :H33,3,0,3,0
lindy_donoho_000_1_1_1.pst.122.xls,2001:J1,25,2,25,2
lisa_gang_000_1_1.pst.331.xls,BASE GENERATION FORECAST:C10,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,15,1,15,1
lisa_gang_000_1_1.pst.234.xls,EES-Schedule day 1:P11,13,0,13,0
richard_ring_000_1_1.pst.102.xls,BASE GENERATION FORECAST:C10,1,0,1,1
lisa_gang_000_1_1.pst.137.xls,EES-Schedule day 1:P11,13,0,13,0
mary_fischer_000_1_1.pst.448.xls,Sheet1:J24,19,0,19,0
paul_y'barbo_000_1_1.pst.15.xls,Summary:N13,3,0,2,0
jeff_dasovich_000_1_1_1.pst.191.xls,Model:J18,24,0,6,0
daren_farmer_001_1_1.pst.1190.xls,DEC. 1997:C5,3,0,2,0
michelle_lokay_000_1_2_1.pst.282.xls,Sheet1:B12,6,0,5,0
sally_beck_000_1_1_1_1.pst.307.xls,GrossMargin:F18,15,0,15,0
scott_neal_000_1_1.pst.774.xls,Sheet1:E30,77,2,47,3
daren_farmer_001_1_1.pst.1093.xls,DELV SUMMARY:A8,1,0,1,0
kevin_presto_000_1_1.pst.110.xls,NPCC:H35,2,0,2,0
lisa_gang_000_1_1.pst.88.xls,LOSSES:B14,3,0,3,0
rick_buy_000_1_1_1_1.pst.80.xls,Methodology:F6,1,1,1,1
chris_germany_000_1_2.pst.462.xls,external:C8,7,1,6,1
kevin_presto_000_1_1.pst.245.xls,NPCC:H35,2,0,2,0
kevin_presto_000_1_1.pst.148.xls,NPCC:H35,2,0,2,0
chris_germany_000_1_1_1.pst.75.xls,Sheet1:F11,3,0,3,0
kevin_presto_000_1_1.pst.342.xls,NPCC:H35,2,0,2,0
mary_hain_000_1_1.pst.111.xls,125 CRAC:C5,37,1,21,1
darrell_schoolcraft_000_1_1_1.pst.661.xls,Sheet1:G18,3,0,3,0
scott_neal_000_1_1.pst.107.xls,STOR951:C21,5,0,3,0
monika_causholli_000_1_1.pst.19.xls,Paper:F7,1,0,1,0
vladi_pimenov_000_1_1.pst.70.xls,CurveFetch:E2,140,2,1,2
john_forney_000_1_1.pst.29.xls,Sheet1:J5,2,0,2,0
jane_tholt_000_1_1.pst.14.xls,Harbor Cogen:C8,11,0,6,0
lisa_gang_000_1_1.pst.41.xls,APRIL (8):N24,10,0,8,0
tracy_geaccone_000_1_1.pst.291.xls,Sheet1:D8,5,0,4,0
chris_germany_000_1_2.pst.1146.xls,Sheet1:C6,2,0,2,0
jim_schwieger_000_1_1.pst.10.xls,STOR951:C21,5,0,3,0
darrell_schoolcraft_000_1_1_1.pst.226.xls,22:B11,7,0,5,0
darrell_schoolcraft_000_1_1_1.pst.670.xls,Sheet1:G18,3,0,3,0
kevin_presto_000_1_1.pst.101.xls,NPCC:H35,2,0,2,0
kim_ward_000_1_2.pst.132.xls,Momma Credit Form :H33,3,0,3,0
louise_kitchen_000_1_1_1_1.pst.17.xls,Cost Summary:B9,3,0,2,0
darrell_schoolcraft_000_1_1_1.pst.420.xls,Sublette:H10,2,0,2,0
jeff_dasovich_000_1_1_1.pst.182.xls,8.15:D12,5,0,4,0
dan_hyvl_000_1_1.pst.167.xls,Sheet1:D14,11,0,7,0
benjamin_rogers_001_1_1.pst.144.xls,ENA Comps:B12,7,0,3,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:K23,3,0,1,0
don_baughman_000_1_1.pst.175.xls,Sheet1:C38,37,0,17,0
scott_neal_000_1_1.pst.880.xls,Sheet1:B28,21,0,11,0
darron_c_giron_002_1_1_1.pst.162.xls,Sheet1:B7,3,0,3,0
kevin_presto_000_1_1.pst.351.xls,NPCC:H35,2,0,2,0
matthew_lenhart_001_1_1.pst.161.xls,Power Desk Daily PriceA:B12,3,0,3,0
shelley_corman_000_1_1.pst.59.xls,WOT by Month:AB22,0,0,0,0
vkaminski_000_1_1_1.pst.195.xls,PricesW:B2,1,0,1,0
mary_hain_000_1_1.pst.158.xls,Sheet1:C31,10,0,10,0
peter_keavey_000_1_1.pst.130.xls,Sheet1:C19,3,0,3,0
phillip_m_love_000_1_1.pst.206.xls,Orig Sched:N17,5,0,4,0
chris_germany_000_1_1_1.pst.66.xls,Daily Activity:B8,75,1,54,1
lisa_gang_000_1_1.pst.146.xls,EES-Schedule day 1:P11,13,0,13,0
sally_beck_001_1_2_1.pst.214.xls,Summary YTD:I32,34,0,34,1
vkaminski_001_1_2_1.pst.336.xls,Amort:F10,57,1,14,1
chris_germany_000_1_1_1.pst.182.xls,Tenn:D23,117,1,4,1
chris_germany_000_1_2.pst.133.xls,John's Page:H32,26,0,8,0
chris_germany_000_1_2.pst.115.xls,May 2002 FGT:G18,5,0,3,0
jeff_dasovich_000_1_1_1.pst.4.xls,Sheet1:B3,1,0,1,0
phillip_allen_000_1_1.pst.114.xls,weekly:F6,10,0,10,0
lisa_gang_000_1_1.pst.128.xls,day 2:P11,13,1,13,1
richard_ring_000_1_1.pst.111.xls,BASE GENERATION FORECAST:C10,1,0,1,0
benjamin_rogers_001_1_1.pst.250.xls,Debt:B38,551,10,67,11
daren_farmer_002_1_1.pst.27.xls,Avails 4-6:C46,12,0,7,0
thomas_martin_000_1_1_1.pst.50.xls,YTD_NG:K14,3,0,2,0
andy_zipper_000_1_1.pst.159.xls,Broker Data:C5,2,0,2,0
shelley_corman_000_1_1.pst.30.xls,TW Revenues:C4,3,0,3,0
richard_shapiro_001_1_1_1.pst.3.xls,Summary:A34,17,0,17,0
benjamin_rogers_001_1_1.pst.153.xls,Curve Paste:BU217,0,0,0,0
kim_ward_000_1_2.pst.179.xls,Sheet1:B9,10,0,5,0
hunter_shively_000_1_1.pst.348.xls,DAILY:X2,3,0,2,0
benjamin_rogers_001_1_1.pst.232.xls,Debt:F10,172,2,18,2
kenneth_lay_000_1_1_1_1.pst.37.xls,ENRON:AE43,0,0,0,0
mary_fischer_000_1_1.pst.119.xls,0302:M45,9,0,7,0
don_baughman_000_1_1.pst.184.xls,Sheet1:C38,37,0,17,0
chris_germany_001_1_1.pst.110.xls,Sheet1:B9,5,0,5,0
richard_ring_000_1_1.pst.149.xls,2001:Z46,5,0,3,0
paul_y'barbo_000_1_1.pst.180.xls,LPG & No. 2 OIL:E45,11,0,9,0
dutch_quigley_000_1_1.pst.137.xls,Sheet1:B9,1,0,1,0
chris_germany_000_1_2.pst.62.xls,Daily Activity:E12,4,0,3,0
chris_germany_000_1_2.pst.1049.xls,Monthly Summary:F7,6,0,6,0
scott_neal_000_1_1.pst.533.xls,Sheet1:I2376,4,0,4,0
mark_taylor_001_1_1.pst.132.xls,Sheet1:C5,3,0,3,0
lisa_gang_000_1_1.pst.79.xls,LOSSES:B14,3,0,3,0
john_lavorato_001_1_2.pst.102.xls,Sheet1:J9,34,0,18,0
mike_grigsby_000_1_1_1.pst.106.xls,Curves:A1,87,6,19,6
chris_germany_000_1_2.pst.259.xls,Feb 28:U23,52,1,15,1
daren_farmer_001_1_1.pst.1084.xls,Apr 00:D51,19,0,19,0
michelle_lokay_000_1_2_1.pst.273.xls,NW:AC5,4,0,4,0
jay_reitmeyer_000_1_1.pst.221.xls,Summary:D15,7,0,6,0
darrell_schoolcraft_000_1_1_1.pst.379.xls,Feb 02:A6,2,0,1,0
lynn_blair_000_1_1.pst.144.xls,July:M27,35,0,27,0
john_forney_000_1_1.pst.38.xls,Sheet1:J5,2,0,2,0
thomas_martin_000_1_1_1.pst.97.xls,Floor Plan:I62,6,0,1,0
kam_keiser_000_1_1.pst.12.xls,US:B13,6,0,1,0
darrell_schoolcraft_000_1_1_1.pst.458.xls,NW:AC5,4,0,4,0
andy_zipper_000_1_1.pst.186.xls,Sheet1:B9,6,1,3,1
paul_lucci_000_1_1.pst.105.xls,CurveFetch:E2,30,0,1,0
hunter_shively_000_1_1.pst.222.xls,Sheet1:R9,14,0,14,0
benjamin_rogers_001_1_1.pst.126.xls,UAE:F18,19,0,19,0
paul_y'barbo_000_1_1.pst.24.xls,LNG:H186,742,6,549,7
sally_beck_000_1_2_1.pst.5.xls,Hdct & Wages:B11,113,1,113,1
gerald_nemec_000_1_1.pst.38.xls,Pursue Master:C6,3,0,3,0
larry_campbell_000_1_1.pst.385.xls,Variable Prod Costs:E20,4,0,4,0
darron_c_giron_002_1_1_1.pst.144.xls,Sheet2:F6,7,0,7,0
benjamin_rogers_000_1_1.pst.103.xls,Forecast Info:A5,28,1,4,1
kevin_presto_000_1_1.pst.139.xls,NPCC:H35,2,0,2,0
lisa_gang_000_1_1.pst.6.xls,MARCH(17):D25,10,0,9,0
michael_maggi_000_1_1_1.pst.1.xls,SC:D36,2,0,2,0
barry_tycholiz_000_1_1.pst.14.xls,Denver office:H11,5,1,5,1
kim_ward_000_1_2.pst.540.xls,Sheet1:H14,7,0,4,0
benjamin_rogers_001_1_1.pst.5.xls,Wilton:T114,35,0,35,0
scott_neal_000_1_1.pst.792.xls,Sheet1:I3,5,0,3,0
chris_germany_000_1_2.pst.142.xls,CNG:L3,40,1,33,1
lisa_gang_000_1_1.pst.155.xls,EES-Schedule day 1:P11,13,0,13,0
james_steffes_000_1_1.pst.33.xls,Sheet1:U22,5,0,5,0
darrell_schoolcraft_000_1_1_1.pst.388.xls,02-(27)intra:D10,5,0,2,0
bill_williams_iii_000_1_1.pst.71.xls,Sheet1:L10,1,0,1,0
jonathan_mckay_000_1_1.pst.111.xls,Nov-Mar settle:C82,1,0,1,0
chris_germany_000_1_1_1.pst.191.xls,Tenn:D31,117,1,4,1
joe_parks_000_1_1.pst.190.xls,Trades:A1,1,0,1,0
kate_symes_000_1_1.pst.116.xls,2-15:S6,3,0,2,0
louise_kitchen_001_1_1_1.pst.207.xls,Daily Roll:E47,11,0,11,0
chris_germany_000_1_2.pst.106.xls,Sheet1:B9,62,0,7,0
lisa_gang_000_1_1.pst.313.xls,Scheduling:AJ5,0,0,0,0
john_arnold_000_1_2.pst.10.xls,Full Version:C9,4,0,3,0
john_forney_000_1_1.pst.47.xls,frontcalc:I9,11,0,7,0
lisa_gang_000_1_1.pst.119.xls,Sheet1:F28,2,0,2,0
chris_germany_000_1_2.pst.53.xls,For Sequent:C17,5,0,4,0
