fileName,Longest Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
BaoGia2_09122016.xlsx,QR 5@:D17,8,24,8,26
tiny.xlsx,Orders:C35,1,1,1,1
GL_Driver_Safety_Report_ferguson_20211018_144133.xlsx,Pivot Tables:M8,1,0,1,0
Complete Raw Data CMC.xlsx,Complete Raw Data:A333,2,0,2,0
1. Excel Homework.xlsx,Sheet1:J3248,1,0,1,0
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,5610,159,1980,171
NIRISS_SIAF.xlsx,DDC:C20,22,0,2,1
bird strike.xlsx,map pivot:B3,52,1,2,1
Attachment 1 - All Data Tables Required by 2021 WMP Guidelines - mbar.xlsx,Table 12:U75,4,0,4,0
MSF_Dataset_Complete_450_modified.xlsx,Sheet1:A7,449,4,1,4
covid-19 tokyo.xlsx,将来推計:H13,247,5,93,5
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B17%2BMay%2B2021.xlsx,Chart 3 - Archive ICU:A2,18,0,1,0
COVID-19%2Bdaily%2Bdata%2B-%2Bby%2BNHS%2BBoard%2B-%2B3%2BNovember%2B2021.xlsx,Table 3 - Hospital patients:I231,2,0,2,0
Police_killing.xlsx,2013-2019 Killings by PD:N39,7,1,5,1
Homework 1 SFM.xlsx,Bonus:D4,4,0,1,0
GL_Driver_Safety_Report_ferguson_20211019_124140.xlsx,Pivot Tables:M8,1,0,1,0
MM1-0832H-6588.xlsx,IP3:C150,3,0,3,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,4,0,4,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,2,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:G38,6,0,1,0
news_summary.xlsx,news_summary:F804,1,0,1,0
Project 1 Weather Trends.xlsx,Sheet1:F82,37,0,1,0
bilan AMS2 v3.xlsx,FLUX 2035:G22,21,1,11,1
f5sa.xlsx,Tabla1:A43,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,1,0,1,0
conferencia_2012.xlsx,Totais:C4,8,0,2,0
mark_guzman__24566__EPE_JAN_2001.xlsx,JANUARY (19):J18,5,0,5,0
HQ_Beam_Specification_0811.xlsx,Comments:A5,37,1,1,1
Mobile_App_Security_Checklist-English_1.1.2.xlsx,Management Summary:H49,2,0,2,1
2019-05-16-0822_pinus_cembra.xlsx,Measurements:C11,5610,202,1980,210
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,4,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,6,0,1,0
Du Lieu.xlsx,data_202007:G43868,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,3,0,2,1
Main_DataSet.xlsx,Sheet1:V40,1,0,1,0
consumption-allyears 2.xlsx,merged:D2,55,1,1,1
GRN_19-20..xlsx,GRN_Stage_wise_Report-3:AV60,0,0,0,0
Starter_YK.xlsx,BONUS:D6,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,1,0,1,0
Transparency_lug-nov2019_FINAL.xlsx,1.DB:B1291,1,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,9999,77,1,85
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:L67,6,1,1,1
2014 - 20 DROMIC Reports_PeopleAffected_DamagedHouses_Consolidated.xlsx,Damaged houses:E387,6,0,3,1
RetailPricesToInvert_11072018_2.xlsx,Tabelle1:T2,3,0,1,0
clientOutput_001.xlsx,clientOutput:C1500,3,0,2,0
غمراسن.xlsx,المشاريع:A3,355,3,1,3
工作簿1-20181122164849850.xlsx,不良明细:CEA5,2,0,1,0
updatedMaizeModel_addFromSuper_Rank.xlsx,Reaction List:K4749,1,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CEA5,2,0,1,1
وذرف.xlsx,المشاريع:B3,355,3,1,3
dictionary-zingarelli2005.xlsx,Prefix 2:F1,2,0,2,0
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:C10050,490,5,1,6
BarGraph_E2F4_CoreGCGG_Feat13.xlsx,featureMeaning:J418,1,0,1,0
VIL-2018-03.xlsx,MAR 5:S14,12,0,6,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:D12069,3,0,2,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,81,1,1,1
1512990987_PDC_CHW_Y5_WV1.xlsx,choices:B198,19,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,65205,551,1,563
completed Analysis.xlsx,Descriptive staistics:B6,1,0,1,0
summary-데이터항목명-분석.xlsx,summary:D2,2,1,1,1
2019-06-17-1007_empty_racir.xlsx,Measurements:C11,5610,149,1980,155
SchedulamaticAugA.xlsx,Classes:E88,9,1,4,1
