fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:J3248,674,1,23,1,24
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,364,5610,118,5610,137
NIRISS_SIAF.xlsx,DDC:C20,89,22,0,2,1
工作簿1-20181122170204822.xlsx,不良明细:CEA5,101,2,0,1,0
W22704-181.xlsx,Sheet1:D2,707,14196,123,14196,144
tri-approx.xlsx,data:F4,1565,8194,118,8193,130
Kickstarter Campaigns.xlsx,Bonus 1:D5,312,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q20,73,12,0,12,0
model_OLD_13Feb.xlsx,X.b:G59,674,669,6,664,7
OBC8_4_16.xlsx,Data:J18035,7891,55,0,55,1
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,237,192,1,1,1
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,531,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D4,208,4,0,1,0
MM1-0832H-6588.xlsx,IP3:C150,201,3,1,3,1
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,89,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,281,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CEA5,101,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,169,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:H5,677,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:G38,462,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E81,225,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,249,6479,53,6478,59
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,1259,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,83,1,0,1,0
creazione dati clips.xlsx,turismresort:M19,293,11,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,191,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,376,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:C11,374,5610,56,5610,63
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,217,4,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,6213,6,0,1,0
Du Lieu.xlsx,data_202007:G43868,1346,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,1393,3,0,2,0
mapperComparisonData2.xlsx,Sheet5:AX38,371,0,0,0,0
Starter_YK.xlsx,BONUS:D6,208,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,838,1,0,1,0
Homework - week 1.xlsx,Bonus:D4,212,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,134,9999,55,1,68
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:L67,588,6,0,1,1
kc1prdb01.xlsx,DISK_SUMM:B44,48,3,0,1,0
hybrids_05.xlsx,vw:F30,299,505,2,1,3
10214-0_57pcs.xlsx,Calcu:B3,79,1073,12,1072,13
clientOutput_001.xlsx,clientOutput:C1500,165,3,0,2,0
غمراسن.xlsx,المشاريع:A3,73,355,1,1,2
工作簿1-20181122164849850.xlsx,不良明细:CEA5,191,2,1,1,1
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CEA5,100,2,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:G38,533,6,0,1,0
وذرف.xlsx,المشاريع:B3,182,355,2,1,2
euler第686题.xlsx,Sheet1:D24,275,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:C88,79,147,1,133,1
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:C10050,435,490,4,1,4
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:G38,568,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S14,69,12,0,12,0
Xing -5.25.xlsx,Sheet4:D24,84,9,0,9,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:D12069,2059,3,0,2,0
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1379,85,1,0,1,0
homework 1 kickstarter chart.xlsx,data:D546,377,1,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,63,81,0,1,0
