fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:J3248,1398,1,8,1,9
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,1166,17,1,6,1
NIRISS_SIAF.xlsx,DDC:C20,456,6,0,2,0
工作簿1-20181122170204822.xlsx,不良明细:CEA5,547,1,0,1,0
W22704-181.xlsx,Sheet1:D2,796,4,0,4,0
VIL-2015-03.xlsx,MAR 5:Q20,289,8,0,8,0
model_OLD_13Feb.xlsx,X.b:G59,5410,418,21,415,23
OBC8_4_16.xlsx,Data:J18035,9416,5,0,5,0
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,1851,1,0,1,0
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,1087,2,0,2,0
MM1-0832H-6588.xlsx,IP3:C150,791,3,0,3,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,205,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,721,4,0,4,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,818,1,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E81,423,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,942,6479,149,6478,207
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,2060,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,403,1,0,1,0
creazione dati clips.xlsx,turismresort:M19,710,11,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,337,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,812,2,0,2,0
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,433,4,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,21606,6,0,1,0
Du Lieu.xlsx,data_202007:G43868,2265,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,5201,3,0,2,0
mapperComparisonData2.xlsx,Sheet5:AX38,1881,0,1,0,1
Starter_YK.xlsx,BONUS:D6,395,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,2168,1,0,1,0
Homework - week 1.xlsx,Bonus:D4,331,4,0,1,0
kc1prdb01.xlsx,DISK_SUMM:B44,444,1,0,1,0
hybrids_05.xlsx,vw:F30,1281,1,0,1,0
غمراسن.xlsx,المشاريع:A3,370,1,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:G38,845,6,0,1,0
وذرف.xlsx,المشاريع:B3,1319,1,0,1,0
euler第686题.xlsx,Sheet1:D24,447,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:C88,579,42,1,33,1
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:C10050,927,1,1,1,1
