fileName,Max Dep Ref,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
BaoGia2_09122016.xlsx,QR 5@:D18,8,36,8,37
tiny.xlsx,Orders:C35,1,0,1,0
GL_Driver_Safety_Report_ferguson_20211018_144133.xlsx,Report:Y5,2216,71,1,75
Complete Raw Data CMC.xlsx,Complete Raw Data:A422,2,0,2,0
1. Excel Homework.xlsx,Sheet1:E4030,2,0,1,0
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,6600,269,1650,288
NIRISS_SIAF.xlsx,Calc:AE3,690,17,120,18
bird strike.xlsx,map pivot:B3,52,1,2,1
Attachment 1 - All Data Tables Required by 2021 WMP Guidelines - mbar.xlsx,Table 12:X83,4,0,1,0
MSF_Dataset_Complete_450_modified.xlsx,Sheet1:A7,449,4,1,4
covid-19 tokyo.xlsx,将来推計:H13,247,4,93,5
COVID-19%2BDaily%2Bdata%2B-%2BTrends%2Bin%2Bdaily%2BCOVID-19%2Bdata%2B-%2B17%2BMay%2B2021.xlsx,Table 4 - Delayed Discharges:B77375,251,3,1,3
COVID-19%2Bdaily%2Bdata%2B-%2Bby%2BNHS%2BBoard%2B-%2B3%2BNovember%2B2021.xlsx,Table 3 - Hospital patients:I231,2,0,2,0
Police_killing.xlsx,2013-2019 Killings by PD:I75,13,1,11,1
Homework 1 SFM.xlsx,Bonus:D5,4,1,1,1
GL_Driver_Safety_Report_ferguson_20211019_124140.xlsx,Report:Y5,2217,38,1,40
MM1-0832H-6588.xlsx,P1dB Pt:S12,13,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,4,0,4,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,2,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,6,0,1,0
news_summary.xlsx,news_summary:F2117,1,0,1,0
Project 1 Weather Trends.xlsx,Sheet1:F82,37,1,1,1
bilan AMS2 v3.xlsx,Sankey 2035:H44,26,0,24,0
f5sa.xlsx,Tabla1:A828,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,1,0,1,0
conferencia_2012.xlsx,Totais:C4,8,0,2,0
mark_guzman__24566__EPE_JAN_2001.xlsx,JANUARY (13):W22,6,0,6,0
HQ_Beam_Specification_0811.xlsx,DESIGN_PROCEDURE:B8,40,1,37,1
Mobile_App_Security_Checklist-English_1.1.2.xlsx,Management Summary:E49,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,6600,141,1650,148
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,5,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,0,0,0,0
Du Lieu.xlsx,data_202007:E96800,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,1,0,1,0
Main_DataSet.xlsx,Sheet1:T5163,1,0,1,0
consumption-allyears 2.xlsx,merged:D2,55,0,1,0
GRN_19-20..xlsx,GRN_Stage_wise_Report-3:AS67,0,0,0,0
Starter_YK.xlsx,backers:A956891,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,59,1,41,1
Transparency_lug-nov2019_FINAL.xlsx,1.DB:B74,1,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,9999,103,1,112
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:B88,6,0,1,0
2014 - 20 DROMIC Reports_PeopleAffected_DamagedHouses_Consolidated.xlsx,Damaged houses:E366,7,0,4,0
RetailPricesToInvert_11072018_2.xlsx,Tabelle1:AK2,3,0,1,0
clientOutput_001.xlsx,clientOutput:B2,6502,98,1626,105
غمراسن.xlsx,المشاريع:A3,355,2,1,2
工作簿1-20181122164849850.xlsx,不良明细:CBJ5,2,1,1,1
updatedMaizeModel_addFromSuper_Rank.xlsx,Reaction List:K4758,1,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CBJ5,2,0,1,0
وذرف.xlsx,المشاريع:B3,355,2,1,3
dictionary-zingarelli2005.xlsx,Prefix 2:C157535,2,0,1,0
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:B10014,7335,86,489,91
BarGraph_E2F4_CoreGCGG_Feat13.xlsx,featureMeaning:H617,1,0,1,0
VIL-2018-03.xlsx,MAR 5:S29,12,1,6,1
aws-messages-uc-001.xlsx,aws-messages-uc-001:E2,33675,513,16838,543
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,81,0,1,0
1512990987_PDC_CHW_Y5_WV1.xlsx,choices:B198,19,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,65205,700,1,707
completed Analysis.xlsx,Descriptive staistics:C5,1,0,1,0
summary-데이터항목명-분석.xlsx,csv-field-frequency:B1227,3,0,1,0
2019-06-17-1007_empty_racir.xlsx,Measurements:E13,6600,116,1650,121
SchedulamaticAugA.xlsx,Classes:E101,534,6,178,7
MUS_CPM_results.xlsx,MUS_CPM_results:E10108,4,1,1,1
Kraken_BTCEUR_1h.xlsx,Sheet1:B2,50543,558,25272,591
Chi Merge.xlsx,Sheet2:J6,12,0,6,0
Ranking_2021-11-01.xlsx,avrange of n:AG973,1,0,1,0
RMS-RA数据核对2017-03-25.xlsx,RMS-RA数据核对:E17,7,0,5,0
covid_vaccinations_28_12_2021.xlsx,Notes:A7,1,0,1,0
MAP-原物料資料庫.xlsx,繩線類:N18,3,0,3,0
Weekly_Practice_GSS - for Week-10_statistic.xlsx,PAIRED SAMPLES T TEST:C7,5,0,4,0
2014 hidalgo clarity.xlsx,Sheet3:F257,1,0,1,0
17-03-2015_06_02_49 pm.xlsx,CHEQUES ANULADOS:L102,5,0,2,0
Regression and Sales Forecasting for Spain and Italy.xlsx,Spain B1S1O Forecast:R2,84,0,1,0
FL_entity_Acelhuate_houses.xlsx,measures_all:U4,26,1,13,1
tw_ReadLatency_mean_nocompact.xlsx,tw_ReadLatency_mean_nocompact:E1015,1,0,1,0
fbcd.xlsx,Sheet1:C306,1,0,1,0
cw_updated_rgn_id.xlsx,cw_updated_rgn_id:C253,3,0,1,0
BM Achievement Status till 14-06-2021 - Copy.xlsx,Dealer Wise:Q1,581,5,581,5
