fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,516,2,29,1,30
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,530,6600,192,6600,203
NIRISS_SIAF.xlsx,Calc:AE3,144,690,14,690,15
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,178,2,0,1,0
W22704-181.xlsx,Sheet1:E2,453,14196,185,14196,201
tri-approx.xlsx,data:F4,1304,8194,206,8193,216
Kickstarter Campaigns.xlsx,Bonus 1:B3,329,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q10,249,9,0,9,0
model_OLD_13Feb.xlsx,Flows:E5,528,2049,282,2049,284
OBC8_4_16.xlsx,Data:I1233,5809,55,1,55,1
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,183,4187,3676,4187,3681
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,401,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D5,146,4,0,1,0
MM1-0832H-6588.xlsx,P1dB Pt:S12,93,13,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,211,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,315,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CBJ5,178,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,180,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:G2,537,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,376,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E539,182,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,234,6479,56,6478,60
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,813,1,1,1,1
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,76,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,256,252,2,252,2
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,160,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,270,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,366,6600,98,6600,104
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,223,5,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,4734,0,0,0,0
Du Lieu.xlsx,data_202007:E96800,1027,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,1018,1,0,1,0
mapperComparisonData2.xlsx,Sheet3:K262,193,26,0,26,0
Starter_YK.xlsx,backers:A956891,304,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,812,59,1,58,1
Homework - week 1.xlsx,Bonus Worksheet - backers:B446,249,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,193,9999,60,1,65
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:B88,379,6,0,1,0
kc1prdb01.xlsx,DISKBUSY:BA400,69,8,0,3,0
hybrids_05.xlsx,vw:C45,253,509,4,1,4
10214-0_57pcs.xlsx,Calcu:T7,54,1727,32,1727,33
clientOutput_001.xlsx,clientOutput:B2,94,6502,93,6502,98
غمراسن.xlsx,المشاريع:A3,68,355,2,1,2
