fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,565,2,28,1,29
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,508,6600,250,6600,262
NIRISS_SIAF.xlsx,Calc:AE3,106,690,12,690,12
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,124,2,1,1,1
W22704-181.xlsx,Sheet1:E2,453,14196,135,14196,152
tri-approx.xlsx,data:F4,1312,8194,156,8193,166
Kickstarter Campaigns.xlsx,Bonus 1:B3,281,4,0,1,1
VIL-2015-03.xlsx,MAR 5:Q10,56,9,0,9,0
model_OLD_13Feb.xlsx,Flows:E5,528,2049,278,2049,280
OBC8_4_16.xlsx,Data:I1233,5942,55,1,55,1
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,310,4187,4637,4187,4640
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,369,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D5,199,4,0,1,0
MM1-0832H-6588.xlsx,P1dB Pt:S12,162,13,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,272,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,307,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CBJ5,100,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,201,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:G2,570,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,393,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E539,224,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,283,6479,67,6478,71
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,943,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,60,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,220,252,3,252,3
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,182,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,224,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,351,6600,151,6600,155
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,247,5,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,4940,0,0,0,0
Du Lieu.xlsx,data_202007:E96800,1013,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,1062,1,0,1,0
mapperComparisonData2.xlsx,Sheet3:K262,277,26,0,26,0
Starter_YK.xlsx,backers:A956891,301,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,843,59,1,58,1
