fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,1180,2,8,1,10
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,1296,20,1,5,1
NIRISS_SIAF.xlsx,Calc:AE3,1494,23,1,6,1
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,908,1,0,1,0
W22704-181.xlsx,Sheet1:E2,636,4,0,4,0
tri-approx.xlsx,data:F4,3239,3,0,2,0
Kickstarter Campaigns.xlsx,Bonus 1:B3,341,4,1,1,1
VIL-2015-03.xlsx,MAR 5:Q10,211,9,0,9,0
model_OLD_13Feb.xlsx,Flows:E5,5840,77,14,50,15
OBC8_4_16.xlsx,Data:I1233,6037,5,1,5,1
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,1288,151,8,86,9
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,524,2,1,2,1
Homework 1 SFM.xlsx,Bonus:D5,271,4,1,1,1
MM1-0832H-6588.xlsx,P1dB Pt:S12,254,2,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,150,1,1,1,1
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,577,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CBJ5,586,1,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,524,1,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:G2,556,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:B44,741,6,1,1,1
Excel-Challenge Homework.xlsx,Sheet1:E539,249,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,641,6479,56,6478,68
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,1081,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,114,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,463,3,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,201,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,352,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:E13,990,20,0,5,0
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,290,1,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,27344,0,0,0,0
Du Lieu.xlsx,data_202007:E96800,1048,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,3193,1,0,1,0
mapperComparisonData2.xlsx,Sheet3:K262,1069,26,0,26,0
Starter_YK.xlsx,backers:A956891,264,4,1,4,1
Sen_Election_Data_2014.xlsx,State:N32,1939,59,1,58,1
Homework - week 1.xlsx,Bonus Worksheet - backers:B446,212,3,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,75,1,0,1,0
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:B88,674,6,1,1,1
kc1prdb01.xlsx,DISKBUSY:BA400,302,4,0,3,0
hybrids_05.xlsx,vw:C45,1089,1,0,1,0
10214-0_57pcs.xlsx,Calcu:T7,451,45,0,42,0
clientOutput_001.xlsx,clientOutput:B2,121,5,0,2,0
غمراسن.xlsx,المشاريع:A3,532,1,0,1,0
工作簿1-20181122164849850.xlsx,不良明细:CBJ5,431,1,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CBJ5,414,1,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:B44,752,6,0,1,0
وذرف.xlsx,المشاريع:B3,1049,1,0,1,0
euler第686题.xlsx,Sheet1:D9,323,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:CI10,449,84,1,77,1
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:B10014,692,30,0,30,0
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:B44,713,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S29,141,8,1,8,1
Xing -5.25.xlsx,Sheet2:G128,154,5,0,4,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:E2,2784,3,0,2,0
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1189,127,1,0,1,0
homework 1 kickstarter chart.xlsx,data:E300,355,2,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,530,1,0,1,0
nm_Francis vs harmonic.xlsx,nm T1.8 flota:AO4,546,16,0,14,0
Backup of ZSJ_pocet_obyv-number-code.xlsx,zsj:E22620,201,1,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,654,1,0,1,0
completed Analysis.xlsx,Descriptive staistics:C5,100,1,0,1,0
2019-06-17-1007_empty_racir.xlsx,Measurements:E13,902,20,1,5,1
MISO_load_2009-2013_to_Luke.xlsx,2009-2013:A19762,1731,4,0,1,0
SchedulamaticAugA.xlsx,Classes:E101,130,6,0,2,0
MUS_CPM_results.xlsx,MUS_CPM_results:E10108,803,4,0,1,0
Kraken_BTCEUR_1h.xlsx,Sheet1:B2,442,3,0,2,0
Weather (10h training).xlsx,Weather2:I1310,220,6,1,4,1
MAP-原物料資料庫.xlsx,繩線類:N18,280,3,0,3,0
excel-challenge.xlsx,Original:E3567,226,2,0,1,0
CONTRATACIONES_PUBLICADAS_POR_PROVEEDOR_2020_07_26.xlsx,Datos:A2032,3307,1,0,1,0
