fileName,Max Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,4299,2,33,1,33
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,5001,20,1,5,1
NIRISS_SIAF.xlsx,Calc:AE3,1634,23,1,6,1
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,507,1,0,1,0
W22704-181.xlsx,Sheet1:E2,779,4,0,4,0
VIL-2015-03.xlsx,MAR 5:Q10,180,9,1,9,1
model_OLD_13Feb.xlsx,Flows:E5,4998,77,3,50,3
OBC8_4_16.xlsx,Data:I1233,7220,5,1,5,1
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,1181,151,6,86,7
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,648,2,0,2,0
MM1-0832H-6588.xlsx,P1dB Pt:S12,289,2,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,62,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,511,4,0,4,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,425,1,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E539,322,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,659,6479,68,6478,89
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,2043,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,383,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,778,3,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,270,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,432,2,1,2,1
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,318,1,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,21733,0,0,0,0
Du Lieu.xlsx,data_202007:E96800,2253,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,5254,1,0,1,0
mapperComparisonData2.xlsx,Sheet3:K262,2625,26,0,26,0
Starter_YK.xlsx,backers:A956891,1214,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,2938,59,1,58,1
Homework - week 1.xlsx,Bonus Worksheet - backers:B446,485,3,0,1,0
