fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,1155,3,24,1,25
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,331,2978,148,2978,157
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,2064,4385,569,4385,576
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,160,306,2,306,3
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,228,1,1,1,1
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,72,131,2,131,2
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,164,306,2,306,3
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,161,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,193,23,0,3,0
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,250,294,3,1,3
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,525,33,1,19,1
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,135,613,6,2,6
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1076,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,532,3150,131,3150,137
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,153,37,1,21,1
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,447,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,51,199,2,199,2
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,240,461,6,461,7
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,145,126,1,108,2
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,259,6479,83,6478,93
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,346,729,8,729,9
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,114,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N470,97,46,0,46,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,212,239,2,1,2
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,238,669,7,1,8
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,115,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,116,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,1807,4385,382,4385,389
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,164,236,4,236,4
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,314,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,76,366,6,364,7
kevin_presto_000_1_1.pst.261.xls,Results:K40,102,3,0,1,0
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,76,36,1,1,1
andy_zipper_000_1_1.pst.77.xls,DD-EGL:P29,76,3,0,3,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:DQ1659,419,3,0,3,0
darron_c_giron_002_1_1_1.pst.154.xls,Darron:E4,174,1999,27,1999,30
vkaminski_000_1_1_1.pst.276.xls,payout model:D74,65,310,4,310,5
don_baughman_000_1_1.pst.151.xls,Sheet1:C38,113,37,0,21,0
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:AX2,1793,0,0,0,0
john_griffith_000_1_1.pst.197.xls,Curves:G78,488,17,0,17,0
don_baughman_000_1_1.pst.143.xls,Sheet1:C38,115,37,1,21,1
stacey_white_000_1_1.pst.382.xls,NONCEC:B4,81,211,5,160,6
andy_zipper_000_1_1.pst.106.xls,DD-EGL:P29,858,3,1,3,1
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:B5,933,158,2,9,2
mark_taylor_001_1_1.pst.58.xls,Sheet1:C369,275,8214,292,8214,304
andy_zipper_000_1_1.pst.70.xls,DD-EGL:P29,71,3,0,3,0
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D184,183,248,4,248,5
jonathan_mckay_000_1_1.pst.15.xls,TETCO_TRANSCO:L31,268,223,3,222,3
don_baughman_000_1_1.pst.128.xls,Sheet1:C38,77,37,0,21,1
andy_zipper_000_1_1.pst.53.xls,DD-EPM:U324,71,4,0,2,0
andy_zipper_000_1_1.pst.68.xls,DD-EGL:P29,173,3,0,3,0
andy_zipper_000_1_1.pst.168.xls,Deal Detail:K23,73,3,0,1,0
don_baughman_000_1_1.pst.175.xls,Sheet1:C38,114,37,1,21,1
john_zufferli_000_1_1.pst.54.xls,DATA:F38,65,3,0,1,0
chris_germany_000_1_2.pst.164.xls,Special Pricing:A327,118,8,1,8,1
andy_zipper_000_1_1.pst.85.xls,DD-EGL:P29,837,3,0,3,0
kevin_hyatt_000_1_1.pst.120.xls,Duke 500621:H12,53,235,3,233,3
jim_schwieger_000_1_1.pst.105.xls,Sheet1:B94,92,73,2,55,2
vkaminski_002_1_1_1.pst.12.xls,5e. 7.8:D4,1999,14018,215,14017,231
darron_c_giron_000_1_1_1.pst.137.xls,PRD Location_Def:H3819,903,2,1,2,1
dutch_quigley_000_1_1.pst.212.xls,Opt:B10,292,294,3,1,3
kevin_ruscitti_000_1_1.pst.157.xls,03-22-00AM:X531,248,1,0,1,0
andy_zipper_000_1_1.pst.144.xls,DD-EGL:P29,907,3,0,3,0
robin_rodrigue_000_1_1.pst.12.xls,Detail:E3372,157,1,0,1,0
andy_zipper_000_1_1.pst.21.xls,DD-EGL:P29,962,3,0,3,0
lindy_donoho_000_1_1_1.pst.123.xls,IG-BL by Month:AG37,86,0,0,0,0
tracy_geaccone_000_1_1.pst.146.xls,Trackers:D184,281,248,7,248,7
don_baughman_000_1_1.pst.189.xls,Sheet1:C38,180,37,1,21,1
fletcher_sturm_000_1_1.pst.99.xls,Filter-new:B1,264,719,8,362,8
don_baughman_000_1_1.pst.200.xls,8-1:C38,225,37,1,21,1
juan_hernandez_000_1_1.pst.10.xls,Sheet1:C38,111,37,1,21,1
robin_rodrigue_000_1_1.pst.159.xls,Detail:E3372,157,1,0,1,0
vkaminski_002_1_1_1.pst.276.xls,Gas Curves:BV2,293,0,0,0,0
daren_farmer_000_1_1.pst.104.xls,Jan 01 trial:AB14,251,0,0,0,0
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,423,10866,273,10866,283
dutch_quigley_000_1_1.pst.202.xls,A:DR249,340,493,6,492,6
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,529,10866,270,10866,279
elizabeth_sager_000_1_1.pst.122.xls,Top Exposure (2):B651,773,5,0,3,0
juan_hernandez_000_1_1.pst.169.xls,Regional_Spreads:B306,531,18,0,18,0
