fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F4400,1772,3,8,1,9
darron_c_giron_002_1_1_1.pst.177.xls,Darron:J4,624,205,8,205,10
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,3029,28,1,27,1
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,128,4,0,4,0
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:X531,1122,1,0,1,0
daren_farmer_001_1_1.pst.895.xls,Mar 99:N16,205,15,1,15,1
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,132,4,0,4,0
robin_rodrigue_000_1_1.pst.11.xls,Detail:E3372,158,1,0,1,0
david_delainey_000_1_2.pst.137.xls,IDC:H11,552,5,1,3,1
dutch_quigley_000_1_1.pst.211.xls,Opt:B10,456,1,0,1,0
benjamin_rogers_000_1_1.pst.45.xls,PJM:N12,3003,15,1,13,1
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,294,3,0,2,0
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,816,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:C51,1041,29,0,29,0
don_baughman_000_1_1.pst.119.xls,Sheet1:C38,292,37,0,21,0
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3505,456,7,0,5,0
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,120,6,0,6,0
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:D92,1263,215,5,215,6
benjamin_rogers_001_1_1.pst.136.xls,ENA Debt:B11,509,126,1,108,2
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:E15,579,6479,62,6478,76
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,790,297,3,297,4
don_baughman_000_1_1.pst.135.xls,Sheet1:C38,354,37,0,21,0
harry_arora_000_1_1.pst.123.xls,vol data:N470,137,3,0,2,0
benjamin_rogers_000_1_1.pst.173.xls,Peak Revenue:A10,838,1,0,1,0
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:S3,392,2,0,1,0
don_baughman_000_1_1.pst.167.xls,Sheet1:C38,354,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C38,370,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,3086,28,1,27,1
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D344,564,209,3,209,3
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:X531,1117,1,0,1,0
benjamin_rogers_001_1_1.pst.152.xls,Debt:B54,246,159,3,154,4
kevin_presto_000_1_1.pst.261.xls,Results:K40,81,2,0,1,0
kim_ward_000_1_2.pst.406.xls,July 17 Supply Price:A3,166,1,0,1,0
andy_zipper_000_1_1.pst.77.xls,DD-EGL:P29,144,3,0,3,0
jim_schwieger_000_1_1.pst.113.xls,Sheet1:DQ1659,2343,3,0,3,0
