fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
stacey_white_000_1_1.pst.254.xls,AlphaSort:F6836,4146,3,77,1,77
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,728,2978,490,2978,535
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,2864,4385,1390,4385,1418
mike_grigsby_000_1_1_1.pst.248.xls,Months:F4,176,306,2,306,3
kevin_ruscitti_000_1_1.pst.156.xls,03-21-00AM:BT499,665,0,0,0,0
daren_farmer_001_1_1.pst.895.xls,Apr 99:M16,243,131,18,131,18
mike_grigsby_000_1_1_1.pst.256.xls,Months:F4,378,306,2,306,3
robin_rodrigue_000_1_1.pst.11.xls,Detail:J4400,248,1,0,1,0
david_delainey_000_1_2.pst.137.xls,ENA:U13,263,66,1,66,1
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,327,357,884,345,884
benjamin_rogers_000_1_1.pst.45.xls,NYISO G:Q9,725,416,107,403,107
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,144,613,14,2,14
phillip_allen_000_1_1.pst.212.xls,NYMEX:A13,1571,1,0,1,0
vkaminski_000_1_1_1.pst.141.xls,053100:E10,393,3793,270,3791,276
don_baughman_000_1_1.pst.119.xls,Sheet1:C20,104,37,9,21,9
vkaminski_000_1_1_1.pst.172.xls,COPPER:B3288,612,7,0,5,1
gerald_nemec_000_1_1.pst.126.xls,Jul:A11,64,199,2,199,2
louise_kitchen_000_1_1_1_1.pst.258.xls,Cost Cancel Details:C18,494,667,12,667,13
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,325,1113,38,1113,40
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,285,6479,128,6479,156
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,690,729,16,729,17
don_baughman_000_1_1.pst.135.xls,Sheet1:C20,554,37,1,21,1
harry_arora_000_1_1.pst.123.xls,vol data:N28,290,46,1,46,1
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,235,720,17,720,18
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,267,668,16,1,16
don_baughman_000_1_1.pst.167.xls,Sheet1:C20,119,37,1,21,1
don_baughman_000_1_1.pst.183.xls,Sheet1:C20,253,37,0,21,0
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,2437,4385,936,4385,941
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,173,875,154,865,155
kevin_ruscitti_000_1_1.pst.101.xls,Mar Actuals:BT499,254,0,0,0,0
benjamin_rogers_001_1_1.pst.152.xls,Depreciation:Z46,86,543,8,543,9
kevin_presto_000_1_1.pst.261.xls,Results:K5551,267,3,0,1,0
kim_ward_000_1_2.pst.406.xls,Sales:C9,89,1986,28,508,30
