fileName,Longest Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:J3248,553,1,25,1,25
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,597,5610,255,5610,271
NIRISS_SIAF.xlsx,DDC:C20,95,22,1,2,1
工作簿1-20181122170204822.xlsx,不良明细:CEA5,158,2,0,1,1
W22704-181.xlsx,Sheet1:D2,627,14196,307,14196,332
tri-approx.xlsx,data:F4,1653,8194,226,8193,237
Kickstarter Campaigns.xlsx,Bonus 1:D5,297,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q20,76,12,0,12,0
model_OLD_13Feb.xlsx,X.b:G59,684,669,11,664,12
OBC8_4_16.xlsx,Data:J18035,7872,55,0,55,0
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,250,192,2,1,2
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,464,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D4,289,4,0,1,1
MM1-0832H-6588.xlsx,IP3:C150,138,3,0,3,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,86,1,1,1,1
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,392,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CEA5,102,2,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,100,2,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:H5,832,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:G38,476,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E81,282,2,1,1,1
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,260,6479,85,6478,93
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,1261,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,127,1,0,1,0
creazione dati clips.xlsx,turismresort:M19,293,11,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,186,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,323,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:C11,384,5610,95,5610,102
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,215,4,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,6393,6,0,1,0
Du Lieu.xlsx,data_202007:G43868,1482,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,1472,3,0,2,0
mapperComparisonData2.xlsx,Sheet5:AX38,291,0,0,0,0
Starter_YK.xlsx,BONUS:D6,216,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,861,1,0,1,0
Homework - week 1.xlsx,Bonus:D4,213,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,134,9999,98,1,111
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:L67,535,6,0,1,0
kc1prdb01.xlsx,DISK_SUMM:B44,108,3,0,1,0
hybrids_05.xlsx,vw:F30,256,505,5,1,5
10214-0_57pcs.xlsx,Calcu:B3,79,1073,19,1072,20
clientOutput_001.xlsx,clientOutput:C1500,133,3,0,2,0
غمراسن.xlsx,المشاريع:A3,81,355,4,1,4
工作簿1-20181122164849850.xlsx,不良明细:CEA5,104,2,0,1,0
工作簿1 - 副本-20181123094654802.xlsx,不良明细:CEA5,103,2,0,1,0
SAM-0.2 OR10x100-0.25_10 dataset analysis.xlsx,State026:G38,599,6,0,1,0
وذرف.xlsx,المشاريع:B3,275,355,3,1,3
euler第686题.xlsx,Sheet1:D24,276,9,0,2,0
jane_tholt__13056__June 12 Without SOH Upgrade And No EOC Advantage.xlsx,Assign To West Contracts:C88,82,147,2,133,3
StatistiquesDescriptives-Exo_2_1.xlsx,Calculs:C10050,355,490,7,1,7
SAM-0.1 OR10x100-0.75_5 dataset analysis.xlsx,State026:G38,491,6,0,1,0
VIL-2018-03.xlsx,MAR 5:S14,76,12,0,12,0
Xing -5.25.xlsx,Sheet4:D24,84,9,0,9,0
aws-messages-uc-001.xlsx,aws-messages-uc-001:D12069,2065,3,0,2,0
Jail-Data-Spreadsheet-201905-May-2019.xlsx,Sheet1:K1379,87,1,0,1,0
homework 1 kickstarter chart.xlsx,data:D546,312,1,0,1,0
Zone Entries - Ottawa Senators 2013-2014.xlsx,Senators Team Stats:S92,65,81,0,1,0
nm_Francis vs harmonic.xlsx,McalisterIanelli:L114,170,33,1,1,1
Backup of ZSJ_pocet_obyv-number-code.xlsx,zsj:E20240,204,1,0,1,0
地方政府债券整理-hs.xlsx,Sheet2:A331,742,65205,701,1,713
completed Analysis.xlsx,Descriptive staistics:B6,139,1,0,1,0
2019-06-17-1007_empty_racir.xlsx,Measurements:C11,384,5610,101,5610,106
MISO_load_2009-2013_to_Luke.xlsx,2009-2013:A2665,2996,4,0,1,0
SchedulamaticAugA.xlsx,Classes:E88,42,9,0,4,0
MUS_CPM_results.xlsx,MUS_CPM_results:D6264,1021,2,0,2,0
Kraken_BTCEUR_1h.xlsx,Sheet1:B2,464,50543,671,50542,712
Weather (10h training).xlsx,Weather2:D41,161,4,0,4,0
MAP-原物料資料庫.xlsx,繩線類:M7,119,3,0,3,0
excel-challenge.xlsx,Original:I3871,217,1,0,1,0
CONTRATACIONES_PUBLICADAS_POR_PROVEEDOR_2020_07_26.xlsx,Datos:H8357,2370,1,0,1,0
200729_EngineStudsTighteningTorqueR10.xlsx,Monocoque:AJ39,54,2,1,2,1
cw_updated_rgn_id.xlsx,cw_updated_rgn_id:C8634,596,3,0,1,0
Day2.xlsx,P1:C2,218,7254,187,7253,193
SAM-0.01 OR5x100-0.25_4 dataset analysis.xlsx,State026:B47,559,6,0,1,0
GSE142114_NGS_Hammerhead_Length_Filtered.xlsx,24-3 raw data:C2,853,3695,131,3691,134
DB1.xlsx,Sheet3:D313,222,7,0,5,0
FlightData.xlsx,testflight1:E4145,371,2,0,1,0
UNIT1EXCEL_ELM.xlsx,Bonus Sheet:D5,216,3,0,2,0
steam_trend_data.xlsx,steam:S20551,1613,2,0,2,0
REMISIONES  CENTRAL   AÑO   2 0 1 4.xlsx,CLIENTES CENTRAL :AW1,266,0,0,0,0
Datos.xlsx,Movimientos:L449,108,1,0,1,0
Maldives_Chagos_GBR_Fish_Graham.xlsx,Chagos:A26284,1255,1,0,1,0
Store-Sales-if-nestedif-vlookup-hlookup.xlsx,Store Sales:V10,840,8399,111,1,114
MR_2016Q4_Exam.xlsx,Sheet1:F1929,548,1,0,1,0
30-4.xlsx,Load-Displacement:D41,424,1439,28,1431,29
JDS 02-Homework_01-Excel_Instructions_StarterBook.xlsx,Bonus1:D8,303,4,1,1,1
KickstarterStats.xlsx,Outcomes Based on Goal:D12,330,4,0,1,0
BC  KQKD T4.2018 BIÊN HÒA - Copy.xlsx,nguyen vat lieu kho:K45,91,53,0,53,0
Surf_overlay_diag_E.xlsx,ZIKV:A41,427,5,0,2,0
ours_genes.fpkm_tracking_all.xlsx,genes.fpkm_tracking_all.txt:H11754,584,2,0,2,0
crime_v3.xlsx,crime_v3:C11,3834,52484,913,1,939
StarterBook_jjree.xlsx,Original Data:I706,317,1,0,1,0
PV Angebots Tool.xlsx,PV-Data:H7852,1596,3,0,2,0
VIL-2015-12.xlsx,DEC 20:Q11,71,12,1,12,1
Raw data-200211_Cushman_Fry_newobjecttest-Trial    33.xlsx,Track-Arena 2-Subject 1:S82,6767,8,0,8,0
Jan_2011.xlsx,Formatted Data:E1770,161,562,17,562,17
Kickstart_Challenge.xlsx.xlsx,Kickstarter:J457,227,2,0,2,0
Solution_36.xlsx,Лист2:F13338,9298,6,1,2,1
Final result.xlsx,County_r_clean_nn_pred (5):Y38,190,8,0,3,0
Question 5.xlsx,Pre-Trade Single Stock:AJ25,2196,0,0,0,0
AP-Spring2018 (For Students).xlsx,HW6-Q1:M1,411,309,5,309,6
2020年电商任务计算(12.12Y).xlsx,电商--精准营销:AF83,336,0,0,0,0
2019-04-09-eval-matched-gtid.xlsx,gtid-fj:H6,159,34,0,33,0
resultsTesting10multi.xlsx,resultsTesting2504:P45,72,2,0,2,0
工作簿1 - 副本-20181123094654796.xlsx,不良明细:CEA5,99,2,0,1,0
Hedge Output.xlsx,Transaction Day mapping:A5,613,71,1,71,1
GL_Driver_Safety_Report_ferguson_20211019_085100.xlsx,Pivot Tables:C7,170,1,0,1,0
1819BTL.r.xlsx,0.0#8.15#8.2025-14#2.5841184954:E44,1427,13,1,12,1
CL4.xlsx,Sheet30:B61,238,7,1,6,1
or_embeddings_comparison_resolved.xlsx,Sheet2:B17,200,4,0,4,0
SWMP_Plankton_2020_SrayPRIMERXFORM_042621v2.xlsx,RawData_Jan-Dec_2020:X287,302,2,0,2,0
