fileName,Longest Dep Ref,GraphBuildTime,TACOLookupSize,TACOLookupTime,TACOPostProcessedLookupSize,TACOPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:J3248,1404,1,10,1,10
2019-05-23-0936_empty_racir.xlsx,Measurements:C11,1041,17,1,6,2
NIRISS_SIAF.xlsx,DDC:C20,416,6,0,2,0
工作簿1-20181122170204822.xlsx,不良明细:CEA5,540,1,0,1,0
W22704-181.xlsx,Sheet1:D2,726,4,0,4,0
tri-approx.xlsx,data:F4,3027,3,0,2,0
Kickstarter Campaigns.xlsx,Bonus 1:D5,387,4,0,1,0
VIL-2015-03.xlsx,MAR 5:Q20,156,8,0,8,0
model_OLD_13Feb.xlsx,X.b:G59,2509,155,6,152,7
OBC8_4_16.xlsx,Data:J18035,8487,5,0,5,0
Fact2Sheet_Corona_20200607.xlsx,ComparisonInf:F2,924,1,0,1,0
CogsleyServices-SalesData-Start.xlsx,Sales:G1492,522,2,0,2,0
Homework 1 SFM.xlsx,Bonus:D4,221,4,0,1,0
MM1-0832H-6588.xlsx,IP3:C150,281,3,1,3,1
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9747,74,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C40,483,4,0,4,0
工作簿1-20181122112139234.xlsx,不良明细:CEA5,275,1,0,1,0
工作簿1-20181122134456072.xlsx,不良明细:CEA5,381,1,0,1,0
TBRPM_Assignment_Review.xlsx,Subarea_Links:H5,557,1,0,1,0
SAM-0.2 OR10x100-0.50_10 dataset analysis.xlsx,State026:G38,792,6,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E81,221,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,595,6479,74,6478,93
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D30694,1286,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H5149,68,1,0,1,0
creazione dati clips.xlsx,turismresort:M19,466,11,0,2,0
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:C2,172,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E42,256,2,0,2,0
2019-05-16-0822_pinus_cembra.xlsx,Measurements:C11,837,17,0,6,0
PragyaShakya_StarterBook.xlsx,Bonus(GoalOutcomes):D5,225,4,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:BQ366,18180,9,0,2,0
Du Lieu.xlsx,data_202007:G43868,1186,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :P21,3329,3,0,2,0
mapperComparisonData2.xlsx,Sheet5:AX38,1043,8,0,8,0
Starter_YK.xlsx,BONUS:D6,381,4,0,1,0
Sen_Election_Data_2014.xlsx,State:AJ40,2114,57,1,56,1
Homework - week 1.xlsx,Bonus:D4,288,4,0,1,0
Delay-CI-Rawdata.xlsx,Sheet1:B28,96,1,0,1,0
SAM-0.2 OR30x100-0.50_7 dataset analysis.xlsx,State026:L67,918,6,0,1,0
kc1prdb01.xlsx,DISK_SUMM:B44,157,1,0,1,0
hybrids_05.xlsx,vw:F30,986,1,1,1,1
10214-0_57pcs.xlsx,Calcu:B3,304,41,1,37,1
