fileName,Max Dep Ref,GraphBuildTime,NoCompLookupSize,NoCompLookupTime,NoCompPostProcessedLookupSize,NoCompPostProcessedLookupTime
1. Excel Homework.xlsx,Sheet1:E4030,730,2,24,1,25
2019-05-23-0936_empty_racir.xlsx,Measurements:E13,476,6600,266,6600,285
NIRISS_SIAF.xlsx,Calc:AE3,90,690,16,690,17
工作簿1-20181122170204822.xlsx,不良明细:CBJ5,164,2,0,1,0
W22704-181.xlsx,Sheet1:E2,1677,14196,793,14196,944
VIL-2015-03.xlsx,MAR 5:Q10,319,9,0,9,0
model_OLD_13Feb.xlsx,Flows:E5,1107,2049,682,2049,684
OBC8_4_16.xlsx,Data:I1233,14031,55,9,55,9
Fact2Sheet_Corona_20200607.xlsx,LastWeek:AD158,518,4187,6638,4187,6652
CogsleyServices-SalesData-Start.xlsx,Sales:G3861,703,2,0,2,0
MM1-0832H-6588.xlsx,P1dB Pt:S12,223,13,0,2,0
RFID项圈产品编号(2021.10.28).xlsx,2021.9:M9652,219,1,0,1,0
LB_transaction_level_compare_01012019_04052020.xlsx,cost amt EDL incr:C13,686,4,0,4,0
工作簿1-20181122134456072.xlsx,不良明细:CBJ5,364,2,0,1,0
Excel-Challenge Homework.xlsx,Sheet1:E539,338,2,0,1,0
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,Phys Test:F15,367,6479,265,6478,288
FRPP_GLC_-_United_StatesSep292020.xlsx,GeoLocation_UnitedStates:D37421,1753,1,0,1,0
met25_dlaw_tflr_hires_run3.xlsx,cloudy con:H3959,361,1,0,1,0
creazione dati clips.xlsx,turismresort:C1,494,252,3,252,3
Kickstarter_Challenge_Final.xlsx,Outcomes Based on Goals:B3,195,4,0,1,0
test_hip_1_irreg-model_hip_1_irreg.xlsx,hip_1_irreg_debug:E8154,340,2,0,2,0
PragyaShakya_StarterBook.xlsx,Bonus(Backers):B1599,243,5,0,1,0
NGCC_CCS.xlsx,NGCC_with_price.csv:AX714,6465,0,0,0,0
Du Lieu.xlsx,data_202007:E96800,1448,1,0,1,0
stitch.xlsx,YOGASMOGA - Product Sku Export :BF939,1415,1,0,1,0
mapperComparisonData2.xlsx,Sheet3:K262,361,26,0,26,0
Starter_YK.xlsx,backers:A956891,269,4,0,4,0
Sen_Election_Data_2014.xlsx,State:N32,890,59,1,58,1
Homework - week 1.xlsx,Bonus Worksheet - backers:B446,326,4,0,1,0
kc1prdb01.xlsx,DISKBUSY:BA400,48,8,0,3,0
hybrids_05.xlsx,vw:C45,323,509,6,1,7
