fileName,Max Dep Ref,GraphModifySize,GraphModifyTime
darron_c_giron_002_1_1_1.pst.177.xls,Darron:E5,316,53
stacey_white_000_1_1.pst.262.xls,BRA Power:A6,377,12
dutch_quigley_000_1_1.pst.211.xls,Swap:D11,298,8
vkaminski_000_1_1_1.pst.229.xls,SHIPS:B26,612,12
benjamin_rogers_001_1_1.pst.136.xls,Stratus Report:A15,103,1
kevin_ruscitti_000_1_1.pst.125.xls,Phys Test:D15,822,10
jonathan_mckay_000_1_1.pst.23.xls,TETCO_TRANSCO:F38,342,4
benjamin_rogers_000_1_1.pst.173.xls,BaseLoad:B1,239,8
benjamin_rogers_000_1_1.pst.37.xls,Daily Curve:AH3,687,11
stacey_white_000_1_1.pst.269.xls,BRA Power:A6,377,5
tracy_geaccone_000_1_1.pst.147.xls,Trackers:D45,197,4
jim_schwieger_000_1_1.pst.113.xls,Sheet1:BQ1974,161,2
john_lavorato_000_1_1_1.pst.57.xls,POS Lambie:BB2,170,7
john_griffith_000_1_1.pst.197.xls,Pastoria:F3,363,8
joe_parks_000_1_1.pst.133.xls,Variable Rates - Sept:P5,283,16
tracy_geaccone_000_1_1.pst.268.xls,Trackers:D61,218,3
andy_zipper_000_1_1.pst.168.xls,Deal Detail:B9,673,16
chris_germany_000_1_2.pst.164.xls,gatherco:J3,314,4
vkaminski_002_1_1_1.pst.12.xls,5d. 7.6:D4,1000,52
lindy_donoho_000_1_1_1.pst.123.xls,SJ by Month:H28,108,3
tracy_geaccone_000_1_1.pst.146.xls,Trackers:D61,218,3
vkaminski_000_1_1_1.pst.310.xls,Sheet1:A64,403,16
dutch_quigley_000_1_1.pst.202.xls,Position:Z2,219,6
vkaminski_000_1_1_1.pst.309.xls,Sheet1:A64,403,16
lindy_donoho_000_1_1_1.pst.13.xls,WOT by Month thru 2010:H32,108,3
tori_kuykendall_000_1_1_1.pst.48.xls,Sheet1:C1,1000,15
dutch_quigley_000_1_1.pst.51.xls,Sheet1:A1536,1000,9
benjamin_rogers_001_1_1.pst.153.xls,Template:E445,124,2
andy_zipper_000_1_1.pst.170.xls,Deal Detail:A9,824,6
jonathan_mckay_000_1_1.pst.24.xls,TETCO_TRANSCO:F38,342,4
jonathan_mckay_000_1_1.pst.30.xls,TETCO_TRANSCO:F38,343,7
vkaminski_000_1_1_1.pst.304.xls,Expiration Dates:F9,262,5
benjamin_rogers_000_1_1.pst.190.xls,CCFMODEL:H10,173,4
tracy_geaccone_000_1_1.pst.308.xls,WESTCompare0201:AP7,145,1
vkaminski_000_1_1_1.pst.286.xls,Expiration Dates:F9,262,4
scott_neal_000_1_1.pst.533.xls,Sheet1:I1889,124,2
stacey_white_000_1_1.pst.3.xls,BRA Power:A6,377,5
kevin_ruscitti_000_1_1.pst.103.xls,03-27-00AM:CN222,481,4
phillip_m_love_000_1_1.pst.476.xls,LongTerm73:D22,255,6
andy_zipper_000_1_1.pst.169.xls,Deal Detail:A9,692,5
errol_mclaughlin_jr_000_1_1.pst.24.xls,MAY-2001:J3,129,1
jonathan_mckay_000_1_1.pst.29.xls,TETCO_TRANSCO:F38,343,3
phillip_m_love_000_1_1.pst.677.xls,Curves:D15,181,2
tracy_geaccone_000_1_1.pst.307.xls,WESTCompare0201:AP7,145,2
gstorey_000_1_1.pst.116.xls,Empress vs Chippewa:H3,495,10
scott_neal_000_1_1.pst.156.xls,LongTerm1:D20,270,6
tracy_geaccone_000_1_1.pst.269.xls,Trackers:D45,197,4
jeffrey_a_shankman_000_1_2.pst.12.xls,APIS:C1263,1000,18
john_griffith_000_1_1.pst.196.xls,NP1265.2:F3,363,9
benjamin_rogers_001_1_1.pst.246.xls,Stratus Report:A15,103,1
andy_zipper_000_1_1.pst.20.xls,Deal Detail:A9,771,6
tracy_geaccone_000_1_1.pst.262.xls,Trackers:D61,218,4
stacey_white_000_1_1.pst.287.xls,BRA Power:A6,377,5
benjamin_rogers_000_1_1.pst.140.xls,Template:E445,124,2
stacey_white_000_1_1.pst.216.xls,BRA Power:A6,377,5
andy_zipper_000_1_1.pst.166.xls,Deal Detail:B9,596,14
daren_farmer_000_1_1.pst.313.xls,thursday:N556,344,3
lindy_donoho_000_1_1_1.pst.10.xls,WOT by Month thru 2010:H32,108,2
andy_zipper_000_1_1.pst.27.xls,Deal Detail:A9,951,9
vkaminski_002_1_1_1.pst.10.xls,5a. 7.1:D4,1000,48
chris_germany_000_1_2.pst.162.xls,gatherco:J3,314,3
errol_mclaughlin_jr_000_1_1.pst.23.xls,MAY-2001:J3,129,1
phillip_allen_000_1_1.pst.302.xls,Raw Data:CB5,109,4
richard_ring_000_1_1.pst.143.xls,Hourly EESI Price Calcs:G21,745,8
andrew_lewis_000_1_1.pst.12.xls,Swap:Z3,156,3
tracy_geaccone_000_1_1.pst.306.xls,WESTCompare0201:AP7,145,1
joe_parks_000_1_1.pst.315.xls,Leg2:F3,362,12
errol_mclaughlin_jr_000_1_1.pst.133.xls,Surety Bond Annuity:B11,392,5
vladi_pimenov_000_1_1.pst.73.xls,Sheet1:C1,1000,16
dutch_quigley_000_1_1.pst.210.xls,Swap:D11,299,5
vkaminski_003_1_1_1.pst.73.xls,SpotCurves:F4,173,8
john_griffith_000_1_1.pst.146.xls,FGT Z2 Supply:B10,390,4
vkaminski_001_1_2_1.pst.98.xls,Expiration Dates:F9,262,5
chris_germany_000_1_2.pst.163.xls,gatherco:J3,314,4
john_griffith_000_1_1.pst.147.xls,FGT Z2 Supply:B10,390,4
harry_arora_000_1_1.pst.130.xls,WorkingData:E3,1000,1131
lindy_donoho_000_1_1_1.pst.11.xls,WOT by Month thru 2010:H32,108,3
andy_zipper_000_1_1.pst.167.xls,Deal Detail:B9,638,18
vkaminski_001_1_2_1.pst.62.xls,5b. 7.3:D4,1000,58
stacey_white_000_1_1.pst.279.xls,BRA Power:A6,377,5
darron_c_giron_002_1_1_1.pst.157.xls,30 Year:J3,361,6
john_griffith_000_1_1.pst.26.xls,Sheet1:E11,203,4
jonathan_mckay_000_1_1.pst.113.xls,Normals:C3,362,2
larry_may_000_1_1.pst.311.xls,WEST GAMMA:CY2,130,4
vkaminski_000_1_1_1.pst.281.xls,Expiration Dates:F9,262,5
benjamin_rogers_001_1_1.pst.50.xls,Debt:E160,119,3
stacey_white_000_1_1.pst.300.xls,BRA Power:A6,377,6
lindy_donoho_000_1_1_1.pst.142.xls,WOT by Month thru 2010:H32,108,2
tracy_geaccone_000_1_1.pst.151.xls,Trackers:D61,218,4
vkaminski_001_1_2_1.pst.130.xls,Expiration Dates:F9,262,5
john_arnold_000_1_2.pst.327.xls,F Trades:I22,172,3
tracy_geaccone_000_1_1.pst.417.xls,Detail:T1,384,9
sally_beck_002_1_1_1.pst.5.xls,Calculation:X20,995,52
jonathan_mckay_000_1_1.pst.26.xls,TETCO_TRANSCO:F38,342,4
tracy_geaccone_000_1_1.pst.264.xls,Trackers:D45,197,6
jeff_dasovich_000_1_1_1.pst.116.xls,Curves:B10,379,6
mike_swerzbin_000_1_1.pst.4.xls,GcDDisch_UsgsUsace1029_0901:A25335,367,4
dutch_quigley_000_1_1.pst.200.xls,Position:Z2,219,6
vkaminski_001_1_2_1.pst.131.xls,Expiration Dates:F9,262,5
benjamin_rogers_001_1_1.pst.109.xls,Stratus Report:A15,103,1
benjamin_rogers_001_1_1.pst.222.xls,Debt:E160,119,3
jim_schwieger_000_1_1.pst.100.xls,NYMEX-PR:A1536,1000,16
darron_c_giron_002_1_1_1.pst.143.xls,Darron:E5,316,18
larry_may_000_1_1.pst.302.xls,WEST GAMMA:CY2,130,5
andy_zipper_000_1_1.pst.111.xls,Deal Detail:B9,545,15
benjamin_rogers_001_1_1.pst.115.xls,Stratus Report:A15,103,1
chris_germany_000_1_2.pst.161.xls,gatherco:J3,314,3
jeff_dasovich_000_1_1_1.pst.115.xls,Curves:B10,376,7
tori_kuykendall_000_1_1_1.pst.122.xls,Sheet1:C1,1000,17
larry_campbell_000_1_1.pst.381.xls,Sheet1:E671,619,6
tracy_geaccone_000_1_1.pst.152.xls,Trackers:D45,197,3
jonathan_mckay_000_1_1.pst.25.xls,TETCO_TRANSCO:F38,342,3
peter_keavey_000_1_1.pst.21.xls,Realized Vol:A1422,102,2
benjamin_rogers_000_1_1.pst.191.xls,CCFMODEL:H10,173,3
errol_mclaughlin_jr_000_1_1.pst.136.xls,Gas Swap Model:B10,396,13
kam_keiser_000_1_1.pst.16.xls,LongTerm73:D22,255,6
tracy_geaccone_000_1_1.pst.239.xls,Trackers:D45,197,3
gstorey_000_1_1.pst.111.xls,king 80-15-5:E2,366,14
tori_kuykendall_000_1_1_1.pst.12.xls,GDA:K23,137,3
jim_schwieger_000_1_1.pst.110.xls,Sheet2:J5,333,18
dutch_quigley_000_1_1.pst.201.xls,Position:Z2,219,7
john_griffith_000_1_1.pst.187.xls,Transco Z3:F3,363,9
vkaminski_000_1_1_1.pst.258.xls,R11_logs:BM389,200,3
benjamin_rogers_000_1_1.pst.171.xls,BaseLoad:B1,239,7
john_griffith_000_1_1.pst.184.xls,Transco Z3:F3,363,9
vkaminski_000_1_1_1.pst.27.xls,Distributions:D5,1000,69
john_arnold_000_1_2.pst.108.xls,F Trades:I22,173,4
stacey_white_000_1_1.pst.305.xls,BRA Power:A6,377,13
mary_hain_000_1_1.pst.160.xls,CALC:I17,254,5
tracy_geaccone_000_1_1.pst.238.xls,CASHFLOW:D318,117,2
stacey_white_000_1_1.pst.252.xls,BRA Power:A6,377,6
chris_germany_000_1_2.pst.166.xls,gatherco:J3,314,3
lindy_donoho_000_1_1_1.pst.17.xls,WOT by Month thru 2010:H32,108,2
jim_schwieger_000_1_1.pst.111.xls,Module2:BI1214,168,3
andy_zipper_000_1_1.pst.23.xls,Deal Detail:A9,896,7
jonathan_mckay_000_1_1.pst.28.xls,TETCO_TRANSCO:F38,343,6
tracy_geaccone_000_1_1.pst.266.xls,CASHFLOW:H315,108,2
errol_mclaughlin_jr_000_1_1.pst.137.xls,EO9904.1 floor:F3,363,8
tori_kuykendall_000_1_1_1.pst.0.xls,Sheet1:C1,1000,17
lindy_donoho_000_1_1_1.pst.15.xls,WOT by Month thru 2010:H32,108,2
john_griffith_000_1_1.pst.185.xls,MAIN:S22,351,24
tori_kuykendall_000_1_1_1.pst.15.xls,Sheet1:C1,1000,17
kevin_ruscitti_000_1_1.pst.49.xls,Swap:A8,194,3
john_griffith_000_1_1.pst.322.xls,Gas Swap Model:F3,363,9
tori_kuykendall_000_1_1_1.pst.106.xls,Sheet1:C1,1000,22
richard_shapiro_000_1_1.pst.140.xls,Gas Swap Model:B10,396,7
sally_beck_002_1_1_1.pst.3.xls,Calculation:X20,995,42
john_griffith_000_1_1.pst.200.xls,NP1265.2:F3,363,8
andy_zipper_000_1_1.pst.18.xls,Deal Detail:A9,718,5
jim_schwieger_000_1_1.pst.71.xls,NYMEX-PR:A1536,1000,10
phillip_m_love_000_1_1.pst.681.xls,m1:C12,202,3
jonathan_mckay_000_1_1.pst.27.xls,TETCO_TRANSCO:F38,342,4
jim_schwieger_000_1_1.pst.112.xls,Module2:BQ1974,159,3
kevin_presto_000_1_1.pst.16.xls,MAIN:U19,265,105
tracy_geaccone_000_1_1.pst.237.xls,Trackers:D61,218,6
stacey_white_000_1_1.pst.296.xls,BRA Power:A6,377,22
vkaminski_000_1_1_1.pst.307.xls,Expiration Dates:F9,262,5
stacey_white_000_1_1.pst.1.xls,BRA Power:A6,377,5
jim_schwieger_000_1_1.pst.106.xls,NYMEX-PR:A1536,1000,12
benjamin_rogers_000_1_1.pst.116.xls,Stratus Report:A15,103,1
kevin_ruscitti_000_1_1.pst.4.xls,Swap:A8,194,2
