fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime
chris_germany_000_1_2.pst.1111.xls,8270,27200,26350,27200,26350,487
chris_germany_000_1_2.pst.1136.xls,1707,54464,52762,54464,52762,512
kevin_ruscitti_000_1_1.pst.100.xls,8268,27200,26350,27200,26350,313
kevin_ruscitti_000_1_1.pst.101.xls,8268,27200,26350,27200,26350,204
kevin_ruscitti_000_1_1.pst.152.xls,12398,27200,26350,27200,26350,204
kevin_ruscitti_000_1_1.pst.155.xls,850,27200,26350,27200,26350,227
kevin_ruscitti_000_1_1.pst.156.xls,8268,27200,26350,27200,26350,234
kevin_ruscitti_000_1_1.pst.157.xls,8268,27200,26350,27200,26350,224
phillip_allen_000_1_1.pst.212.xls,63932,159632,95772,159632,95772,1020
robin_rodrigue_000_1_1.pst.11.xls,9070,27210,18140,27210,18140,159
robin_rodrigue_000_1_1.pst.12.xls,9070,27210,18140,27210,18140,150
robin_rodrigue_000_1_1.pst.13.xls,9070,27210,18140,27210,18140,153
robin_rodrigue_000_1_1.pst.15.xls,8992,26976,17984,26976,17984,141
robin_rodrigue_000_1_1.pst.157.xls,9024,27072,18048,27072,18048,218
robin_rodrigue_000_1_1.pst.159.xls,9024,27072,18048,27072,18048,156
robin_rodrigue_000_1_1.pst.166.xls,9094,27282,18188,27282,18188,161
darron_c_giron_000_1_1_1.pst.137.xls,65944,127508,75058,127508,75058,722
darron_c_giron_000_1_1_1.pst.194.xls,65944,127508,75058,127508,75058,715
darron_c_giron_000_1_1_1.pst.276.xls,65944,127508,75058,127508,75058,722
matthew_lenhart_000_1_1.pst.65.xls,31061,72469,41409,72469,41409,396
vkaminski_000_1_1_1.pst.182.xls,10954,16633,11112,16633,11112,83
benjamin_rogers_000_1_1.pst.12.xls,27674,52480,27836,52480,27836,217
bill_williams_iii_000_1_1.pst.81.xls,8064,18816,16128,18816,16128,121
cooper_richey_000_1_1.pst.29.xls,10887,21772,10888,21772,10888,89
cooper_richey_000_1_1.pst.30.xls,7437,14893,7466,14893,7466,60
craig_dean_000_1_1.pst.124.xls,28524,38032,28524,38032,28524,272
daren_farmer_000_1_1.pst.313.xls,11441,24414,12973,24414,12973,88
jeff_dasovich_000_1_1_1.pst.44.xls,10041,20082,10041,20082,10041,69
jim_schwieger_000_1_1.pst.112.xls,19036,35432,49318,35432,49318,385
jim_schwieger_000_1_1.pst.113.xls,20430,36620,48896,36620,48896,412
joe_quenet_000_1_1.pst.17.xls,4567,9143,4586,9143,4586,33
joe_quenet_000_1_1.pst.18.xls,10887,21772,10888,21772,10888,89
joe_stepenovitch_000_1_1.pst.15.xls,4567,9143,4586,9143,4586,34
joe_stepenovitch_000_1_1.pst.25.xls,10887,21772,10888,21772,10888,89
john_arnold_000_1_2.pst.135.xls,7539,15079,9052,15079,9052,66
john_zufferli_000_1_1.pst.54.xls,7437,14893,7466,14893,7466,61
keith_holst_000_1_1.pst.144.xls,17671,50325,34943,50325,34943,249
kevin_presto_000_1_1.pst.261.xls,10887,21772,10888,21772,10888,92
mike_carson_000_1_1.pst.42.xls,10887,21772,10888,21772,10888,90
richard_shapiro_001_1_2.pst.124.xls,10041,20082,10041,20082,10041,68
robin_rodrigue_000_1_1.pst.137.xls,31596,76728,72214,76728,72214,629
robin_rodrigue_000_1_1.pst.148.xls,27268,68164,63620,68164,63620,590
robin_rodrigue_000_1_1.pst.151.xls,22765,54636,54636,54636,54636,453
