fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
chris_germany_000_1_2.pst.1111.xls,8270,27200,26350,11520,11160,3741,0,0,10230,24180,0,0,0,0,0,0,372,744,372,930,186,496,0,0,0,0,0,0,0,0,0,0
chris_germany_000_1_2.pst.1136.xls,1707,54464,52762,23059,22322,6579,0,0,20446,48393,0,0,0,0,0,0,751,1502,747,1866,375,998,0,0,0,0,0,0,0,0,3,3
kevin_ruscitti_000_1_1.pst.100.xls,8268,27200,26350,11520,11160,3368,0,0,10230,24180,0,0,0,0,0,0,372,744,372,930,186,496,0,0,0,0,0,0,0,0,0,0
kevin_ruscitti_000_1_1.pst.101.xls,8268,27200,26350,11520,11160,3372,0,0,10230,24180,0,0,0,0,0,0,372,744,372,930,186,496,0,0,0,0,0,0,0,0,0,0
kevin_ruscitti_000_1_1.pst.152.xls,12398,27200,26350,11520,11160,3232,0,0,10230,24180,0,0,0,0,0,0,372,744,372,930,186,496,0,0,0,0,0,0,0,0,0,0
kevin_ruscitti_000_1_1.pst.155.xls,850,27200,26350,11520,11160,3212,0,0,10230,24180,0,0,0,0,0,0,372,744,372,930,186,496,0,0,0,0,0,0,0,0,0,0
kevin_ruscitti_000_1_1.pst.156.xls,8268,27200,26350,11520,11160,3201,0,0,10230,24180,0,0,0,0,0,0,372,744,372,930,186,496,0,0,0,0,0,0,0,0,0,0
kevin_ruscitti_000_1_1.pst.157.xls,8268,27200,26350,11520,11160,3222,0,0,10230,24180,0,0,0,0,0,0,372,744,372,930,186,496,0,0,0,0,0,0,0,0,0,0
phillip_allen_000_1_1.pst.212.xls,63932,159632,95772,7,4,1485,0,0,4,95772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robin_rodrigue_000_1_1.pst.11.xls,9070,27210,18140,6,4,170,0,0,4,18140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robin_rodrigue_000_1_1.pst.12.xls,9070,27210,18140,6,4,171,0,0,4,18140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robin_rodrigue_000_1_1.pst.13.xls,9070,27210,18140,6,4,198,0,0,4,18140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robin_rodrigue_000_1_1.pst.15.xls,8992,26976,17984,6,4,167,0,0,4,17984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robin_rodrigue_000_1_1.pst.157.xls,9024,27072,18048,6,4,193,0,0,4,18048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robin_rodrigue_000_1_1.pst.159.xls,9024,27072,18048,6,4,169,0,0,4,18048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
robin_rodrigue_000_1_1.pst.166.xls,9094,27282,18188,6,4,275,0,0,4,18188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darron_c_giron_000_1_1_1.pst.137.xls,65944,127508,75058,19,11,954,0,0,11,75058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darron_c_giron_000_1_1_1.pst.194.xls,65944,127508,75058,19,11,954,0,0,11,75058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
darron_c_giron_000_1_1_1.pst.276.xls,65944,127508,75058,19,11,958,0,0,11,75058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
matthew_lenhart_000_1_1.pst.65.xls,31061,72469,41409,51,29,392,0,0,29,41409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vkaminski_000_1_1_1.pst.182.xls,10954,16633,11112,40,26,81,0,0,20,11104,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,4,4
benjamin_rogers_000_1_1.pst.12.xls,27674,52480,27836,102,61,327,0,0,56,27828,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,2,2
bill_williams_iii_000_1_1.pst.81.xls,8064,18816,16128,7,6,191,0,0,6,16128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cooper_richey_000_1_1.pst.29.xls,10887,21772,10888,9,5,88,0,0,2,10884,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
cooper_richey_000_1_1.pst.30.xls,7437,14893,7466,54,29,82,0,0,12,7440,0,0,0,0,1,2,2,4,3,6,0,0,2,4,1,2,0,0,0,0,8,8
craig_dean_000_1_1.pst.124.xls,28524,38032,28524,4,3,276,0,0,3,28524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
daren_farmer_000_1_1.pst.313.xls,11441,24414,12973,4872,2437,593,0,0,767,4594,0,0,0,0,0,0,541,4886,64,128,494,2476,268,536,0,0,15,30,35,70,253,253
jeff_dasovich_000_1_1_1.pst.44.xls,10041,20082,10041,12,6,76,0,0,6,10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jim_schwieger_000_1_1.pst.112.xls,19036,35432,49318,462,630,8799,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,626,49296,0,0,0,0
jim_schwieger_000_1_1.pst.113.xls,20430,36620,48896,448,601,7533,4,1200,13,1560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,584,46136,0,0,0,0
joe_quenet_000_1_1.pst.17.xls,4567,9143,4586,45,24,38,0,0,9,4567,0,0,0,0,1,2,2,4,0,0,0,0,0,0,0,0,1,2,0,0,11,11
joe_quenet_000_1_1.pst.18.xls,10887,21772,10888,9,5,91,0,0,2,10884,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
