fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime
HotOcall_latencies_in_cycles.xlsx,400008,400010,400006,400010,400006,5525
aero_test.xlsx,131532,131533,131532,131533,131532,1409
datalog1.xlsx,124534,124535,124534,124535,124534,1477
기록차이모음.xlsx,299997,599997,599994,599997,599994,7729
Test13_100k_lines.xlsx,99999,99999,99998,99999,99998,1067
big.xlsx,239997,240000,239997,240000,239997,2771
knock_vertical.xlsx,67099,67100,67099,67100,67099,608
地方政府债券整理-hs.xlsx,65482,65535,65482,65535,65482,691
calculs.xlsx,183553,183565,345020,183565,345020,3636
최경묵_퍼셉트론엑셀.xlsx,108003,108005,263992,108005,263992,2842
이정인_퍼셉트론엑셀.xlsx,108003,108005,263992,108005,263992,2901
detil_pengasuhan.xlsx,44555,44556,44555,44556,44555,444
I&A FY18 Raw Data Template.xlsx,44151,44167,44151,44167,44151,380
InputData.xlsx,219120,350595,525888,350595,525888,6307
2019-01-01行政区划四级.xlsx,284641,375494,284641,375494,284641,3545
Office Energy Usage_Workbook.xlsx,324492,422216,364596,422216,364596,4296
Toro.xlsx,78838,118259,157676,118259,157676,1591
wykaz_czasopism_18-12-2019.xlsx,30674,30676,30674,30676,30674,259
pin-BARNES.out-none-Thu-Jul-11-10-53-18-2013--.xlsx,28123,56241,56239,56241,56239,491
EventLog_2.xlsx,159794,159800,159794,159800,159794,1748
Sample_Libreview_forCoding.xlsx,185382,264833,370762,264833,370762,4640
191001_선물데이터_1틱.xlsx,329897,406051,888073,406051,888073,9704
Kraken_BTCEUR_1h.xlsx,50544,50544,50543,50544,50543,650
アメリカ式part2【資料】第2回_エクセル演習.xlsx,78725,105684,78727,105684,78727,769
【第8回当日配布料】問題演習_第2回_確率.xlsx,78725,105684,78727,105684,78727,743
IEX.hourlydata_final.xlsx,23183,23184,23183,23184,23183,188
DBViajesCompleta.xlsx,46061,69095,113076,69095,113076,1085
measles.xlsx,18250,18251,18250,18251,18250,147
2021_data.xlsx,74640,149280,149276,149280,149276,1437
DescriptionVI & HS Code 2018_rev06 - Copy.xlsx,17002,17001,17000,17001,17000,137
wide.xlsx,16383,16384,16383,16384,16383,219
Question 5.xlsx,50128,50512,200036,50512,200036,2130
Community Crime 2016.xlsx,16851,33702,16851,33702,16851,142
Excel模拟神经网络进行4000次迭代.xlsx,75934,79941,243784,79941,243784,2465
Day1.xlsx,173566,332766,347130,332766,347130,3916
松_分级加载.xlsx,34538,34548,34538,34548,34538,281
Reboiler_Raw Data_With Timestamps - Modificado.xlsx,71758,197982,156170,197982,156170,1665
SP500_results.xlsx,227088,302715,669890,302715,669890,6572
GAINS.xlsx,92375,98996,379658,98996,379658,3965
Infiltration_Mohammed.xlsx,92375,98996,379658,98996,379658,4072
midterm.xlsx,11457,11458,11457,11458,11457,87
zadanie5.xlsx,25572,29229,36531,29229,36531,327
The Sorted Dataset Based on Separation and Location.xlsx,23631,23909,23791,23909,23791,142
测试-30000.xlsx,539997,540051,539997,540051,539997,6644
P12-Churn-Modelling - Forecast.xlsx,50003,70004,100003,70004,100003,1086
Chum Modeling Forecast CAP CURVE.xlsx,50003,70005,100003,70005,100003,963
cp_v_ac.xlsx,49998,70000,59998,70000,59998,567
Delay-CI-Rawdata(1).xlsx,16378,16380,16378,16380,16378,135
Delay-CI-Rawdata.xlsx,16378,16380,16378,16380,16378,136
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,77051,78495,154122,78495,154122,1433
Schema_generator.xlsx,91062,183847,565704,183847,565704,6564
Xkvbawue2.xlsx,17661,26494,35321,26494,35321,311
nl2019_wind_inland.xlsx,78851,113904,113899,113904,113899,1247
H2_consumption_test_15min.xlsx,35037,35040,35036,35040,35036,270
Incendios forestales_consolidado.xlsx,143637,153921,143637,153921,143637,1792
GMBA_Inventory_v2.0_Selection_Tool.xlsx,43094,86194,146521,86194,146521,1511
store sales.xlsx,25224,50431,42052,50431,42052,438
EC07.xlsx,32015,32024,96040,32024,96040,890
指數平滑法1081111.xlsx,31415,35384,86283,35384,86283,783
BAU Amt Spent on Bldg Components.xlsx,7820,15557,15761,15557,15761,126
W23702-91.xlsx,22834,60891,68500,60891,68500,703
T100_1520_WAVSTEP_BRISTOL_PM_COMBINED.xlsx,59971,97447,89942,97447,89942,1021
walkingFast_euler.xlsx,14507,17510,18510,17510,18510,142
Zbiornik.xlsx,21922,25581,32880,25581,32880,461
Zeszyt1.xlsx,32877,43837,54788,43837,54788,564
medidas_bateria.xlsx,17968,44928,89840,44928,89840,820
W1KG13126-37.xlsx,21295,56787,63883,56787,63883,602
W22704-181.xlsx,21295,56787,63883,56787,63883,577
W22704-19.xlsx,21295,56787,63883,56787,63883,601
W23703-118.xlsx,21295,56787,63883,56787,63883,618
W1GS66030-10.xlsx,21295,56787,63883,56787,63883,616
SMOK.xlsx,21010,21013,42010,21013,42010,343
ВА15ОН_01_20151227 full.xlsx,13968,34920,41901,34920,41901,440
power movs categorized.xlsx,35259,58546,97480,58546,97480,829
END2_Session2_Assignment.xlsx,86808,99699,302232,99699,302232,2807
161 Ranking Comunal Educación.xlsx,95282,20022,31345,20022,31345,277
emissions_reduction_master_sheet.xlsx,14088,22304,14905,22304,14905,117
Binno test Status Nov01_2018.xlsx,41577,52289,64229,52289,64229,583
ВА15УН_01_20151227 full.xlsx,11454,28635,34359,28635,34359,365
ВА12ОВ_03_20151204 full.xlsx,11368,28420,34101,28420,34101,270
timeseries_tracertest_Kortright_7hr.xlsx,25565,49185,43689,49185,43689,449
ВА09ОН_01_20151124 full.xlsx,11184,27960,33549,27960,33549,269
VET_rsi_with_ema.xlsx,34638,40439,86551,40439,86551,855
YODA_TimeSeries_TEMPLATE_DRAFT.xlsx,11498,11002,21994,11002,21994,185
Base de datos clientes ventas v7.xlsx,53916,80890,215266,80890,215266,2193
New_Crude_All_manipulated.xlsx,10860,16360,16177,16360,16177,120
check 3.xlsx,90257,159285,185822,159285,185822,1935
В12УВ_03_20160111 full.xlsx,10506,26265,31515,26265,31515,251
ChenCowan.2005.2009.details.xlsx,5200,15603,26000,15603,26000,253
ВА12ОН_02_20151204 full.xlsx,10206,25515,30615,25515,30615,316
Multilateral - 32banks_40000txns - Final - Copy.xlsx,105090,150190,175112,150190,175112,1503
Outer_BaseLine.xlsx,9355,13711,18062,13711,18062,134
Day_11_Sampling-distribution-example_Sample-size-effect_Confidence-Intervals.xlsx,12524,12857,18439,12857,18439,459
Sampling-distribution-example_Sample-size-effect_Confidence-Intervals.xlsx,22407,23038,35011,23038,35011,554
Simulate-Price-Stocks.xlsx,44999,85000,44999,85000,44999,462
YODA_TimeSeries_TEMPLATE_HeaderOnly.xlsx,10499,10000,19990,10000,19990,158
控制图.xlsx,14989,39956,29958,39956,29958,243
1.ejemplo a replicar.xlsx,155796,276656,311733,276656,311733,3651
Обработка положение лежа.xlsx,55601,72899,331142,72899,331142,3485
В15УВ_02_20160115 full.xlsx,9860,24650,29577,24650,29577,239
expoente_de_hurst.xlsx,116337,162867,195397,162867,195397,1992
四象限行业选择.xlsx,30884,61704,52343,61704,52343,448
aim120_amraap.xlsx,108536,111036,240169,111036,240169,2221
EURUSD.xlsx,92253,113232,117411,113232,117411,1200
REMISIONES-- NOxxxxxxxxxxxxx    --- 2 0 1 5.xlsx,52875,138569,135587,138569,135587,1165
Ind Cafe_Dimensiones - tabla de hechos.xlsx,16626,16639,16626,16639,16626,115
REMISIONES----OBRADOR---A G O S T O      2016.xlsx,76083,127366,106471,127366,106471,902
REMISIONES----OBRADOR---JUNIO    2016.xlsx,62103,98415,85062,98415,85062,716
EarlyRetirementNow SWR Toolbox v2.0.xlsx,78410,120508,174647,120508,174647,1468
REMISIONES-- E N E R O         --- 2 0 1 6.xlsx,56311,142383,138947,142383,138947,1146
CPIvs行业.xlsx,210534,252451,489081,252451,489081,5060
Budget_Plan_Project_20180803-form.xlsx,32100,80153,64102,80153,64102,723
В06УН_01_20160105 full.xlsx,7692,19230,23073,19230,23073,302
MRKT-TRKR_2020-05-19T UPTREND31 to  Sundeep.xlsx,64809,99361,100515,99361,100515,891
REMISIONES-- FEBRERO          --- 2 0 1 6.xlsx,50937,136456,133103,136456,133103,1097
AdimAdimVeriMadencisi-07_RapidMiner-01_RegresyonBitcoin.xlsx,12704,15884,22228,15884,22228,183
Signals.xlsx,37953,85746,111803,85746,111803,918
211018 BTC 2012년부터 변동성 돌파 확인.xlsx,61173,113282,139670,113282,139670,1258
Bairros.xlsx,11076,16755,16618,16755,16618,151
R1CD.xlsx,169964,432190,269482,432190,269482,3436
Totalen per rekeningcode Jaarrekening 2015 provincie Groningen.xlsx,24893,34442,30859,34442,30859,250
ВАТ06ОВ_02_20151120 full.xlsx,5424,13560,16269,13560,16269,127
Totalen per rekeningcode begroting 2016 provincie Groningen.xlsx,16346,23020,22166,23020,22166,177
Combined Packet Configurator (1.6.22).xlsx,12222,22564,27755,22564,27755,198
Demand Forecasting.xlsx,52536,73277,88615,73277,88615,1536
matriz actualizada.xlsx,152531,179043,522890,179043,522890,5659
StromKurve_erstellen.xlsx,12372,14848,22265,14848,22265,183
hw_6_2.xlsx,12300,14765,24598,14765,24598,210
ALMACEN      AGOSTO         2016.xlsx,22872,57134,57240,57134,57240,398
JUNIO RAUL  2016.xlsx,25680,63130,63203,63130,63203,442
HeroDataTable.xlsx,282096,340234,387276,340234,387276,4833
three_factor_storage.xlsx,4772,4775,9543,4775,9543,73
Champgnat-Boaventura_1998.xlsx,6872,16037,11454,16037,11454,88
zad5.xlsx,8602,17198,15045,17198,15045,117
Model Input Document Satisloh V1.1 LDS_Software - CPQ.xlsx,5122,10279,10501,10279,10501,115
HESTA_Quote_Tool_Draft.xlsx,10438,10460,31288,10460,31288,273
dailybriefingANALYSIS.xlsx,46985,65118,92082,65118,92082,885
01-1. ExcelSimulation.xlsx,7687,7773,13916,7773,13916,98
8.THẺ KHO- STOCK CARD 13.06.2020.xlsx,65508,169274,118778,169274,118778,1012
TPV4.9.xlsx,42149,50646,135761,50646,135761,1323
PWM.xlsx,50001,54011,123995,54011,123995,1185
FirstLink - Copy 2.xlsx,44070,54145,94099,54145,94099,753
Ventas 2.0 exceldiario.xlsx,58047,86053,126066,86053,126066,1212
Known Distributions (2).xlsx,26518,33435,26718,33435,26718,241
Known Distributions.xlsx,27160,34481,27560,34481,27560,244
Real-Statistics-Examples-Correlation-Reliability.xlsx,47604,70003,92274,70003,92274,781
telefony.xlsx,46011,60020,50012,60020,50012,404
Real-Statistics-Examples-Non-Parametric-2.xlsx,15782,24307,19792,24307,19792,211
Carreras Universitarias.xlsx,18263,37613,47070,37613,47070,389
schoolsSportsReference_difference.xlsx,43296,86614,127920,86614,127920,1292
Повороты в плоскости(фильтр Маджвика).xlsx,30548,36975,131946,36975,131946,1161
螺纹_LLT模型-带止损-实盘记录优化版.xlsx,54999,74006,171110,74006,171110,1484
股票_LLT模型-带止损-实盘记录优化版.xlsx,31612,42497,105495,42497,105495,829
Flash Report.xlsx,125947,172074,232175,172074,232175,2428
GSE142114_NGS_Hammerhead_Length_Filtered.xlsx,34479,65532,82699,65532,82699,728
Chicago Time Series.xlsx,32801,41927,43739,41927,43739,360
1 LRD - Influent Characterization - 2015-2017 (version 1).xlsb.xlsx,126840,195346,216792,195346,216792,2022
Data-Formulas (Autosaved).xlsx,25438,50898,47198,50898,47198,381
taxas-juros-emprestimos.xlsx,10391,12378,25254,12378,25254,197
Boksmodel.xlsx,31258,53759,158039,53759,158039,1608
fable2.xlsx,10671,24330,52034,24330,52034,417
Data Skenario 3.xlsx,27245,44276,45969,44276,45969,414
REDB Mapping.xlsx,23540,42892,53254,42892,53254,436
kevin_ruscitti__20327__NGPL_StorageE_Test.xlsx,14941,16709,33038,16709,33038,252
dt upload SIMP MEI 2018.xlsx,10633,33660,36346,33660,36346,309
test_信号0729_vega敞口2_iv_vega正敞口三分之一_负vega3倍_gamma3倍_65_7天不开.xlsx,13680,27360,25767,27360,25767,209
pollutionData204273.xlsx,21959,40992,21959,40992,21959,178
3_Orçamentos.xlsx,6883,7093,9650,7093,9650,73
CovidVaccinationProjection3-3-2021.xlsx,57092,95344,122926,95344,122926,1115
TMC5160_Calculations.xlsx,6310,5451,11768,5451,11768,82
Measurements_Temperature_DutyCycle.xlsx,11330,16996,11328,16996,11328,84
RETURN_stream_i_jAUGUST.xlsx,9093,16768,11656,16768,11656,80
HS_videos_Smit_Cross_augmented_v01.xlsx,15539,44461,84617,44461,84617,835
CARDEX ENERO 2020.xlsx,21713,60503,60378,60503,60378,421
CARDEX NOVIEMBRE 2019.xlsx,18952,53366,53252,53366,53252,329
Solution_DataToClean - Kaggle.xlsx,31663,52796,31663,52796,31663,270
bot.xlsx,14376,18298,24831,18298,24831,204
HS_videos_Smit_Cross_augmented_v06.xlsx,15495,42807,59460,42807,59460,488
passive_skill_info.xlsx,5502,12021,11932,12021,11932,94
Financial_Analyst.xlsx,29262,49467,50915,49467,50915,388
Hanging Pendulum Tests - Complied.xlsx,6994,7486,13493,7486,13493,89
arrow_task_final.xlsx,29136,44628,36258,44628,36258,263
策略分析_20160710_800K.xlsx,26563,34914,46564,34914,46564,353
策略分析_20160526.xlsx,25315,33563,44069,33563,44069,418
GCS-MT-12.xlsx,6725,10092,12325,10092,12325,94
Pokemon Info.xlsx,5718,10725,6832,10725,6832,51
Innovid_cookie_level_EDA_20201116.xlsx,29726,56671,55307,56671,55307,451
Customer Assessment CalculatorTemplate2.xlsx,4361,10906,10901,10906,10901,74
Regression.xlsx,10070,15133,19100,15133,19100,131
MLIAM10det_model.xlsx,35306,43249,101978,43249,101978,865
MLIAM10unc_model.xlsx,86413,99361,225914,99361,225914,1847
testSequenceFile.xlsx,46590,61447,109339,61447,109339,1077
Valuation of Conoco Philips-2016.xlsx,6839,10438,14735,10438,14735,104
gaslines_model_public.xlsx,99012,100801,351888,100801,351888,3394
2060.xlsx,25139,49447,71715,49447,71715,573
2191.xlsx,25139,49447,71715,49447,71715,590
3323.xlsx,25139,49447,71715,49447,71715,598
4564.xlsx,25139,49447,71715,49447,71715,652
4583.xlsx,25139,49447,71715,49447,71715,580
6502.xlsx,25139,49447,71715,49447,71715,580
7238.xlsx,25139,49447,71715,49447,71715,579
7980.xlsx,25139,49447,71715,49447,71715,659
9263.xlsx,25139,49447,71715,49447,71715,577
Andrej Sisila - Volby.xlsx,48038,72077,70038,72077,70038,607
Real-Statistics-Examples-Distributions.xlsx,13506,16725,25865,16725,25865,148
Model Input Document Satisloh V1.2 3BX- CPQ.xlsx,3458,6952,7474,6952,7474,53
Model Input Document Satisloh V1.2 4TX- CPQ.xlsx,3465,6966,7481,6966,7481,53
Model Input Document Satisloh V2.1 Dimension- CPQ.xlsx,3465,6966,7481,6966,7481,52
Model Input Document Satisloh V4.6 VFT-Orbit - CPQ.xlsx,3058,6153,6998,6153,6998,50
Schneider Equivalent Point Map.xlsx,15075,16298,15108,16298,15108,109
metro.xlsx,31522,64247,82453,64247,82453,627
NL.xlsx,99378,226560,296723,226560,296723,3066
FullRes Capture conversion.xlsx,110458,169439,245240,169439,245240,2241
Финплан_new.xlsx,9453,14280,14700,14280,14700,134
el staff coll.xlsx,40452,126293,87940,126293,87940,782
Лаба по химии.xlsx,10659,11503,10659,11503,10659,84
תקציב חיפה 2015 הוצאות מתוקן.xlsx,6685,8035,9361,8035,9361,75
CFB_2011_2018.xlsx,87644,171193,170207,171193,170207,1529
5烧结精益生产管控系统.xlsx,97395,137542,206756,137542,206756,1917
Dane w czasie.xlsx,7446,8194,11907,8194,11907,86
001-functions_financial_amortization_schedules.xlsx,7495,10353,18713,10353,18713,127
A00282.PP0053.TP05.PA048.D20150504.xlsx,44116,86919,73999,86919,73999,714
Hypotheekrente.xlsx,17012,30034,33588,30034,33588,381
powerprofile.xlsx,19473,19900,45169,19900,45169,348
111 - 112 - 15.xlsx,6017,15055,14408,15055,14408,85
PUTStrategy-RealOption-fixed.xlsx,54090,84855,114245,84855,114245,986
Austin2017 for Solution.xlsx,7530,9518,10818,9518,10818,244
1. Buku Kas 2018.xlsx,4856,12881,12853,12881,12853,79
1. Buku Kas 2018 .xlsx,6739,18349,18344,18349,18344,116
Calculation.xlsx,23246,44053,80335,44053,80335,734
2014.12 Thermal Decay .xlsx,24011,30526,78573,30526,78573,630
september-30-2021.xlsx,58482,104622,76445,104622,76445,599
IDX Stock Symbol Category Market Cap.xlsx,16688,24472,31264,24472,31264,343
backpropagation.xlsx,2692,3101,9376,3101,9376,69
september-2-2021.xlsx,54269,97690,71476,97690,71476,658
MacIC-Portfolio-Nov-2018-updated.xlsx,18577,38018,31375,38018,31375,331
MacIC-Portfolio-V1-Jan-28-2017.xlsx,18594,38091,31435,38091,31435,335
MacIC-Portfolio_V5.xlsx,31407,69354,53446,69354,53446,514
P S Priti Sudha_Task 3.xlsx,97158,148269,115169,148269,115169,1408
SYNTHESE UKRAINE 2016 V30 11 2017.xlsx,41455,68393,80633,68393,80633,686
CASE2_Kim_Tiono.xlsx,5104,6156,9163,6156,9163,69
hybrids_05.xlsx,18182,33647,33851,33647,33851,286
Gabarit_StatistiquesDescriptives.xlsx,16780,18375,42846,18375,42846,343
StatistiquesDescriptives-Exo_2_1.xlsx,16780,18375,42846,18375,42846,356
【CSOT OCL_FY21 75AR (SSV) 】 SMLD Quality Data Workbook.xlsx,34134,60211,59962,60211,59962,505
【AUO OCL_FY21 85AG (SSV) 】 SMLD Quality Data Workbook.xlsx,34012,59969,59718,59969,59718,472
Diao2004_v2.xlsx,23723,25761,25532,25761,25532,193
Diao2004_v1.xlsx,17203,20749,19839,20749,19839,151
april-22-2021.xlsx,31335,58714,43668,58714,43668,387
UST10y_update2.xlsx,9028,14030,19293,14030,19293,144
Scen_SE_ELC_DH-Pipes.xlsx,8368,23231,16635,23231,16635,120
Vinci.xlsx,46969,47251,82465,47251,82465,873
april-1-2021.xlsx,22465,42830,31052,42830,31052,300
RaveJump2-R94.xlsx,5895,13018,12376,13018,12376,85
finance.xlsx,43123,67226,84880,67226,84880,654
big+troubles.xlsx,6374,5629,11771,5629,11771,85
Plot2.xlsx,19443,29406,23001,29406,23001,163
new_inventory.xlsx,102809,165259,202798,165259,202798,1957
2019 Publications_New Updates_2020 04 25.xlsx,17782,54766,48282,54766,48282,308
covid-19-raw-data-2-12-2021.xlsx,13944,26754,19859,26754,19859,145
basescheme.xlsx,32418,38596,41187,38596,41187,298
covid-19-raw-data-2-6-2021.xlsx,12666,24229,18115,24229,18115,130
NKSC - 16.xlsx,14412,29977,23958,29977,23958,172
covid-19-dashboard_1-31-2021.xlsx,11383,21694,16361,21694,16361,113
SALDO DEPOSITO2018.xlsx,5760,14384,17232,14384,17232,106
errol_mclaughlin_jr__10120__Chase-Stoneville Model 12_29_00.xlsx,49167,66600,114310,66600,114310,913
data_stinkBug_2018-2019.xlsx,321702,324472,321702,324472,321702,2644
on order report example.xlsx,54346,159963,176118,159963,176118,1786
الماتلين.xlsx,11712,21149,19099,21149,19099,131
باردو.xlsx,15729,26041,24093,26041,24093,215
تستور.xlsx,14543,26311,24148,26311,24148,166
تلابت.xlsx,13948,24304,22717,24304,22717,155
سليمان.xlsx,18425,29929,28038,29929,28038,184
صفاقس.xlsx,18286,29662,27646,29662,27646,186
غمراسن.xlsx,6472,14079,11338,14079,11338,72
قبلاط.xlsx,14565,26331,24179,26331,24179,164
قلعة-سنان.xlsx,13936,23342,21505,23342,21505,141
قليبية.xlsx,15108,26605,24590,26605,24590,168
منزل النور.xlsx,15722,26077,24377,26077,24377,165
منزل حرّ.xlsx,15757,27408,25349,27408,25349,169
وذرف.xlsx,16896,28476,26510,28476,26510,204
DINAS PENDIDIKAN GABUNG BOS OK BANGET.xlsx,445188,595053,1755770,595053,1755770,24189
homework7_ducharme_h.xlsx,24912,25260,63727,25260,63727,532
Logistica.xlsx,102995,228964,165953,228964,165953,1568
IF2总数值表.xlsx,33087,59392,69103,59392,69103,588
FY 2018-2019 Weekly Placements-Returns-Reconciliation Tracker.xlsx,45641,103914,87007,103914,87007,844
Real-Statistics-Time-Series-Examples.xlsx,39079,42389,63151,42389,63151,379
Courbes.xlsx,4813,4819,10948,4819,10948,78
FY21 Attendance Tracker_Final.xlsx,29398,22166,16632,22166,16632,103
GaussianClusterTest.xlsx,23369,25696,40495,25696,40495,326
Spell_Config.xlsx,22424,24104,36185,24104,36185,293
qpcr_template_ottawa_wide.xlsx,18635,22586,28046,22586,28046,202
REMISIONES-- J U L I O      2013.xlsx,41179,119540,115593,119540,115593,953
2020_IRGEI_03ANT_lite.xlsx,49579,130231,143499,130231,143499,1203
REMISIONES-- J U N I O      2013.xlsx,40219,116778,112964,116778,112964,963
HOS Figures - 2021-05-09.xlsx,4480,5494,11452,5494,11452,87
REMISIONES- ENERO    2013.xlsx,37754,109586,105542,109586,105542,801
T 套装升星表.xlsx,12213,16742,29729,16742,29729,204
dutch_quigley__9367__gbs0711pos.xlsx,22855,44458,44588,44458,44588,325
modelrebal.xlsx,8265,10474,16204,10474,16204,238
COVID-19 w Polsce.xlsx,38726,54487,77958,54487,77958,784
relacao_geral_-_vodanet_-_04-04-2014.xlsx,13239,32536,21804,32536,21804,170
relacao_geral_-_vodanet_-_07-04-2014.xlsx,13239,32536,21804,32536,21804,256
relacao_geral_-_vodanet_-_08-04-2014.xlsx,13239,32536,21804,32536,21804,166
relacao_geral_-_vodanet_-_11-06-2014.xlsx,13315,32729,21940,32729,21940,166
relacao_geral_-_vodanet_-_12-12-2014.xlsx,13670,33653,22559,33653,22559,174
relacao_geral_-_vodanet_-_14-03-2014.xlsx,13181,32418,21742,32418,21742,169
relacao_geral_-_vodanet_-_17-03-2014.xlsx,13181,32418,21742,32418,21742,169
relacao_geral_-_vodanet_-_21-08-2014.xlsx,13482,33025,22107,33025,22107,172
