fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime
chris_germany_000_1_2.pst.1111.xls,8270,27200,26350,27200,26350,409
chris_germany_000_1_2.pst.1136.xls,1707,54464,52762,54464,52762,472
kevin_ruscitti_000_1_1.pst.100.xls,8268,27200,26350,27200,26350,278
kevin_ruscitti_000_1_1.pst.101.xls,8268,27200,26350,27200,26350,240
kevin_ruscitti_000_1_1.pst.152.xls,12398,27200,26350,27200,26350,243
kevin_ruscitti_000_1_1.pst.155.xls,850,27200,26350,27200,26350,217
kevin_ruscitti_000_1_1.pst.156.xls,8268,27200,26350,27200,26350,216
kevin_ruscitti_000_1_1.pst.157.xls,8268,27200,26350,27200,26350,242
phillip_allen_000_1_1.pst.212.xls,63932,159632,95772,159632,95772,1075
robin_rodrigue_000_1_1.pst.11.xls,9070,27210,18140,27210,18140,167
robin_rodrigue_000_1_1.pst.12.xls,9070,27210,18140,27210,18140,158
robin_rodrigue_000_1_1.pst.13.xls,9070,27210,18140,27210,18140,220
robin_rodrigue_000_1_1.pst.15.xls,8992,26976,17984,26976,17984,245
robin_rodrigue_000_1_1.pst.157.xls,9024,27072,18048,27072,18048,157
robin_rodrigue_000_1_1.pst.159.xls,9024,27072,18048,27072,18048,153
robin_rodrigue_000_1_1.pst.166.xls,9094,27282,18188,27282,18188,155
darron_c_giron_000_1_1_1.pst.137.xls,65944,127508,75058,127508,75058,826
darron_c_giron_000_1_1_1.pst.194.xls,65944,127508,75058,127508,75058,824
darron_c_giron_000_1_1_1.pst.276.xls,65944,127508,75058,127508,75058,820
matthew_lenhart_000_1_1.pst.65.xls,31061,72469,41409,72469,41409,549
vkaminski_000_1_1_1.pst.182.xls,10954,16633,11112,16633,11112,89
benjamin_rogers_000_1_1.pst.12.xls,27674,52480,27836,52480,27836,241
bill_williams_iii_000_1_1.pst.81.xls,8064,18816,16128,18816,16128,168
cooper_richey_000_1_1.pst.29.xls,10887,21772,10888,21772,10888,98
cooper_richey_000_1_1.pst.30.xls,7437,14893,7466,14893,7466,65
craig_dean_000_1_1.pst.124.xls,28524,38032,28524,38032,28524,258
daren_farmer_000_1_1.pst.313.xls,11441,24414,12973,24414,12973,89
jeff_dasovich_000_1_1_1.pst.44.xls,10041,20082,10041,20082,10041,72
