fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime
chris_germany_000_1_2.pst.1111.xls,8270,27200,26350,11904,11532,1776
chris_germany_000_1_2.pst.1136.xls,1707,54464,52762,23823,23069,2162
kevin_ruscitti_000_1_1.pst.100.xls,8268,27200,26350,11904,11532,1132
kevin_ruscitti_000_1_1.pst.101.xls,8268,27200,26350,11904,11532,1038
kevin_ruscitti_000_1_1.pst.152.xls,12398,27200,26350,11904,11532,1141
kevin_ruscitti_000_1_1.pst.155.xls,850,27200,26350,11904,11532,1039
kevin_ruscitti_000_1_1.pst.156.xls,8268,27200,26350,11904,11532,1039
kevin_ruscitti_000_1_1.pst.157.xls,8268,27200,26350,11904,11532,1038
phillip_allen_000_1_1.pst.212.xls,63932,159632,95772,7,4,1390
robin_rodrigue_000_1_1.pst.11.xls,9070,27210,18140,6,4,162
robin_rodrigue_000_1_1.pst.12.xls,9070,27210,18140,6,4,156
robin_rodrigue_000_1_1.pst.13.xls,9070,27210,18140,6,4,151
robin_rodrigue_000_1_1.pst.15.xls,8992,26976,17984,6,4,157
robin_rodrigue_000_1_1.pst.157.xls,9024,27072,18048,6,4,152
robin_rodrigue_000_1_1.pst.159.xls,9024,27072,18048,6,4,153
robin_rodrigue_000_1_1.pst.166.xls,9094,27282,18188,6,4,297
darron_c_giron_000_1_1_1.pst.137.xls,65944,127508,75058,19,11,876
darron_c_giron_000_1_1_1.pst.194.xls,65944,127508,75058,19,11,895
darron_c_giron_000_1_1_1.pst.276.xls,65944,127508,75058,19,11,888
matthew_lenhart_000_1_1.pst.65.xls,31061,72469,41409,75,41,367
vkaminski_000_1_1_1.pst.182.xls,10954,16633,11112,40,26,106
benjamin_rogers_000_1_1.pst.12.xls,27674,52480,27836,106,64,290
bill_williams_iii_000_1_1.pst.81.xls,8064,18816,16128,7,6,134
cooper_richey_000_1_1.pst.29.xls,10887,21772,10888,8,6,80
cooper_richey_000_1_1.pst.30.xls,7437,14893,7466,64,39,68
craig_dean_000_1_1.pst.124.xls,28524,38032,28524,4,3,254
daren_farmer_000_1_1.pst.313.xls,11441,24414,12973,19824,9913,98
jeff_dasovich_000_1_1_1.pst.44.xls,10041,20082,10041,33,17,92
jim_schwieger_000_1_1.pst.112.xls,19036,35432,49318,35432,49318,1670
jim_schwieger_000_1_1.pst.113.xls,20430,36620,48896,34716,47349,1335
joe_quenet_000_1_1.pst.17.xls,4567,9143,4586,49,31,34
joe_quenet_000_1_1.pst.18.xls,10887,21772,10888,8,6,72
joe_stepenovitch_000_1_1.pst.15.xls,4567,9143,4586,49,31,33
joe_stepenovitch_000_1_1.pst.25.xls,10887,21772,10888,8,6,78
john_arnold_000_1_2.pst.135.xls,7539,15079,9052,5092,2549,96
john_zufferli_000_1_1.pst.54.xls,7437,14893,7466,64,39,61
keith_holst_000_1_1.pst.144.xls,17671,50325,34943,131,70,328
kevin_presto_000_1_1.pst.261.xls,10887,21772,10888,8,6,102
mike_carson_000_1_1.pst.42.xls,10887,21772,10888,8,6,78
richard_shapiro_001_1_2.pst.124.xls,10041,20082,10041,33,17,94
robin_rodrigue_000_1_1.pst.137.xls,31596,76728,72214,22,20,922
robin_rodrigue_000_1_1.pst.148.xls,27268,68164,63620,19,18,789
robin_rodrigue_000_1_1.pst.151.xls,22765,54636,54636,12,12,597
robin_rodrigue_000_1_1.pst.266.xls,19757,48059,45120,18,16,505
robin_rodrigue_000_1_1.pst.270.xls,31947,77572,72976,24,20,883
robin_rodrigue_001_1_1.pst.3.xls,27268,68164,63620,19,18,793
stacey_white_000_1_1.pst.254.xls,28720,57440,64620,8,9,698
andy_zipper_000_1_1.pst.52.xls,4504,11010,10006,54,46,97
andy_zipper_000_1_1.pst.53.xls,4504,11010,10006,54,46,98
benjamin_rogers_001_1_1.pst.134.xls,6186,17373,11493,193,135,134
holden_salisbury_000_1_1.pst.33.xls,20449,81790,81787,11,11,1040
kevin_ruscitti_000_1_1.pst.103.xls,26906,27823,26674,12433,11845,1026
elizabeth_sager_000_1_1.pst.103.xls,21572,46236,77024,111,125,1066
elizabeth_sager_000_1_1.pst.122.xls,22156,47520,79160,147,165,1172
richard_ring_000_1_1.pst.176.xls,47483,95071,47733,527,279,659
richard_ring_000_1_1.pst.95.xls,48505,97137,48778,1084,556,708
thomas_martin_000_1_1_1.pst.194.xls,10613,31508,20933,596,322,164
andy_zipper_000_1_1.pst.54.xls,4513,11034,10028,78,68,144
andy_zipper_000_1_1.pst.58.xls,4513,11034,10028,78,68,141
james_steffes_000_1_1.pst.221.xls,12822,32171,25639,1351,1075,561
vkaminski_000_1_1_1.pst.171.xls,19678,31509,43218,11899,15759,2896
vkaminski_000_1_1_1.pst.172.xls,19810,31776,43434,12166,15975,2520
vkaminski_000_1_1_1.pst.173.xls,19678,31509,43218,11899,15759,2793
vkaminski_000_1_1_1.pst.174.xls,19810,31776,43434,12166,15975,2415
vkaminski_000_1_1_1.pst.175.xls,19678,31509,43218,11899,15759,2654
vkaminski_000_1_1_1.pst.176.xls,19678,31509,43218,11899,15759,2850
vkaminski_000_1_1_1.pst.177.xls,20242,32475,44371,12450,16331,2529
andy_zipper_000_1_1.pst.59.xls,4515,11037,10033,81,73,144
andy_zipper_000_1_1.pst.62.xls,4515,11037,10033,81,73,144
andy_zipper_000_1_1.pst.63.xls,4486,10977,9975,81,73,143
andy_zipper_000_1_1.pst.64.xls,4513,11032,10029,81,73,144
andy_zipper_000_1_1.pst.65.xls,4483,10972,9969,87,77,146
andy_zipper_000_1_1.pst.66.xls,4483,10971,9968,86,76,146
andy_zipper_000_1_1.pst.67.xls,4469,10941,9940,85,76,147
andy_zipper_000_1_1.pst.68.xls,4469,10941,9940,85,76,154
andy_zipper_000_1_1.pst.69.xls,4469,10941,9940,85,76,149
andy_zipper_000_1_1.pst.70.xls,4471,10944,9941,88,77,147
andy_zipper_000_1_1.pst.71.xls,4467,10930,9929,88,77,145
andy_zipper_000_1_1.pst.72.xls,4467,10930,9929,88,77,153
andy_zipper_000_1_1.pst.73.xls,4467,10930,9929,88,77,144
andy_zipper_000_1_1.pst.74.xls,4467,10930,9929,88,77,146
andy_zipper_000_1_1.pst.75.xls,4467,10930,9929,88,77,143
andy_zipper_000_1_1.pst.76.xls,4467,10930,10426,88,78,161
andy_zipper_000_1_1.pst.77.xls,4467,10930,10426,88,78,155
andy_zipper_000_1_1.pst.78.xls,3485,9948,8953,86,75,130
andy_zipper_000_1_1.pst.79.xls,3485,9948,8953,86,75,131
andy_zipper_000_1_1.pst.80.xls,3490,9960,8964,98,86,142
andy_zipper_000_1_1.pst.81.xls,3473,9908,8914,98,85,130
john_hodge_000_1_1.pst.198.xls,24515,43008,33335,42,33,423
scott_neal_000_1_1.pst.533.xls,6644,13085,10685,1083,799,223
vkaminski_000_1_1_1.pst.255.xls,24112,48224,45210,16,15,542
vkaminski_000_1_1_1.pst.256.xls,13212,26424,23488,18,16,302
vkaminski_000_1_1_1.pst.257.xls,9288,18576,16512,18,16,189
andy_zipper_000_1_1.pst.106.xls,53457,99885,88905,208,169,1372
andy_zipper_000_1_1.pst.115.xls,53457,99885,88905,208,169,1393
andy_zipper_000_1_1.pst.120.xls,53457,99885,88905,208,169,1358
andy_zipper_000_1_1.pst.122.xls,53457,99885,88905,208,169,1392
andy_zipper_000_1_1.pst.138.xls,53457,99885,88905,208,169,1371
andy_zipper_000_1_1.pst.142.xls,53457,99885,88905,208,169,1338
andy_zipper_000_1_1.pst.144.xls,53457,99886,88905,209,169,1394
andy_zipper_000_1_1.pst.146.xls,53459,99890,88905,220,176,1438
andy_zipper_000_1_1.pst.16.xls,53459,99889,88905,219,176,1394
andy_zipper_000_1_1.pst.21.xls,53459,99889,88905,219,176,1343
andy_zipper_000_1_1.pst.28.xls,53459,99889,88905,219,176,1438
andy_zipper_000_1_1.pst.83.xls,29437,58197,52277,3129,2359,823
andy_zipper_000_1_1.pst.84.xls,53460,99894,88912,209,169,1386
andy_zipper_000_1_1.pst.85.xls,53460,99894,88912,209,169,1383
andy_zipper_000_1_1.pst.87.xls,53460,99894,88912,209,169,1364
andy_zipper_000_1_1.pst.88.xls,53457,99885,88905,208,169,1367
andy_zipper_000_1_1.pst.92.xls,53457,99885,88905,208,169,1355
andy_zipper_000_1_1.pst.97.xls,53457,99885,88905,208,169,1358
jeff_dasovich_000_1_1_1.pst.91.xls,5781,16445,13213,1072,695,189
jim_schwieger_000_1_1.pst.111.xls,29085,102416,106850,37340,50750,3725
stacey_white_000_1_1.pst.139.xls,4531,13320,10328,304,220,131
eric_saibi_000_1_1.pst.464.xls,13268,25770,26359,291,266,254
eric_saibi_000_1_1.pst.598.xls,13268,25770,26359,291,266,258
john_forney_000_1_1.pst.58.xls,13268,25770,26359,291,266,272
john_forney_000_1_1.pst.59.xls,13268,25770,26359,291,266,255
craig_dean_000_1_1.pst.35.xls,10231,35621,40750,293,308,462
chris_germany_000_1_2.pst.1112.xls,25416,28233,27262,12873,12382,1015
juan_hernandez_000_1_1.pst.169.xls,29044,36575,57861,575,374,910
don_baughman_000_1_1.pst.174.xls,74373,201657,132957,20569,11292,2252
mary_fischer_000_1_1.pst.120.xls,17022,33543,17929,5319,3692,306
vkaminski_000_1_1_1.pst.127.xls,19090,24635,32716,16600,21844,724
vkaminski_001_1_2_1.pst.39.xls,3999,8977,6901,556,477,91
john_griffith_000_1_1.pst.516.xls,14569,23321,20408,14598,11684,657
darron_c_giron_000_1_1_1.pst.165.xls,10597,30191,20396,738,564,170
gstorey_000_1_1.pst.15.xls,2934,5413,6422,379,370,101
chris_germany_000_1_2.pst.1032.xls,8573,11326,12443,2888,2574,197
don_baughman_000_1_1.pst.205.xls,7598,12416,18983,516,783,447
bill_williams_iii_000_1_1.pst.56.xls,6251,10212,15610,439,654,331
don_baughman_000_1_1.pst.100.xls,5839,9567,14610,640,921,332
don_baughman_000_1_1.pst.101.xls,5839,9567,14610,640,921,328
don_baughman_000_1_1.pst.102.xls,5839,9567,14610,640,921,325
don_baughman_000_1_1.pst.119.xls,5004,8184,12496,532,790,268
don_baughman_000_1_1.pst.127.xls,5004,8152,12416,862,1310,264
don_baughman_000_1_1.pst.128.xls,4171,6822,10415,445,659,224
don_baughman_000_1_1.pst.129.xls,5004,8184,12496,532,790,270
don_baughman_000_1_1.pst.131.xls,5004,8184,12496,532,790,269
don_baughman_000_1_1.pst.132.xls,5004,8184,12496,532,790,271
don_baughman_000_1_1.pst.133.xls,5004,8184,12496,532,790,282
don_baughman_000_1_1.pst.134.xls,5837,9546,14577,619,921,318
don_baughman_000_1_1.pst.135.xls,5837,9546,14577,619,921,325
don_baughman_000_1_1.pst.137.xls,5837,9546,14577,619,921,325
don_baughman_000_1_1.pst.138.xls,5837,9546,14577,619,921,321
don_baughman_000_1_1.pst.140.xls,5837,9546,14577,619,921,325
don_baughman_000_1_1.pst.141.xls,5837,9546,14577,619,921,323
don_baughman_000_1_1.pst.142.xls,5837,9546,14577,619,921,321
don_baughman_000_1_1.pst.143.xls,5837,9546,14577,619,921,324
don_baughman_000_1_1.pst.144.xls,5837,9546,14577,619,921,319
don_baughman_000_1_1.pst.145.xls,5837,9546,14577,619,921,318
don_baughman_000_1_1.pst.147.xls,5853,9578,14608,636,921,323
don_baughman_000_1_1.pst.148.xls,5835,9547,14575,625,921,324
don_baughman_000_1_1.pst.149.xls,5835,9547,14575,625,921,326
don_baughman_000_1_1.pst.150.xls,5838,9549,14579,622,921,327
don_baughman_000_1_1.pst.151.xls,5837,9549,14578,624,921,323
don_baughman_000_1_1.pst.152.xls,5839,9567,14610,640,921,328
don_baughman_000_1_1.pst.167.xls,5837,9546,14577,619,921,328
don_baughman_000_1_1.pst.175.xls,5837,9546,14577,619,921,327
don_baughman_000_1_1.pst.176.xls,5837,9546,14577,619,921,321
don_baughman_000_1_1.pst.177.xls,5837,9546,14577,619,921,322
don_baughman_000_1_1.pst.178.xls,5837,9546,14577,619,921,321
don_baughman_000_1_1.pst.179.xls,5837,9546,14577,619,921,317
don_baughman_000_1_1.pst.180.xls,5837,9546,14577,619,921,322
don_baughman_000_1_1.pst.181.xls,5838,9546,14577,619,921,320
don_baughman_000_1_1.pst.182.xls,5838,9546,14577,619,921,320
don_baughman_000_1_1.pst.183.xls,5838,9546,14577,619,921,325
don_baughman_000_1_1.pst.184.xls,5837,9546,14577,619,921,320
don_baughman_000_1_1.pst.185.xls,5837,9546,14577,619,921,319
don_baughman_000_1_1.pst.186.xls,5837,9546,14577,619,921,327
don_baughman_000_1_1.pst.187.xls,5837,9546,14577,619,921,323
don_baughman_000_1_1.pst.188.xls,5837,9546,14577,619,921,324
don_baughman_000_1_1.pst.189.xls,5838,9546,14577,619,921,328
don_baughman_000_1_1.pst.190.xls,5838,9546,14577,619,921,321
don_baughman_000_1_1.pst.191.xls,5798,9544,14499,668,941,321
don_baughman_000_1_1.pst.192.xls,5798,9544,14499,668,941,320
don_baughman_000_1_1.pst.193.xls,5799,9544,14499,668,941,317
don_baughman_000_1_1.pst.194.xls,5798,9544,14499,668,941,321
don_baughman_000_1_1.pst.195.xls,5799,9544,14499,668,941,320
don_baughman_000_1_1.pst.196.xls,11624,19146,29054,1368,1882,649
don_baughman_000_1_1.pst.200.xls,11423,19016,28780,1346,1854,652
don_baughman_000_1_1.pst.202.xls,16838,28107,42611,1982,2739,951
juan_hernandez_000_1_1.pst.10.xls,5837,9546,14577,619,921,319
juan_hernandez_000_1_1.pst.164.xls,5837,9546,14577,619,921,320
juan_hernandez_000_1_1.pst.165.xls,5836,9546,14575,625,923,324
larry_campbell_000_1_1.pst.502.xls,5004,8184,12496,532,790,266
lynn_blair_000_1_1.pst.181.xls,9290,16168,15651,10061,9756,181
darrell_schoolcraft_000_1_1_1.pst.364.xls,9289,18326,19327,17632,18764,142
harry_arora_000_1_1.pst.121.xls,9417,15725,12597,12621,9477,264
harry_arora_000_1_1.pst.123.xls,9417,15725,12597,12621,9477,242
andy_zipper_000_1_1.pst.82.xls,3575,10206,9213,172,213,131
benjamin_rogers_000_1_1.pst.204.xls,5909,12411,12678,9472,9503,168
benjamin_rogers_001_1_1.pst.2.xls,5995,12634,12897,9695,9722,173
benjamin_rogers_001_1_1.pst.27.xls,6041,12682,12945,9761,9777,173
benjamin_rogers_001_1_1.pst.34.xls,6027,12674,12902,9791,9767,183
benjamin_rogers_001_1_1.pst.5.xls,5996,12633,12895,9703,9726,171
benjamin_rogers_001_1_1.pst.52.xls,5890,12442,12704,9514,9540,172
sally_beck_000_1_1_1_1.pst.577.xls,59131,120301,124828,1067,1227,1576
larry_campbell_000_1_1.pst.381.xls,3259,7875,6336,1558,1433,125
craig_dean_000_1_1.pst.28.xls,4921,6159,10067,823,859,168
eric_saibi_000_1_1.pst.218.xls,6233,16409,13773,957,670,193
jeffrey_a_shankman_000_1_2.pst.12.xls,6651,11865,11999,11865,11999,107
louise_kitchen_000_1_1_1_1.pst.212.xls,7615,13477,15014,9331,11659,165
louise_kitchen_001_1_1_1.pst.364.xls,5397,9547,10704,6604,8301,94
louise_kitchen_001_1_1_1.pst.374.xls,7226,12792,14129,8826,10918,132
errol_mclaughlin_jr_000_1_1.pst.134.xls,5514,9742,10963,1953,1787,258
larry_may_000_1_1.pst.309.xls,9073,18776,17606,1051,781,269
larry_may_000_1_1.pst.312.xls,9073,18776,17606,1051,781,265
matthew_lenhart_001_1_1.pst.103.xls,8531,20220,15609,13179,10012,144
matthew_lenhart_001_1_1.pst.145.xls,7800,18412,14246,13133,10028,122
matthew_lenhart_001_1_1.pst.147.xls,7800,18412,14246,13133,10028,126
matthew_lenhart_001_1_1.pst.152.xls,7800,18412,14246,13133,10028,127
matthew_lenhart_001_1_1.pst.154.xls,7800,18412,14246,13133,10028,124
matthew_lenhart_001_1_1.pst.158.xls,7800,18412,14246,13133,10028,125
matthew_lenhart_001_1_1.pst.164.xls,7800,18412,14246,13133,10028,143
matthew_lenhart_001_1_1.pst.173.xls,7800,18412,14246,13133,10028,125
matthew_lenhart_001_1_1.pst.96.xls,8531,20220,15609,13179,10012,142
stacey_white_000_1_1.pst.230.xls,7800,18412,14246,13133,10028,124
stacey_white_000_1_1.pst.249.xls,7800,18412,14246,13133,10028,127
vkaminski_000_1_1_1.pst.317.xls,17496,34232,26778,33325,24960,220
david_delainey_000_1_2.pst.137.xls,5959,13313,12963,11115,11198,156
john_griffith_000_1_1.pst.1000.xls,11727,13532,18167,2651,3617,553
benjamin_rogers_000_1_1.pst.7.xls,2901,15648,14257,3362,2517,436
tracy_geaccone_000_1_1.pst.197.xls,9385,17144,16606,4706,5176,284
tracy_geaccone_000_1_1.pst.198.xls,9385,17144,16606,4706,5176,282
jay_reitmeyer_000_1_1.pst.197.xls,7656,15398,15311,187,180,293
jay_reitmeyer_000_1_1.pst.201.xls,7568,15221,15135,187,180,293
peter_keavey_000_1_1.pst.21.xls,21684,38898,34713,38898,34713,330
joe_parks_000_1_1.pst.5.xls,4533,9230,10682,5594,7784,112
joe_parks_000_1_1.pst.6.xls,5163,10526,12412,6789,9475,125
benjamin_rogers_000_1_1.pst.104.xls,4453,22029,20593,4504,3429,662
lindy_donoho_000_1_1_1.pst.123.xls,4914,10645,11153,5854,5548,178
tracy_geaccone_000_1_1.pst.428.xls,8278,16054,14966,6238,5600,258
benjamin_rogers_000_1_1.pst.105.xls,58574,193857,155352,3847,12956,2134
benjamin_rogers_000_1_1.pst.11.xls,54254,175497,141312,3847,12956,2022
benjamin_rogers_000_1_1.pst.18.xls,55118,179169,144120,3847,12956,2276
jim_schwieger_000_1_1.pst.105.xls,6422,12659,10120,12661,10099,99
david_delainey_000_1_2.pst.134.xls,5256,18520,15294,794,838,295
robin_rodrigue_000_1_1.pst.199.xls,9674,28064,18855,568,543,129
tori_kuykendall_000_1_1_1.pst.12.xls,31538,43493,50425,43473,49955,547
chris_germany_000_1_2.pst.1044.xls,27267,27970,50261,13480,23037,1470
