fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime,RR-Chain_Comp,RR-Chain_NoComp,RR_Comp,RR_NoComp,RF_Comp,RF_NoComp,FR_Comp,FR_NoComp,FF_Comp,FF_NoComp,RRGapOne_Comp,RRGapOne_NoComp,RRGapTwo_Comp,RRGapTwo_NoComp,RRGapThree_Comp,RRGapThree_NoComp,RRGapFour_Comp,RRGapFour_NoComp,RRGapFive_Comp,RRGapFive_NoComp,RRGapSix_Comp,RRGapSix_NoComp,RRGapSeven_Comp,RRGapSeven_NoComp,NoComp_Comp,NoComp_NoComp
HotOcall_latencies_in_cycles.xlsx,400008,400010,400006,8,4,3626,2,399998,0,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aero_test.xlsx,131532,131533,131532,2,1,954,1,131532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
datalog1.xlsx,124534,124535,124534,2,1,831,1,124534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
기록차이모음.xlsx,299997,599997,599994,9,6,6515,3,299997,3,299997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Test13_100k_lines.xlsx,99999,99999,99998,2,1,585,1,99998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
big.xlsx,239997,240000,239997,6,3,2009,3,239997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
knock_vertical.xlsx,67099,67100,67099,2,1,409,1,67099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
地方政府债券整理-hs.xlsx,65482,65535,65482,106,53,931,53,65482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
calculs.xlsx,183553,183565,345020,32,24,4331,7,101729,9,141556,0,0,0,0,7,101734,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
최경묵_퍼셉트론엑셀.xlsx,108003,108005,263992,20,22,3998,3,36000,15,179995,0,0,0,0,4,47997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
이정인_퍼셉트론엑셀.xlsx,108003,108005,263992,20,22,4010,3,36000,15,179995,0,0,0,0,4,47997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
detil_pengasuhan.xlsx,44555,44556,44555,2,1,223,1,44555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I&A FY18 Raw Data Template.xlsx,44151,44167,44151,32,16,221,1,44121,0,0,0,0,0,0,15,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InputData.xlsx,219120,350595,525888,11,12,6875,3,131472,9,394416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019-01-01行政区划四级.xlsx,284641,375494,284641,7492,4568,3691,141,44289,18,231670,0,0,0,0,4272,8545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,137
Office Energy Usage_Workbook.xlsx,324492,422216,364596,20,15,4180,1,40098,13,324492,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toro.xlsx,78838,118259,157676,6,4,1580,1,39419,2,78838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
wykaz_czasopism_18-12-2019.xlsx,30674,30676,30674,4,2,341,2,30674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pin-BARNES.out-none-Thu-Jul-11-10-53-18-2013--.xlsx,28123,56241,56239,12,7,544,2,28117,1,28116,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
EventLog_2.xlsx,159794,159800,159794,12,6,1380,6,159794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sample_Libreview_forCoding.xlsx,185382,264833,370762,13,13,4879,2,52966,10,264830,0,0,0,0,1,26483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191001_선물데이터_1틱.xlsx,329897,406051,888073,436,429,15719,75,228255,219,431415,0,0,0,0,97,228365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,38
Kraken_BTCEUR_1h.xlsx,50544,50544,50543,4,2,332,1,25271,1,25272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
アメリカ式part2【資料】第2回_エクセル演習.xlsx,78725,105684,78727,24,16,577,4,51766,2,26950,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
【第8回当日配布料】問題演習_第2回_確率.xlsx,78725,105684,78727,24,16,585,4,51766,2,26950,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9
IEX.hourlydata_final.xlsx,23183,23184,23183,2,1,130,1,23183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DBViajesCompleta.xlsx,46061,69095,113076,207,137,1009,1,22338,127,68386,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
measles.xlsx,18250,18251,18250,2,1,87,1,18250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021_data.xlsx,74640,149280,149276,21,12,1377,4,54860,8,94416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DescriptionVI & HS Code 2018_rev06 - Copy.xlsx,17002,17001,17000,2,1,136,1,17000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wide.xlsx,16383,16384,16383,2,1,85,1,16383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Question 5.xlsx,50128,50512,200036,66,92,4435,4,16506,35,34267,0,0,0,0,52,149262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Community Crime 2016.xlsx,16851,33702,16851,53,27,89,0,0,23,16847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Excel模拟神经网络进行4000次迭代.xlsx,75934,79941,243784,47,61,4457,9,35964,51,203823,0,0,0,0,1,3997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Day1.xlsx,173566,332766,347130,518,344,8748,15,15210,328,331919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
松_分级加载.xlsx,34538,34548,34538,23,12,447,4,34526,2,4,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Reboiler_Raw Data_With Timestamps - Modificado.xlsx,71758,197982,156170,204,103,2485,44,29416,29,126724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30
SP500_results.xlsx,227088,302715,669890,224,216,12157,4,25536,94,332350,0,0,2,10070,66,301884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,50
GAINS.xlsx,92375,98996,379658,354,568,8362,29,20730,223,207407,0,0,0,0,189,120052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127
Infiltration_Mohammed.xlsx,92375,98996,379658,354,568,8361,29,20730,223,207407,0,0,0,0,189,120052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,127
midterm.xlsx,11457,11458,11457,2,1,56,1,11457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
zadanie5.xlsx,25572,29229,36531,19,14,610,1,3652,9,32874,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
The Sorted Dataset Based on Separation and Location.xlsx,23631,23909,23791,258,140,120,97,23468,20,160,0,0,0,0,20,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
测试-30000.xlsx,539997,540051,539997,63,57,7961,3,29997,54,510000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P12-Churn-Modelling - Forecast.xlsx,50003,70004,100003,13,13,1274,1,9999,5,50000,0,0,0,0,5,40002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Chum Modeling Forecast CAP CURVE.xlsx,50003,70005,100003,13,14,1277,1,9999,5,50000,0,0,0,0,4,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
cp_v_ac.xlsx,49998,70000,59998,9,6,519,2,19998,4,40000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delay-CI-Rawdata(1).xlsx,16378,16380,16378,4,2,101,2,16378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delay-CI-Rawdata.xlsx,16378,16380,16378,4,2,103,2,16378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tio Cash Master 1400 Find Ratio of Star-fam.xlsx,77051,78495,154122,131,138,1760,8,12629,118,141481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12
Schema_generator.xlsx,91062,183847,565704,2593,2297,16834,16,9679,377,237732,0,0,0,0,505,298882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1399,1399
Xkvbawue2.xlsx,17661,26494,35321,6,4,302,1,8830,3,26491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
nl2019_wind_inland.xlsx,78851,113904,113899,28,22,1518,1,8759,13,70092,0,0,0,0,8,35044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H2_consumption_test_15min.xlsx,35037,35040,35036,2,1,259,0,0,1,35036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Incendios forestales_consolidado.xlsx,143637,153921,143637,52,26,1702,18,50149,6,93486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
GMBA_Inventory_v2.0_Selection_Tool.xlsx,43094,86194,146521,18,19,2147,1,8619,16,120664,0,0,0,0,2,17238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
store sales.xlsx,25224,50431,42052,24,23,623,1,8398,9,33612,0,0,0,0,12,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
EC07.xlsx,32015,32024,96040,36,48,1320,4,8000,28,56024,0,0,0,0,16,32016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
指數平滑法1081111.xlsx,31415,35384,86283,73,69,1223,5,7849,39,62739,0,0,0,0,9,11768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16
BAU Amt Spent on Bldg Components.xlsx,7820,15557,15761,56,69,116,1,7695,23,7819,0,0,0,0,42,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
W23702-91.xlsx,22834,60891,68500,11,8,792,1,7610,6,45667,0,0,0,0,1,7612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T100_1520_WAVSTEP_BRISTOL_PM_COMBINED.xlsx,59971,97447,89942,18,12,1036,4,30000,8,59942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
walkingFast_euler.xlsx,14507,17510,18510,12,12,152,1,7499,11,11011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zbiornik.xlsx,21922,25581,32880,28,16,389,3,7306,8,25568,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Zeszyt1.xlsx,32877,43837,54788,22,16,603,3,10956,12,43831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
medidas_bateria.xlsx,17968,44928,89840,22,18,996,4,17968,10,44920,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
W1KG13126-37.xlsx,21295,56787,63883,11,8,721,1,7097,6,42589,0,0,0,0,1,7099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W22704-181.xlsx,21295,56787,63883,11,8,719,1,7097,6,42589,0,0,0,0,1,7099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W22704-19.xlsx,21295,56787,63883,11,8,718,1,7097,6,42589,0,0,0,0,1,7099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
