fileName,numFormulae,numVertices,numEdges,numCompVertices,numCompEdges,graphBuildTime
HotOcall_latencies_in_cycles.xlsx,400008,400010,400006,400010,400006,5096
aero_test.xlsx,131532,131533,131532,131533,131532,1549
datalog1.xlsx,124534,124535,124534,124535,124534,1583
기록차이모음.xlsx,299997,599997,599994,599997,599994,7404
Test13_100k_lines.xlsx,99999,99999,99998,99999,99998,1038
big.xlsx,239997,240000,239997,240000,239997,2967
knock_vertical.xlsx,67099,67100,67099,67100,67099,670
地方政府债券整理-hs.xlsx,65482,65535,65482,65535,65482,581
calculs.xlsx,183553,183565,345020,183567,345016,3645
최경묵_퍼셉트론엑셀.xlsx,108003,108005,263992,84014,179999,94533
이정인_퍼셉트론엑셀.xlsx,108003,108005,263992,84014,179999,76285
detil_pengasuhan.xlsx,44555,44556,44555,44556,44555,385
I&A FY18 Raw Data Template.xlsx,44151,44167,44151,44167,44151,383
InputData.xlsx,219120,350595,525888,219128,394419,114925
2019-01-01行政区划四级.xlsx,284641,375494,284641,53005,52989,70039
Office Energy Usage_Workbook.xlsx,324492,422216,364596,80225,80219,3644
Toro.xlsx,78838,118259,157676,78842,118258,1332
wykaz_czasopism_18-12-2019.xlsx,30674,30676,30674,30676,30674,522
pin-BARNES.out-none-Thu-Jul-11-10-53-18-2013--.xlsx,28123,56241,56239,56241,56239,505
EventLog_2.xlsx,159794,159800,159794,159800,159794,1719
Sample_Libreview_forCoding.xlsx,185382,264833,370762,105943,132424,129802
191001_선물데이터_1틱.xlsx,329897,406051,888073,304681,685204,77450
Kraken_BTCEUR_1h.xlsx,50544,50544,50543,25274,25272,346
アメリカ式part2【資料】第2回_エクセル演習.xlsx,78725,105684,78727,51785,51779,1216
【第8回当日配布料】問題演習_第2回_確率.xlsx,78725,105684,78727,51785,51779,1292
IEX.hourlydata_final.xlsx,23183,23184,23183,23184,23183,283
DBViajesCompleta.xlsx,46061,69095,113076,44888,67154,778
measles.xlsx,18250,18251,18250,18251,18250,145
2021_data.xlsx,74640,149280,149276,109734,109728,6861
DescriptionVI & HS Code 2018_rev06 - Copy.xlsx,17002,17001,17000,17001,17000,138
wide.xlsx,16383,16384,16383,16384,16383,244
Question 5.xlsx,50128,50512,200036,50062,199252,2279
Community Crime 2016.xlsx,16851,33702,16851,33148,16574,265
Excel模拟神经网络进行4000次迭代.xlsx,75934,79941,243784,75956,143884,38069
Day1.xlsx,173566,332766,347130,332766,347130,3865
松_分级加载.xlsx,34538,34548,34538,34548,34538,520
Reboiler_Raw Data_With Timestamps - Modificado.xlsx,71758,197982,156170,29736,29555,5652
SP500_results.xlsx,227088,302715,669890,216947,599220,6496
GAINS.xlsx,92375,98996,379658,85847,294332,47912
Infiltration_Mohammed.xlsx,92375,98996,379658,85847,294332,46264
midterm.xlsx,11457,11458,11457,11458,11457,94
zadanie5.xlsx,25572,29229,36531,14622,14619,3871
The Sorted Dataset Based on Separation and Location.xlsx,23631,23909,23791,23909,23791,149
测试-30000.xlsx,539997,540051,539997,30105,30099,36729
